,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"6.12 - POPULAÇÃO RESIDENTE, SEGUNDO OS PAÍSES DE PROVENIÊNCIA( RELATIVAMENTE A 31/12/2005), POR MUNICIPIO DE RESIDÊNCIA HABITUAL EM 21/03/2011",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Zona geográfica,População Residente em 2011,,Imigrante no município,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,Proveniente de outros municípios,,Proveniente do estrangeiro,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Municipios de residência habitual em 21/03/2011,,,,,Total,,França,,Países Baixos,,Alemanha,,Itália,,Reino Unido,,Irlanda,,Espanha,,Bélgica,,Luxemburgo,,Suiça,,Andorra,,Roménia,,Bulgária,,Ucrânia,,"Moldova, República de",,PALOP,,África do Sul,,Estados Unidos,,Canadá,,"Venezuela, República Bolivariana da",,Brasil,,Índia,,China,,Outros,
,HM,H,HM,H,HM,H,HM,H,HM,H,HM,H,HM,H,HM,H,HM,H,HM,H,HM,H,HM,H,HM,H,HM,H,HM,H,HM,H,HM,H,HM,H,HM,H,HM,H,HM,H,HM,H,HM,H,HM,H,HM,H,HM,H,HM,H
            Maia,135306,64855,13686,6565,1418,718,220,113,7,3,42,21,14,6,88,50,19,10,138,93,16,10,18,9,46,26,12,7,15,7,2,1,52,19,6,3,165,94,34,17,12,7,7,3,31,15,367,144,6,4,13,7,88,49
            Matosinhos,175478,83444,13754,6818,1876,886,154,78,33,15,87,52,27,17,181,102,22,15,223,121,14,7,33,14,62,29,16,9,6,2,4,1,33,14,7,2,96,52,6,3,35,17,10,5,19,8,633,239,0,0,40,21,135,63
            Porto,237591,108104,17104,8262,3903,1899,213,112,57,39,111,53,97,50,282,163,25,18,324,191,32,21,43,20,53,31,24,16,55,29,57,28,58,27,11,3,535,238,10,6,88,39,16,8,24,10,1085,415,74,52,63,28,566,302
            Póvoa de Varzim,63408,29958,3664,1825,1216,624,321,175,8,5,104,48,8,4,74,35,2,1,95,60,2,2,18,10,120,70,13,4,5,3,0,0,21,11,1,1,38,17,4,1,10,3,61,35,27,11,203,80,2,1,16,10,63,37
            Valongo,93858,45016,8465,4025,891,452,130,70,6,4,48,26,5,4,81,40,17,10,154,104,13,9,20,10,51,25,10,5,1,1,0,0,25,8,10,4,41,25,10,4,11,6,1,0,17,9,169,49,0,0,8,3,63,36
            Vila do Conde,79533,38469,5447,2719,990,518,208,112,15,11,110,52,6,3,51,33,8,5,105,61,9,6,24,16,47,29,31,21,4,1,2,0,9,4,0,0,34,17,3,2,14,7,16,8,14,5,136,46,0,0,96,57,48,22
            Vila Nova de Gaia,302295,144490,16384,7839,3300,1612,437,234,45,29,175,89,29,15,315,178,32,22,323,197,37,18,42,22,160,75,15,12,44,20,2,1,109,36,23,10,269,141,33,19,59,30,25,15,117,58,701,244,38,18,41,22,229,107
          Tâmega,550516,268097,19956,9860,5912,3322,1838,995,35,20,441,253,17,8,239,135,22,11,720,520,107,58,193,114,1021,568,217,121,13,3,6,2,36,14,16,8,186,113,15,9,87,48,16,12,16,7,426,162,3,2,53,30,189,109
            Castelo de Paiva,16733,8184,430,202,93,54,22,11,0,0,10,5,3,1,1,1,0,0,10,8,1,1,1,1,19,12,1,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,20,9,0,0,1,1,3,3
            Cabeceiras de Basto,16710,8115,464,212,335,195,139,78,12,6,3,2,2,0,8,4,0,0,57,43,15,9,7,3,64,37,3,2,1,0,0,0,1,0,1,0,1,1,0,0,0,0,0,0,1,1,14,6,0,0,3,2,3,1
            Celorico de Basto,20098,9749,617,299,685,391,408,229,2,1,18,9,0,0,14,7,1,0,61,41,4,2,58,38,78,44,3,1,0,0,0,0,0,0,0,0,11,7,1,1,3,2,2,1,0,0,14,4,0,0,1,0,6,4
            Amarante,56264,26968,1614,751,1048,565,348,185,1,1,95,54,1,0,26,16,0,0,86,58,7,4,22,13,203,112,120,63,2,0,0,0,3,1,6,3,45,24,0,0,4,2,3,3,0,0,55,15,0,0,3,2,18,9
            Baião,20522,9811,658,346,130,74,30,21,0,0,5,3,0,0,10,4,1,0,26,19,8,3,6,4,28,15,1,0,0,0,2,1,0,0,0,0,4,2,0,0,1,1,0,0,0,0,7,1,0,0,1,0,0,0
