"6.16 - POPULAÇÃO RESIDENTE, SEGUNDO A DIMENSÃO DOS LUGARES, POPULAÇÃO ISOLADA, EMBARCADA e CORPO DIPLOMÁTICO , POR CONDIÇÃO PERANTE A ACTIVIDADE ECONÓMICA, SEXO, E GRUPOS ETÁRIOS",,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
Zona Geográfica,Total,Em lugares até 1999 habitantes,Em lugares de 2000 a 4999 habitantes,Em lugares de 5000 a 9999 habitantes,Em lugares de 10000 a 19999 habitantes,Em lugares de 20000 a 49999 habitantes,Em lugares de 50000 a    99999 habitantes,Em lugares de 100000 a 199999 habitantes,Em lugares de 200000 a 499999 habitantes,Em lugares de 500000 a 999999 habitantes,Em lugares com 1 000 000 habitantes ou mais,"População isolada, embarcada e corpo diplomático",,
"Condição perante a actividade económica
Grupos etários de < 15, 15 - 60, 61-65, 66-70 >70 e sexo          ",,,,,,,,,,,,,,
                                                              H,149756,92870,15234,6405,9321,14014,0,7685,0,0,0,4227,,
          61 - 65 anos                                       HM,144787,95369,13853,5158,8807,11469,0,6855,0,0,0,3276,,
                                                              H,67774,44981,6554,2379,4001,5187,0,3057,0,0,0,1615,,
            Activos                                          HM,36878,23341,3707,1557,2233,3285,0,1971,0,0,0,784,,
                                                              H,21157,13989,2010,827,1126,1696,0,991,0,0,0,518,,
            Inactivos                                        HM,107909,72028,10146,3601,6574,8184,0,4884,0,0,0,2492,,
                                                              H,46617,30992,4544,1552,2875,3491,0,2066,0,0,0,1097,,
          66 - 70 anos                                       HM,129981,88599,11485,4523,7493,9520,0,5391,0,0,0,2970,,
                                                              H,59463,40679,5312,2027,3322,4321,0,2399,0,0,0,1403,,
            Activos                                          HM,7523,4308,807,399,506,830,0,511,0,0,0,162,,
                                                              H,5019,2907,534,244,352,530,0,338,0,0,0,114,,
            Inactivos                                        HM,122458,84291,10678,4124,6987,8690,0,4880,0,0,0,2808,,
                                                              H,54444,37772,4778,1783,2970,3791,0,2061,0,0,0,1289,,
          Mais de 70 anos                                    HM,362434,252792,31880,11168,20089,23820,0,14297,0,0,0,8388,,
                                                              H,147393,104072,12768,4277,7799,9469,0,5390,0,0,0,3618,,
            Activos                                          HM,4897,2652,548,314,346,567,0,353,0,0,0,117,,
                                                              H,3531,1926,391,217,236,436,0,240,0,0,0,85,,
            Inactivos                                        HM,357537,250140,31332,10854,19743,23253,0,13944,0,0,0,8271,,
                                                              H,143862,102146,12377,4060,7563,9033,0,5150,0,0,0,3533,,
      Lisboa                                                 HM,2821876,329167,281503,351696,462524,199587,461646,175136,0,547011,0,13606,,
                                                              H,1334605,161161,135897,167255,218711,94118,217637,82342,0,250501,0,6983,,
          Menos de 15 anos                                   HM,437881,53626,48683,57306,75113,31126,73774,25903,0,70355,0,1995,,
                                                              H,223576,27316,24849,29588,38134,15984,37597,13156,0,35924,0,1028,,
          15 - 60 anos                                       HM,1729862,199928,177227,218460,287956,124298,288527,107149,0,318045,0,8272,,
                                                              H,833068,99416,86299,104589,136987,59237,137655,51214,0,153314,0,4357,,
            Activos                                          HM,1333684,151646,137057,169378,225443,96852,223165,82192,0,242153,0,5798,,
                                                              H,659242,78799,68380,83588,110488,47309,109140,39977,0,118378,0,3183,,
            Inactivos                                        HM,396178,48282,40170,49082,62513,27446,65362,24957,0,75892,0,2474,,
                                                              H,173826,20617,17919,21001,26499,11928,28515,11237,0,34936,0,1174,,
          61 - 65 anos                                       HM,173618,20330,15745,21135,29536,12304,27727,11580,0,34351,0,910,,
                                                              H,79852,9874,7528,9862,13674,5692,12650,5231,0,14870,0,471,,
            Activos                                          HM,52557,6417,4825,6221,8666,3252,7752,3402,0,11716,0,306,,
                                                              H,27504,3584,2604,3353,4588,1726,3966,1650,0,5832,0,201,,
            Inactivos                                        HM,121061,13913,10920,14914,20870,9052,19975,8178,0,22635,0,604,,
                                                              H,52348,6290,4924,6509,9086,3966,8684,3581,0,9038,0,270,,
          66 - 70 anos                                       HM,144622,17053,12889,17228,23556,10033,22654,9866,0,30594,0,749,,
                                                              H,66508,8340,6158,8112,11137,4500,10369,4528,0,12973,0,391,,
            Activos                                          HM,12153,1404,994,1335,1791,708,1609,735,0,3505,0,72,,
                                                              H,7612,911,637,858,1154,432,1036,456,0,2082,0,46,,
            Inactivos                                        HM,132469,15649,11895,15893,21765,9325,21045,9131,0,27089,0,677,,
                                                              H,58896,7429,5521,7254,9983,4068,9333,4072,0,10891,0,345,,
          Mais de 70 anos                                    HM,335893,38230,26959,37567,46363,21826,48964,20638,0,93666,0,1680,,
                                                              H,131601,16215,11063,15104,18779,8705,19366,8213,0,33420,0,736,,
            Activos                                          HM,6664,657,484,681,840,323,730,302,0,2609,0,38,,
                                                              H,4631,469,342,468,599,239,519,220,0,1745,0,30,,
            Inactivos                                        HM,329229,37573,26475,36886,45523,21503,48234,20336,0,91057,0,1642,,
                                                              H,126970,15746,10721,14636,18180,8466,18847,7993,0,31675,0,706,,
      Alentejo                                               HM,757302,305028,102819,133048,78846,93874,0,0,0,0,0,43687,,
                                                              H,366739,148834,49263,63887,37769,44028,0,0,0,0,0,22958,,
          Menos de 15 anos                                   HM,102774,35707,14131,20392,12539,14221,0,0,0,0,0,5784,,
                                                              H,52778,18227,7226,10563,6382,7389,0,0,0,0,0,2991,,
          15 - 60 anos                                       HM,434406,164282,59601,79043,48434,57818,0,0,0,0,0,25228,,
                                                              H,218185,84613,29666,38918,23631,27664,0,0,0,0,0,13693,,
            Activos                                          HM,324413,120813,44662,60290,37025,43990,0,0,0,0,0,17633,,
                                                              H,170765,66134,23224,30910,18788,21258,0,0,0,0,0,10451,,
            Inactivos                                        HM,109993,43469,14939,18753,11409,13828,0,0,0,0,0,7595,,
                                                              H,47420,18479,6442,8008,4843,6406,0,0,0,0,0,3242,,
          61 - 65 anos                                       HM,46157,19743,6146,7772,4432,5329,0,0,0,0,0,2735,,
                                                              H,21796,9338,2874,3641,2087,2438,0,0,0,0,0,1418,,
            Activos                                          HM,13630,5700,1760,2503,1290,1450,0,0,0,0,0,927,,
                                                              H,7629,3243,951,1384,687,751,0,0,0,0,0,613,,
            Inactivos                                        HM,32527,14043,4386,5269,3142,3879,0,0,0,0,0,1808,,
                                                              H,14167,6095,1923,2257,1400,1687,0,0,0,0,0,805,,
          66 - 70 anos                                       HM,42617,19638,5634,6786,3775,4298,0,0,0,0,0,2486,,
                                                              H,19144,8661,2537,3072,1742,1898,0,0,0,0,0,1234,,
            Activos                                          HM,2914,1135,383,558,291,326,0,0,0,0,0,221,,
