"6.03 - POPULAÇÃO RESIDENTE, SEGUNDO O GRUPO ETÁRIO, POR NÍVEL DE ESCOLARIDADE E SEXO",,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Zona Geográfica,Total,Menos de 10 anos,Com 10 anos,Com 11 anos,Com 12 anos,Com 13 anos,Com 14 anos,Com 15 anos,Com 16 anos,Com 17 anos,Com 18 anos,Com 19 anos,Com 20 anos,Com 21 anos,Com 22 anos,Com 23 anos,Com 24 anos,De 25 a 29 anos,De 30 a 34 anos,De 35 a 39 anos,De 40 a 44 anos,De 45 a 49 anos,De 50 a 54 anos,De 55 a 59 anos,De 60 a 64 anos,De 65 a 69 anos,De 70 a 74 anos,De 75 ou mais anos
Nível de escolaridade e sexo,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29
          Licenciatura,,,,,,,,,,,,,,,,,,,,,,,,,,,,
            Completo                                               HM,800129,0,0,0,0,0,0,0,0,0,0,0,273,2451,7359,11409,14594,122716,157260,136974,88707,69830,56981,49090,32597,19709,12450,17729
                                                                    H,299085,0,0,0,0,0,0,0,0,0,0,0,96,584,1716,2924,3957,39904,55678,49017,32147,24892,22267,21804,15857,10561,7178,10503
            Incompleto                                             HM,106083,0,0,0,0,0,0,0,0,18,372,820,1167,1385,1497,1631,1725,14172,21124,19970,12103,8898,6934,5349,3728,2347,1361,1482
                                                                    H,62257,0,0,0,0,0,0,0,0,10,157,375,529,673,745,823,886,7974,12587,11726,7141,5288,4141,3435,2397,1558,897,915
            A frequentar                                           HM,259600,0,0,0,0,0,0,0,0,277,19305,33102,38201,32904,24213,16926,12772,33743,18451,12135,7330,5059,2822,1229,541,257,144,189
                                                                    H,121753,0,0,0,0,0,0,0,0,113,7600,13187,15367,13982,11385,8576,6908,18950,10210,6459,3727,2537,1471,686,314,137,65,79
          Mestrado,,,,,,,,,,,,,,,,,,,,,,,,,,,,
            Completo                                               HM,95704,0,0,0,0,0,0,0,0,0,0,0,16,40,184,2263,5009,24560,15530,13250,10244,8499,6365,4075,2690,1485,766,728
                                                                    H,42144,0,0,0,0,0,0,0,0,0,0,0,4,15,73,899,1972,10342,6228,5694,4551,3879,3062,2154,1465,851,489,466
            Incompleto                                             HM,42682,0,0,0,0,0,0,0,0,0,18,21,34,111,288,491,714,6518,9928,8482,5640,4165,2791,1748,946,446,206,135
                                                                    H,19614,0,0,0,0,0,0,0,0,0,6,12,19,46,123,188,267,2630,4161,3888,2704,2077,1469,999,539,275,131,80
            A frequentar                                           HM,101356,0,0,0,0,0,0,0,0,16,1446,2097,2369,6466,10520,10321,8406,25320,14621,8435,4962,3474,1874,638,239,95,35,22
                                                                    H,43718,0,0,0,0,0,0,0,0,11,757,1082,1195,2671,4207,4432,3740,11258,6052,3525,2060,1369,791,336,142,55,25,10
          Doutoramento,,,,,,,,,,,,,,,,,,,,,,,,,,,,
            Completo                                               HM,26241,0,0,0,0,0,0,0,0,0,0,0,0,0,0,17,31,717,2544,3546,4009,4049,3512,2577,2043,1288,827,1081
                                                                    H,14764,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,12,308,1167,1642,2150,2260,2023,1573,1285,886,621,832
            Incompleto                                             HM,6694,0,0,0,0,0,0,0,0,0,0,0,0,0,0,12,39,628,1078,1162,1000,931,745,494,343,143,72,47
                                                                    H,3489,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,16,273,477,575,545,499,423,290,213,84,53,37
            A frequentar                                           HM,18752,0,0,0,0,0,0,0,0,0,0,0,0,0,0,263,477,4191,4455,3266,2337,1852,1117,479,191,74,33,17
                                                                    H,8336,0,0,0,0,0,0,0,0,0,0,0,0,0,0,123,254,1755,1847,1442,1134,834,498,253,112,50,21,13
