"4.14 - FAMÍLIAS CLÁSSICAS, SEGUNDO A SUA DIMENSÃO E PESSOAS NAS FAMÍLIAS PELO NÚMERO DE PESSOAS COM ACTIVIDADE ECONÓMICA E PESSOAS A CARGO ",,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
Zona Geográfica,Famílias clássicas segundo a dimensão (pessoas),,,,,,,,,,Pessoas nas famílias,,,
Número de pessoas com actividade económica e número de pessoas a cargo,Total,Com 1,Com 2,Com 3,Com 4,Com 5,Com 6,Com 7,Com 8,Com 9 ou mais,,,,
            Nenhuma pessoa a cargo,9742,0,0,6262,2893,492,74,16,2,3,33420,,,
            1 pessoa a cargo,8355,0,0,1855,5038,1163,250,42,5,2,33384,,,
            2 pessoas a cargo,3829,0,0,192,1887,1229,407,86,23,5,17544,,,
            3 pessoas a cargo,1016,0,0,2,157,430,290,98,32,7,5532,,,
            4 ou mais pessoas a cargo,368,0,0,0,4,40,118,84,66,56,2610,,,
      Algarve,182776,45493,60708,40600,26387,6658,2122,512,176,120,446441,,,
          Nenhuma pessoa activa,53297,23499,25655,2939,809,246,100,34,7,8,89060,,,
            Nenhuma pessoa a cargo,45133,22966,20905,1158,93,9,2,0,0,0,68679,,,
            1 pessoa a cargo,6444,533,4607,1140,137,21,6,0,0,0,13856,,,
            2 pessoas a cargo,1119,0,143,578,340,45,8,4,1,0,3689,,,
            3 pessoas a cargo,410,0,0,63,219,110,13,4,0,1,1730,,,
            4 ou mais pessoas a cargo,191,0,0,0,20,61,71,26,6,7,1106,,,
          1 pessoa activa,55308,21994,17131,10408,4191,1175,319,62,20,8,112706,,,
            Nenhuma pessoa a cargo,33742,21544,9105,2789,278,25,1,0,0,0,49364,,,
            1 pessoa a cargo,12872,450,7889,3760,655,103,15,0,0,0,30733,,,
            2 pessoas a cargo,5842,0,137,3800,1618,240,46,1,0,0,19629,,,
            3 pessoas a cargo,2206,0,0,59,1619,442,74,10,2,0,9393,,,
            4 ou mais pessoas a cargo,646,0,0,0,21,365,183,51,18,8,3587,,,
          2 pessoas activas,60269,0,17922,22622,15836,2947,753,132,39,18,187715,,,
            Nenhuma pessoa a cargo,19689,0,16200,2797,624,63,5,0,0,0,43632,,,
            1 pessoa a cargo,21954,0,1658,18246,1695,310,39,6,0,0,66660,,,
            2 pessoas a cargo,15060,0,64,1544,12592,664,178,16,2,0,59644,,,
            3 pessoas a cargo,2873,0,0,35,909,1722,173,29,4,1,13633,,,
            4 ou mais pessoas a cargo,693,0,0,0,16,188,358,81,33,17,4146,,,
          3 ou mais pessoas activas,13902,0,0,4631,5551,2290,950,284,110,86,56960,,,
            Nenhuma pessoa a cargo,5209,0,0,3333,1471,322,72,5,4,2,18011,,,
            1 pessoa a cargo,4944,0,0,1157,2795,776,180,32,4,0,19867,,,
            2 pessoas a cargo,2570,0,0,138,1165,848,330,67,17,5,11946,,,
            3 pessoas a cargo,803,0,0,3,117,300,251,87,26,19,4479,,,
            4 ou mais pessoas a cargo,376,0,0,0,3,44,117,93,59,60,2657,,,
    Região Autónoma dos Açores,81715,14006,20871,19231,16295,6708,2668,989,436,511,243882,,,
        Nenhuma pessoa activa,18284,7505,8199,1625,553,238,100,34,14,16,33282,,,
          Nenhuma pessoa a cargo,13898,7383,5910,537,59,9,0,0,0,0,21095,,,
          1 pessoa a cargo,3146,122,2250,655,104,10,5,0,0,0,7083,,,
          2 pessoas a cargo,711,0,39,405,212,42,9,4,0,0,2433,,,
          3 pessoas a cargo,314,0,0,28,167,101,13,2,2,1,1376,,,
          4 ou mais pessoas a cargo,215,0,0,0,11,76,73,28,12,15,1295,,,
        1 pessoa activa,24184,6501,6210,5663,3547,1473,541,157,53,39,62624,,,
          Nenhuma pessoa a cargo,11435,6400,3471,1369,162,29,3,1,0,0,18267,,,
          1 pessoa a cargo,5666,101,2709,2236,524,84,9,3,0,0,14818,,,
          2 pessoas a cargo,3616,0,30,2033,1250,238,57,8,0,0,12747,,,
          3 pessoas a cargo,2313,0,0,25,1596,568,99,20,4,1,10074,,,
          4 ou mais pessoas a cargo,1154,0,0,0,15,554,373,125,49,38,6718,,,
        2 pessoas activas,30588,0,6462,10576,9331,2913,882,269,88,67,105110,,,
          Nenhuma pessoa a cargo,7963,0,5984,1450,460,57,12,0,0,0,18515,,,
          1 pessoa a cargo,10649,0,462,8484,1333,315,44,10,1,0,33625,,,
          2 pessoas a cargo,8670,0,16,628,7048,762,192,22,2,0,35240,,,
          3 pessoas a cargo,2442,0,0,14,484,1596,266,68,11,3,12146,,,
          4 ou mais pessoas a cargo,864,0,0,0,6,183,368,169,74,64,5584,,,
        3 ou mais pessoas activas,8659,0,0,1367,2864,2084,1145,529,281,389,42866,,,
          Nenhuma pessoa a cargo,2075,0,0,1008,738,255,65,9,0,0,7704,,,
          1 pessoa a cargo,2765,0,0,320,1496,682,204,55,6,2,12030,,,
          2 pessoas a cargo,2031,0,0,39,578,813,416,121,47,17,10372,,,
          3 pessoas a cargo,935,0,0,0,51,274,333,171,64,42,5681,,,
          4 ou mais pessoas a cargo,853,0,0,0,1,60,127,173,164,328,7079,,,
      Região Autónoma dos Açores,81715,14006,20871,19231,16295,6708,2668,989,436,511,243882,,,
          Nenhuma pessoa activa,18284,7505,8199,1625,553,238,100,34,14,16,33282,,,
            Nenhuma pessoa a cargo,13898,7383,5910,537,59,9,0,0,0,0,21095,,,
            1 pessoa a cargo,3146,122,2250,655,104,10,5,0,0,0,7083,,,
            2 pessoas a cargo,711,0,39,405,212,42,9,4,0,0,2433,,,
            3 pessoas a cargo,314,0,0,28,167,101,13,2,2,1,1376,,,
            4 ou mais pessoas a cargo,215,0,0,0,11,76,73,28,12,15,1295,,,
          1 pessoa activa,24184,6501,6210,5663,3547,1473,541,157,53,39,62624,,,
            Nenhuma pessoa a cargo,11435,6400,3471,1369,162,29,3,1,0,0,18267,,,
            1 pessoa a cargo,5666,101,2709,2236,524,84,9,3,0,0,14818,,,
            2 pessoas a cargo,3616,0,30,2033,1250,238,57,8,0,0,12747,,,
            3 pessoas a cargo,2313,0,0,25,1596,568,99,20,4,1,10074,,,
            4 ou mais pessoas a cargo,1154,0,0,0,15,554,373,125,49,38,6718,,,
          2 pessoas activas,30588,0,6462,10576,9331,2913,882,269,88,67,105110,,,
            Nenhuma pessoa a cargo,7963,0,5984,1450,460,57,12,0,0,0,18515,,,
            1 pessoa a cargo,10649,0,462,8484,1333,315,44,10,1,0,33625,,,
