"4.17 - FAMÍLIAS CLÁSSICAS, SEGUNDO A SUA DIMENSÃO E PESSOAS NAS FAMÍLIAS POR NÚMERO DE PESSOAS COM ACTIVIDADE  ECONÓMICA E NÚMERO DE DESEMPREGADOS (SENTIDO RESTRITO) NA FAMÍLIA",,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
Zona Geográfica,Famílias clássicas segundo a dimensão (pessoas),,,,,,,,,,Pessoas nas famílias,,,
Número de pessoas com actividade económica e número de pessoas desempregadas,Total,Com 1,Com 2,Com 3,Com 4,Com 5,Com 6,Com 7,Com 8,Com 9 ou mais,,,,
          4 pessoas activas,1877,0,0,0,520,597,364,175,96,125,10522,,,
          Todas empregadas,1004,0,0,0,322,328,184,81,41,48,5410,,,
          Com 1 desempregada,537,0,0,0,138,176,120,49,24,30,3001,,,
          Com 2 desempregadas,238,0,0,0,48,67,43,32,21,27,1455,,,
          Com 3 desempregadas,72,0,0,0,10,19,9,10,7,17,489,,,
          Todas desempregadas,26,0,0,0,2,7,8,3,3,3,167,,,
          5 ou mais pessoas activas,572,0,0,0,0,96,149,102,70,155,4323,,,
          Todas empregadas,235,0,0,0,0,55,59,51,27,43,1641,,,
          Com 1 desempregada,167,0,0,0,0,27,53,30,19,38,1227,,,
          Com 2 desempregadas,82,0,0,0,0,10,20,9,10,33,670,,,
          Com 3 desempregadas,55,0,0,0,0,0,15,8,10,22,477,,,
          Com 4 desempregadas,22,0,0,0,0,4,2,3,1,12,189,,,
          Com 5 ou mais desempregadas,11,0,0,0,0,0,0,1,3,7,119,,,
    Região Autónoma da Madeira,92823,18141,23705,22738,17535,6572,2489,893,399,351,264652,,,
        Nenhuma pessoa activa,21885,10158,8852,1891,647,211,72,32,15,7,38019,,,
        1 pessoa activa,27339,7983,7861,6396,3357,1194,371,108,56,13,65845,,,
        Empregada,23662,7170,6844,5416,2826,988,291,78,40,9,56048,,,
        Desempregada,3677,813,1017,980,531,206,80,30,16,4,9797,,,
        2 pessoas activas,34197,0,6992,12598,10438,3019,848,189,68,45,116017,,,
        Ambas empregadas,26707,0,5624,9917,8229,2197,562,115,40,23,89625,,,
        Apenas 1 desempregada,6461,0,1185,2357,1916,678,225,62,20,18,22608,,,
        Ambas desempregadas,1029,0,183,324,293,144,61,12,8,4,3784,,,
        3 pessoas activas,6822,0,0,1853,2489,1427,636,259,85,73,29673,,,
        Todas empregadas,3770,0,0,1089,1395,774,332,117,36,27,16076,,,
        Com 1 desempregada,2226,0,0,593,827,461,196,96,29,24,9710,,,
        Com 2 desempregadas,693,0,0,150,233,159,86,34,18,13,3199,,,
        Todas desempregadas,133,0,0,21,34,33,22,12,2,9,688,,,
        4 pessoas activas,1972,0,0,0,604,610,398,182,96,82,10715,,,
        Todas empregadas,883,0,0,0,291,278,175,81,36,22,4675,,,
        Com 1 desempregada,637,0,0,0,202,202,124,50,33,26,3437,,,
        Com 2 desempregadas,311,0,0,0,86,89,69,33,16,18,1744,,,
        Com 3 desempregadas,111,0,0,0,22,32,24,14,7,12,665,,,
        Todas desempregadas,30,0,0,0,3,9,6,4,4,4,194,,,
        5 ou mais pessoas activas,608,0,0,0,0,111,164,123,79,131,4383,,,
        Todas empregadas,220,0,0,0,0,41,72,49,20,38,1516,,,
        Com 1 desempregada,189,0,0,0,0,39,51,37,27,35,1329,,,
        Com 2 desempregadas,109,0,0,0,0,22,26,22,15,24,797,,,
        Com 3 desempregadas,52,0,0,0,0,7,9,11,9,16,402,,,
        Com 4 desempregadas,23,0,0,0,0,2,5,3,4,9,192,,,
        Com 5 ou mais desempregadas,15,0,0,0,0,0,1,1,4,9,147,,,
      Região Autónoma da Madeira,92823,18141,23705,22738,17535,6572,2489,893,399,351,264652,,,
          Nenhuma pessoa activa,21885,10158,8852,1891,647,211,72,32,15,7,38019,,,
          1 pessoa activa,27339,7983,7861,6396,3357,1194,371,108,56,13,65845,,,
          Empregada,23662,7170,6844,5416,2826,988,291,78,40,9,56048,,,
          Desempregada,3677,813,1017,980,531,206,80,30,16,4,9797,,,
          2 pessoas activas,34197,0,6992,12598,10438,3019,848,189,68,45,116017,,,
          Ambas empregadas,26707,0,5624,9917,8229,2197,562,115,40,23,89625,,,
          Apenas 1 desempregada,6461,0,1185,2357,1916,678,225,62,20,18,22608,,,
          Ambas desempregadas,1029,0,183,324,293,144,61,12,8,4,3784,,,
          3 pessoas activas,6822,0,0,1853,2489,1427,636,259,85,73,29673,,,
          Todas empregadas,3770,0,0,1089,1395,774,332,117,36,27,16076,,,
          Com 1 desempregada,2226,0,0,593,827,461,196,96,29,24,9710,,,
          Com 2 desempregadas,693,0,0,150,233,159,86,34,18,13,3199,,,
          Todas desempregadas,133,0,0,21,34,33,22,12,2,9,688,,,
          4 pessoas activas,1972,0,0,0,604,610,398,182,96,82,10715,,,
          Todas empregadas,883,0,0,0,291,278,175,81,36,22,4675,,,
          Com 1 desempregada,637,0,0,0,202,202,124,50,33,26,3437,,,
          Com 2 desempregadas,311,0,0,0,86,89,69,33,16,18,1744,,,
          Com 3 desempregadas,111,0,0,0,22,32,24,14,7,12,665,,,
          Todas desempregadas,30,0,0,0,3,9,6,4,4,4,194,,,
          5 ou mais pessoas activas,608,0,0,0,0,111,164,123,79,131,4383,,,
          Todas empregadas,220,0,0,0,0,41,72,49,20,38,1516,,,
          Com 1 desempregada,189,0,0,0,0,39,51,37,27,35,1329,,,
          Com 2 desempregadas,109,0,0,0,0,22,26,22,15,24,797,,,
          Com 3 desempregadas,52,0,0,0,0,7,9,11,9,16,402,,,
          Com 4 desempregadas,23,0,0,0,0,2,5,3,4,9,192,,,
          Com 5 ou mais desempregadas,15,0,0,0,0,0,1,1,4,9,147,,,
