"6.08 - POPULAÇÃO QUE JÁ RESIDIU NO ESTRANGEIRO, POR ANO DE CHEGADA A PORTUGAL SEGUNDO O PAÍS DE PROVENIENCIA E SEXO",,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Zona Geográfica,População alguma vez residente no estrangeiro (> 1 ano),Antes de 1931,De 1931 a 1940,De 1941 a 1950,De 1951 a 1960,De 1961 a 1970,De 1971 a 1980,De 1981 a 1990,De 1991 a 2000,De 2001 a 2005,De 2006 a 2011,,,,,,,,,,,,,,,,,
País de proveniencia e sexo,,,,,,,,,,,,,,,,,,,,,,,,,,,,
                   H,1604,0,1,8,24,315,614,114,69,185,274,,,,,,,,,,,,,,,,,
      Outros países - Ásia  HM,20557,0,0,3,19,70,700,2289,2704,6559,8213,,,,,,,,,,,,,,,,,
                            H,12117,0,0,2,11,35,509,1720,1742,3484,4614,,,,,,,,,,,,,,,,,
      Oceânia  HM,6524,0,2,2,16,75,842,1547,2627,653,760,,,,,,,,,,,,,,,,,
               H,3255,0,1,2,6,44,398,770,1303,329,402,,,,,,,,,,,,,,,,,
      Austrália  HM,6229,0,1,2,16,69,826,1494,2565,597,659,,,,,,,,,,,,,,,,,
                 H,3102,0,1,2,6,38,388,743,1278,295,351,,,,,,,,,,,,,,,,,
      Outros países da Oceânia  HM,295,0,1,0,0,6,16,53,62,56,101,,,,,,,,,,,,,,,,,
                                H,153,0,0,0,0,6,10,27,25,34,51,,,,,,,,,,,,,,,,,
      Outros países  HM,12,0,0,0,0,1,7,2,1,1,0,,,,,,,,,,,,,,,,,
                     H,6,0,0,0,0,1,4,0,0,1,0,,,,,,,,,,,,,,,,,
