"3.15 - ALOJAMENTOS CLÁSSICOS, OCUPADOS COMO RESIDÊNCIA HABITUAL, SEGUNDO A ENTIDADE PROPRIETÁRIA, EXISTENCIA DE ENCARGOS POR COMPRA  E PESSOAS RESIDENTES POR ÉPOCA DE CONSTRUÇÃO  DO EDIFÍCIO",,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
Zona Geográfica,Alojamentos clássicos ocupados como residência habitual,,,,,,,,,,,Pessoas residentes,,
,Total,Ocupante proprietário ,,,Outra entidade proprietária,,,,,,,Total,Em alojamentos  ocupados pelo proprietário,
Época de construção do edifício,,Total,C/ encargos por  compra,S/ encargos por compra,Total,"Ascendentes, descendentes  de 1º ou 2º grau",Particulares ou  empresas privadas,Empresa pública,"Estado, institutos públicos autónomos, instituições s/ fins lucrativos",Autarquias locais,Cooperativas de habitação,,,
        1981 - 1990,14713,12086,5464,6622,2627,721,1493,47,221,130,15,44845,37262,
        1991 - 1995,5437,4737,2559,2178,700,195,442,8,33,21,1,17808,15923,
        1996 - 2000,7698,6348,3936,2412,1350,276,653,14,86,313,8,25376,21099,
        2001 - 2005,9919,7833,5686,2147,2086,334,976,75,135,550,16,30517,24403,
        2006 - 2011,8114,6337,5113,1224,1777,236,629,66,423,383,40,24268,18654,
        Região Autónoma dos Açores,80425,64014,32370,31644,16411,4319,8395,292,1454,1817,134,243270,194707,
          Até 1919,4699,3695,1031,2664,1004,366,551,3,45,36,3,12459,9760,
          1919 - 1945,6796,5242,1916,3326,1554,570,839,10,75,52,8,19135,14688,
          1946 - 1960,8466,6442,2397,4045,2024,651,1085,33,133,106,16,24978,18949,
          1961 - 1970,6315,4875,1814,3061,1440,476,804,9,89,51,11,18643,14354,
          1971 - 1980,8268,6419,2454,3965,1849,494,923,27,214,175,16,25241,19615,
          1981 - 1990,14713,12086,5464,6622,2627,721,1493,47,221,130,15,44845,37262,
          1991 - 1995,5437,4737,2559,2178,700,195,442,8,33,21,1,17808,15923,
          1996 - 2000,7698,6348,3936,2412,1350,276,653,14,86,313,8,25376,21099,
          2001 - 2005,9919,7833,5686,2147,2086,334,976,75,135,550,16,30517,24403,
          2006 - 2011,8114,6337,5113,1224,1777,236,629,66,423,383,40,24268,18654,
      Região Autónoma da Madeira,92113,71829,29376,42453,20284,4948,10467,185,2869,1414,401,264357,208635,
        Até 1919,2774,1827,227,1600,947,318,585,1,27,11,5,6975,4567,
        1919 - 1945,4858,3278,544,2734,1580,503,1008,2,25,37,5,12131,8217,
        1946 - 1960,7088,4973,948,4025,2115,637,1328,4,28,116,2,18346,12900,
        1961 - 1970,7562,5807,998,4809,1755,594,1076,2,53,25,5,20150,15636,
        1971 - 1980,11744,9252,1771,7481,2492,700,1309,50,226,182,25,33534,26684,
        1981 - 1990,15195,11817,3207,8610,3378,794,1208,50,1079,138,109,47256,36681,
        1991 - 1995,9061,7248,3052,4196,1813,417,849,19,397,94,37,27499,22503,
        1996 - 2000,12126,9773,5744,4029,2353,410,1164,20,256,396,107,35994,29706,
        2001 - 2005,14561,11716,8424,3292,2845,392,1365,30,590,383,85,42496,34398,
        2006 - 2011,7144,6138,4461,1677,1006,183,575,7,188,32,21,19976,17343,
        Região Autónoma da Madeira,92113,71829,29376,42453,20284,4948,10467,185,2869,1414,401,264357,208635,
          Até 1919,2774,1827,227,1600,947,318,585,1,27,11,5,6975,4567,
          1919 - 1945,4858,3278,544,2734,1580,503,1008,2,25,37,5,12131,8217,
          1946 - 1960,7088,4973,948,4025,2115,637,1328,4,28,116,2,18346,12900,
          1961 - 1970,7562,5807,998,4809,1755,594,1076,2,53,25,5,20150,15636,
          1971 - 1980,11744,9252,1771,7481,2492,700,1309,50,226,182,25,33534,26684,
          1981 - 1990,15195,11817,3207,8610,3378,794,1208,50,1079,138,109,47256,36681,
          1991 - 1995,9061,7248,3052,4196,1813,417,849,19,397,94,37,27499,22503,
          1996 - 2000,12126,9773,5744,4029,2353,410,1164,20,256,396,107,35994,29706,
          2001 - 2005,14561,11716,8424,3292,2845,392,1365,30,590,383,85,42496,34398,
          2006 - 2011,7144,6138,4461,1677,1006,183,575,7,188,32,21,19976,17343,
