"4.04 - PESSOAS A VIVER EM FAMÍLIA CLÁSSICA, SEGUNDO O ESTADO CIVIL LEGAL E O SEXO DO REPRESENTANTE DA FAMÍLIA, PELA CLASSE ETÁRIA DESTE",,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
Zona Geográfica,Total,,Solteiro,,Casado,,Divorciado,,Viúvo,,,,,
Classe Etária,HM,H,HM,H,HM,H,HM,H,HM,H,,,,
        70 - 74 anos,11322,7528,412,163,6878,6615,245,115,3787,635,,,,
        75 ou mais anos,17753,10041,720,225,8455,8197,175,68,8403,1551,,,,
      Região Autónoma dos Açores,243882,188949,19832,11396,179776,166229,18644,7205,25630,4119,,,,
          Menos de 20 anos,274,104,210,83,59,21,3,0,2,0,,,,
          20 - 24 anos,2893,1726,1597,866,1203,838,80,19,13,3,,,,
          25 - 29 anos,10420,7489,3326,2032,6401,5277,650,177,43,3,,,,
          30 - 34 anos,22560,17636,3938,2486,16488,14478,2017,664,117,8,,,,
          35 - 39 anos,28239,22704,2684,1588,22048,19931,3163,1149,344,36,,,,
          40 - 44 anos,30370,24886,2054,1263,24380,22398,3211,1166,725,59,,,,
          45 - 49 anos,32976,27018,1653,1025,26287,24362,3558,1416,1478,215,,,,
          50 - 54 anos,29795,24719,1198,697,24135,22709,2525,1047,1937,266,,,,
          55 - 59 anos,24271,20024,849,455,19459,18530,1572,695,2391,344,,,,
          60 - 64 anos,18492,14490,639,288,13867,13266,986,488,3000,448,,,,
          65 - 69 anos,14517,10584,552,225,10116,9607,459,201,3390,551,,,,
          70 - 74 anos,11322,7528,412,163,6878,6615,245,115,3787,635,,,,
          75 ou mais anos,17753,10041,720,225,8455,8197,175,68,8403,1551,,,,
    Região Autónoma da Madeira,264652,183376,29377,13681,180342,157527,19952,7173,34981,4995,,,,
        Menos de 20 anos,193,106,183,97,7,7,0,0,3,2,,,,
        20 - 24 anos,1858,1037,1327,719,483,311,41,6,7,1,,,,
        25 - 29 anos,8130,5298,3675,2116,4093,3080,339,99,23,3,,,,
        30 - 34 anos,19921,14590,5153,3084,13374,11077,1271,413,123,16,,,,
        35 - 39 anos,29462,22390,4329,2415,21968,18893,2902,1058,263,24,,,,
        40 - 44 anos,33168,25120,3427,1763,25355,22082,3621,1168,765,107,,,,
        45 - 49 anos,35675,26490,2749,1203,27483,23735,3891,1340,1552,212,,,,
        50 - 54 anos,31298,23158,2031,822,23861,20879,3056,1220,2350,237,,,,
        55 - 59 anos,25975,18897,1422,490,19367,17177,2131,819,3055,411,,,,
        60 - 64 anos,21512,14979,1230,341,15237,13642,1311,558,3734,438,,,,
        65 - 69 anos,17081,10818,1178,230,10818,9749,685,278,4400,561,,,,
        70 - 74 anos,15187,8531,1041,170,8236,7477,382,141,5528,743,,,,
        75 ou mais anos,25192,11962,1632,231,10060,9418,322,73,13178,2240,,,,
      Região Autónoma da Madeira,264652,183376,29377,13681,180342,157527,19952,7173,34981,4995,,,,
          Menos de 20 anos,193,106,183,97,7,7,0,0,3,2,,,,
          20 - 24 anos,1858,1037,1327,719,483,311,41,6,7,1,,,,
          25 - 29 anos,8130,5298,3675,2116,4093,3080,339,99,23,3,,,,
          30 - 34 anos,19921,14590,5153,3084,13374,11077,1271,413,123,16,,,,
          35 - 39 anos,29462,22390,4329,2415,21968,18893,2902,1058,263,24,,,,
          40 - 44 anos,33168,25120,3427,1763,25355,22082,3621,1168,765,107,,,,
          45 - 49 anos,35675,26490,2749,1203,27483,23735,3891,1340,1552,212,,,,
          50 - 54 anos,31298,23158,2031,822,23861,20879,3056,1220,2350,237,,,,
          55 - 59 anos,25975,18897,1422,490,19367,17177,2131,819,3055,411,,,,
          60 - 64 anos,21512,14979,1230,341,15237,13642,1311,558,3734,438,,,,
          65 - 69 anos,17081,10818,1178,230,10818,9749,685,278,4400,561,,,,
          70 - 74 anos,15187,8531,1041,170,8236,7477,382,141,5528,743,,,,
          75 ou mais anos,25192,11962,1632,231,10060,9418,322,73,13178,2240,,,,
