"3.21 - ALOJAMENTOS CLÁSSICOS PROPRIEDADE DOS OCUPANTES, OCUPADOS COMO RESIDÊNCIA HABITUAL, SEGUNDO O ESCALÃO DE ENCARGOS, POR ÉPOCA DE CONSTRUÇÃO",,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
Zona Geográfica                                 Época de construção,Alojamentos clássicos segundo o escalão de encargos (euros),,,,,,,,,,,,,
,Total,Sem Encargos,Menos de 75,De 75 a menos de 100 ,De 100 a menos de 150 ,De 150 a menos de 200 ,De 200 a menos de 250 ,De 250 a menos de 300 ,De 300 a menos de 350 ,De 350 a menos 400 ,De 400 a menos de 500 ,De 500 a menos de 650 ,De 650 a menos de 800 ,800  ou mais
          1991 - 1995,4737,2178,96,77,170,156,186,214,210,171,335,203,537,204
          1996 - 2000,6348,2412,104,81,236,311,330,379,327,317,568,417,596,270
          2001 - 2005,7833,2147,140,87,211,294,464,530,481,569,958,692,831,429
          2006 - 2011,6337,1224,98,61,168,246,413,514,491,489,834,683,738,378
    Região Autónoma da Madeira,71829,42453,833,470,989,1221,1689,2517,2922,3288,5277,4052,3756,2362
        Até 1919,1827,1600,8,9,16,16,16,20,16,15,24,13,58,16
        1919 - 1945,3278,2734,27,16,25,30,21,42,43,56,61,36,143,44
        1946 - 1960,4973,4025,53,14,38,56,63,72,78,63,120,88,229,74
        1961 - 1970,5807,4809,47,28,49,63,64,68,84,72,143,71,227,82
        1971 - 1980,9252,7481,99,44,81,105,115,139,145,157,246,181,303,156
        1981 - 1990,11817,8610,200,102,191,176,234,240,239,279,489,305,505,247
        1991 - 1995,7248,4196,96,51,126,151,195,276,277,336,512,406,391,235
        1996 - 2000,9773,4029,116,88,171,210,314,532,652,750,1094,852,547,418
        2001 - 2005,11716,3292,130,77,182,291,449,766,901,1059,1717,1353,878,621
        2006 - 2011,6138,1677,57,41,110,123,218,362,487,501,871,747,475,469
      Região Autónoma da Madeira,71829,42453,833,470,989,1221,1689,2517,2922,3288,5277,4052,3756,2362
          Até 1919,1827,1600,8,9,16,16,16,20,16,15,24,13,58,16
          1919 - 1945,3278,2734,27,16,25,30,21,42,43,56,61,36,143,44
          1946 - 1960,4973,4025,53,14,38,56,63,72,78,63,120,88,229,74
          1961 - 1970,5807,4809,47,28,49,63,64,68,84,72,143,71,227,82
          1971 - 1980,9252,7481,99,44,81,105,115,139,145,157,246,181,303,156
          1981 - 1990,11817,8610,200,102,191,176,234,240,239,279,489,305,505,247
          1991 - 1995,7248,4196,96,51,126,151,195,276,277,336,512,406,391,235
          1996 - 2000,9773,4029,116,88,171,210,314,532,652,750,1094,852,547,418
          2001 - 2005,11716,3292,130,77,182,291,449,766,901,1059,1717,1353,878,621
          2006 - 2011,6138,1677,57,41,110,123,218,362,487,501,871,747,475,469
