"6.02 - POPULAÇÃO RESIDENTE SEGUNDO A DIMENSÃO DOS LUGARES, POPULAÇÃO ISOLADA, EMBARCADA CORPO DIPLOMÁTICO E SEXO POR GRUPO ETÁRIO",,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,
,Total,,Em lugares até 1999 habitantes,,Em lugares de 2000 a 4999 habitantes,,Em lugares de 5000 a 9999 habitantes,,Em lugares de 10000 a 19999 habitantes,,Em lugares de 20000 a 49999 habitantes,,Em lugares de 50000 a 99999 habitantes,,Em lugares de 100000 a 199999 habitantes,,Em lugares de 200000 a 499999 habitantes,,Em lugares de 500000 a 999999 habitantes,,Em lugares com 1000000 habitantes ou mais,,"População isolada, embarcada e corpo diplomático",
Zona Geográfica,,,,,,,,,,,,,,,,,,,,,,,,
Grupo Etário,HM,H,HM,H,HM,H,HM,H,HM,H,HM,H,HM,H,HM,H,HM,H,HM,H,HM,H,HM,H
          5 - 9 anos,185453,94577,69902,35719,13210,6720,16230,8220,23739,12086,30985,15809,3332,1693,16753,8559,9267,4768,0,0,0,0,2035,1003
          10 - 14 anos,208382,106854,82381,42204,14928,7706,17875,9096,25603,13173,32882,16883,3540,1818,18114,9292,10649,5442,0,0,0,0,2410,1240
          15 - 19 anos,212077,108207,85710,43805,15148,7798,17563,8909,25297,12839,32695,16689,3445,1725,17762,9024,11895,6089,0,0,0,0,2562,1329
          20 - 24 anos,213799,107325,83940,42096,15367,7748,17605,8953,25391,12820,33893,16953,3465,1718,18373,9055,13122,6537,0,0,0,0,2643,1445
          25 - 29 anos,233044,115431,83278,41855,16431,8149,19542,9517,29659,14480,40041,19580,4282,2071,22068,10741,15173,7656,0,0,0,0,2570,1382
          30 - 34 anos,266844,130234,93170,45682,18631,9130,22916,11228,35426,17303,47598,22986,4947,2344,26276,12660,15149,7474,0,0,0,0,2731,1427
          35 - 39 anos,291005,141177,104897,51482,19981,9674,24969,12150,37746,18263,51075,24326,5618,2724,28020,13352,15610,7541,0,0,0,0,3089,1665
          40 - 44 anos,281655,135684,105648,52214,20121,9640,23713,11504,35744,17073,47684,22325,5114,2352,25623,11988,14907,6986,0,0,0,0,3101,1602
          45 - 49 anos,285360,137455,108807,53991,20144,9714,23460,11418,35060,16825,47198,21810,5013,2393,25466,11888,16947,7737,0,0,0,0,3265,1679
          50 - 54 anos,262486,125955,100361,49489,18396,9073,20517,9974,31806,15182,43794,20333,4703,2155,22929,10580,17048,7672,0,0,0,0,2932,1497
          55 - 59 anos,240304,114324,90661,43908,16579,7950,18346,8845,28784,13800,40864,19063,4274,1981,20823,9710,17394,7746,0,0,0,0,2579,1321
          60 - 64 anos,214436,101705,81592,39100,14532,7016,15838,7616,24946,12026,35866,16923,4133,1952,18478,8712,16884,7334,0,0,0,0,2167,1026
          65 - 69 anos,178282,81715,72790,32926,11636,5384,12980,6115,19500,9180,28157,13073,3168,1503,13961,6571,14248,6118,0,0,0,0,1842,845
          70 - 74 anos,157970,69704,68543,30348,10522,4726,10945,4859,16131,7254,23005,10183,2532,1150,11527,5074,12957,5265,0,0,0,0,1808,845
          75 - 79 anos,133561,55709,59894,25388,8783,3690,8780,3650,13075,5576,18379,7624,1983,803,9516,3894,11606,4393,0,0,0,0,1545,691
          80 - 84 anos,92102,34585,41213,16184,5953,2262,5509,2072,8667,3194,12600,4465,1383,506,6838,2442,8836,2995,0,0,0,0,1103,465
