"6.34 - POPULAÇÃO RESIDENTE  EMPREGADA, SEGUNDO A SITUAÇÃO NA PROFISSÃO E SEXO, POR RAMOS DE ACTIVIDADE ECONÓMICA",,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
Zona Geográfica,Total,,Patrão/Empregador,,Trabalhador por conta própria ou isolado,,Trabalhador familiar não remunerado,,Trabalhador por conta de outrém,,Membro activo de cooperativa de produção,,Outra situação,,
,,,,,,,,,,,,,,,
Ramos de actividade económica,HM,H,HM,H,HM,H,HM,H,HM,H,HM,H,HM,H,
"      Fabricação de reservatórios, recipientes, caldeiras e radiadores metálicos para aquecimento central",5114,4133,616,529,155,133,2,2,4296,3434,3,2,42,33,
      Fabricação de geradores de vapor (excepto caldeiras para aquecimento central),35,24,2,1,0,0,0,0,33,23,0,0,0,0,
      Fabricação de armas e munições,424,312,6,5,7,7,0,0,409,299,1,1,1,0,
"      Fabricação de produtos forjados, estampados e laminados; metalurgia dos pós",104,85,7,7,3,2,0,0,94,76,0,0,0,0,
      Tratamento e revestimento de metais; actividades de mecânica geral,4712,3840,522,440,207,193,8,8,3945,3171,1,1,29,27,
"      Fabricação de cutelaria, ferramentas e ferragens",15130,11723,1385,1137,338,308,17,12,13328,10214,19,17,43,35,
      Fabricação de outros produtos metálicos,5921,4383,405,318,105,97,7,6,5384,3942,6,6,14,14,
"      Fabricação de componentes  e de placas, electrónicos",5932,3635,309,268,155,145,0,0,5426,3191,3,1,39,30,
      Fabricação de computadores e de equipamento periférico,424,323,25,22,17,17,0,0,379,282,0,0,3,2,
      Fabricação de aparelhos e equipamentos para comunicações,604,421,48,38,14,10,0,0,533,368,0,0,9,5,
      Fabricação de receptores  de rádio e de televisão e bens de consumo similares,2185,828,40,30,13,13,0,0,2121,780,1,0,10,5,
"      Fabricação de instrumentos e aparelhos de medida, verificação e navegação; relógios e material de relojoaria",1264,807,79,67,12,12,1,0,1165,724,0,0,7,4,
"      Fabricação de equipamentos de radiação, electromedicina e electroterapêutico",512,267,28,22,10,7,0,0,470,237,0,0,4,1,
      Fabricação de instrumentos e de equipamentos  ópticos e fotográficos,1359,677,53,37,0,0,1,1,1294,635,2,2,9,2,
      Fabricação de suportes de informação magnéticos e ópticos,19,11,2,2,0,0,0,0,17,9,0,0,0,0,
"      Fabricação de motores, geradores e transformadores eléctricos e fabricação de material de distribuição e de controlo para instalações eléctricas",5375,4020,265,232,33,30,3,3,5049,3733,8,8,17,14,
      Fabricação de acumuladores e pilhas,524,432,12,11,3,3,0,0,507,416,0,0,2,2,
      Fabricação de fios e cabos isolados e seus acessórios,1969,1533,28,23,4,4,0,0,1929,1498,1,1,7,7,
      Fabricação de lâmpadas eléctricas e de outro equipamento de iluminação,2201,1420,241,190,64,50,4,3,1884,1170,2,2,6,5,
      Fabricação de aparelhos para uso doméstico,3942,2440,177,148,48,39,4,3,3694,2235,4,4,15,11,
      Fabricação de outro equipamento eléctrico,3528,2067,175,135,24,18,0,0,3310,1899,4,4,15,11,
      Fabricação de máquinas e de equipamentos para uso geral,3657,2449,219,177,49,41,3,3,3358,2213,2,1,26,14,
      Fabricação de outras máquinas para uso geral,11473,9655,1247,1121,343,337,16,13,9811,8133,6,6,50,45,
"      Fabricação de máquinas e de tractores para a agricultura, pecuária e silvicultura",1123,974,91,77,33,32,1,1,995,863,1,0,2,1,
"      Fabricação de máquinas-ferramentas, excepto portáteis",178,150,16,14,4,4,0,0,158,132,0,0,0,0,
      Fabricação de outras máquinas e equipamento para uso específico,4370,3654,483,420,111,100,2,1,3747,3108,2,2,25,23,
      Fabricação de veículos automóveis,14096,10713,373,316,135,128,4,3,13509,10213,15,12,60,41,
"      Fabricação de carroçarias, reboques e semi-reboques",1218,1050,117,98,10,10,0,0,1089,940,1,1,1,1,
      Fabricação de componentes e acessórios para veículos automóveis,25038,13197,483,317,172,119,8,3,24223,12709,78,21,74,28,
      Construção naval,4917,4425,295,271,86,85,4,4,4489,4023,2,2,41,40,
      Fabricação de material circulante para caminhos-de-ferro,46,38,4,3,3,2,0,0,39,33,0,0,0,0,
"      Fabricação de aeronaves, de veículos espaciais e equipamento relacionado",2044,1744,48,42,10,10,0,0,1981,1688,0,0,5,4,
      Fabricação de veículos militares de combate,19,18,0,0,0,0,0,0,19,18,0,0,0,0,
"      Fabricação de  equipamento de transporte, n.e.",1211,609,48,38,12,11,1,1,1145,558,3,0,2,1,
      Fabrico de mobiliário e de colchões,35876,27586,4418,3843,2013,1906,99,68,29168,21636,35,26,143,107,
"      Fabricação de joalharia, ourivesaria, bijutaria e artigos similares; cunhagem de moedas",1552,997,312,231,223,162,9,6,997,590,0,0,11,8,
      Fabricação de instrumentos musicais,110,95,13,13,17,17,0,0,78,63,0,0,2,2,
      Fabricação de artigos de desporto,391,227,47,37,12,12,0,0,331,177,0,0,1,1,
      Fabricação de jogos e de brinquedos,967,404,68,44,29,19,2,2,858,332,0,0,10,7,
      Fabricação de instrumentos e material médico-cirurgico,3116,1377,389,294,279,207,2,1,2428,864,3,3,15,8,
"      Indústrias transformadoras, n.e.",5401,3098,459,330,291,204,13,6,4581,2524,6,5,51,29,
"      Reparação e  manutenção de produtos metálicos, máquinas e equipamentos",9220,8240,1031,941,828,814,17,13,7291,6425,3,3,50,44,
      Instalação de máquinas e de equipamentos industriais,4295,3811,496,449,151,144,8,8,3618,3190,0,0,22,20,
"      Produção, transporte, distribuição e comércio de electricidade",24938,21632,1713,1555,1409,1383,36,33,21617,18519,11,11,152,131,
      Produção de gás; distribuição de combustíveis gasosos por condutas; comércio de gás por condutas,2232,1736,244,215,61,56,1,1,1910,1451,0,0,16,13,
"      Produção e distribuição de vapor,  água quente e fria  e ar frio por conduta; produção de gelo",65,56,8,8,4,4,0,0,52,43,0,0,1,1,
"      Captação, tratamento  e distribuição de água",12786,9241,325,247,71,58,3,2,12289,8859,2,2,96,73,
"      Recolha, drenagem  e tratamento de águas residuais",2339,1821,68,53,28,28,0,0,2232,1733,0,0,11,7,
      Recolha de resíduos,5514,4702,146,116,41,37,6,6,5298,4527,0,0,23,16,
      Tratamento e eliminação de resíduos,1120,834,40,30,2,2,1,1,1073,797,1,1,3,3,
