"3.09 - ALOJAMENTOS CLÁSSICOS, SEGUNDO A FORMA DE OCUPAÇÃO, FAMÍLIAS CLÁSSICAS E PESSOAS RESIDENTES, POR ÉPOCA DE CONSTRUÇÃO DO EDIFÍCIO ",,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,"Alojamentos clássicos, segundo a forma de ocupação",,,,,,,,,Famílias clássicas,Pessoas residentes,,,
Zona Geográfica,,Ocupados,,,Vagos,,,,,,,,,
Época de construção,Total         ,Total,Residência habitual,Residência secundária,Total,Para venda,Para arrendamento,Para demolição,Outros,,,,,
      Região Autónoma dos Açores,109337,95835,80425,15410,13502,2368,2050,448,8636,81453,243270,,,
          Até 1919,7328,6063,4699,1364,1265,185,105,66,909,4767,12459,,,
          1919 - 1945,10439,8584,6796,1788,1855,293,179,102,1281,6866,19135,,,
          1946 - 1960,12345,10247,8466,1781,2098,266,239,87,1506,8603,24978,,,
          1961 - 1970,9235,7763,6315,1448,1472,221,165,80,1006,6423,18643,,,
          1971 - 1980,11352,9857,8268,1589,1495,225,229,51,990,8398,25241,,,
          1981 - 1990,18893,17014,14713,2301,1879,280,340,32,1227,14938,44845,,,
          1991 - 1995,6928,6453,5437,1016,475,57,131,5,282,5491,17808,,,
          1996 - 2000,9550,8968,7698,1270,582,88,164,11,319,7804,25376,,,
          2001 - 2005,12470,11456,9919,1537,1014,177,258,4,575,10007,30517,,,
          2006 - 2011,10797,9430,8114,1316,1367,576,240,10,541,8156,24268,,,
    Região Autónoma da Madeira,129105,111533,92113,19420,17572,3853,2054,595,11070,92664,264357,,,
        Até 1919,4233,3074,2774,300,1159,75,16,120,948,2809,6975,,,
        1919 - 1945,7919,5687,4858,829,2232,129,63,142,1898,4912,12131,,,
        1946 - 1960,10453,8319,7088,1231,2134,155,90,126,1763,7142,18346,,,
        1961 - 1970,10547,8930,7562,1368,1617,121,140,83,1273,7624,20150,,,
        1971 - 1980,15802,13973,11744,2229,1829,190,284,41,1314,11830,33534,,,
        1981 - 1990,19581,18006,15195,2811,1575,162,303,30,1080,15257,47256,,,
        1991 - 1995,12181,11124,9061,2063,1057,132,256,15,654,9102,27499,,,
        1996 - 2000,16200,14990,12126,2864,1210,243,330,16,621,12184,35994,,,
        2001 - 2005,19994,18096,14561,3535,1898,689,408,20,781,14631,42496,,,
        2006 - 2011,12195,9334,7144,2190,2861,1957,164,2,738,7173,19976,,,
      Região Autónoma da Madeira,129105,111533,92113,19420,17572,3853,2054,595,11070,92664,264357,,,
          Até 1919,4233,3074,2774,300,1159,75,16,120,948,2809,6975,,,
          1919 - 1945,7919,5687,4858,829,2232,129,63,142,1898,4912,12131,,,
          1946 - 1960,10453,8319,7088,1231,2134,155,90,126,1763,7142,18346,,,
          1961 - 1970,10547,8930,7562,1368,1617,121,140,83,1273,7624,20150,,,
          1971 - 1980,15802,13973,11744,2229,1829,190,284,41,1314,11830,33534,,,
          1981 - 1990,19581,18006,15195,2811,1575,162,303,30,1080,15257,47256,,,
          1991 - 1995,12181,11124,9061,2063,1057,132,256,15,654,9102,27499,,,
          1996 - 2000,16200,14990,12126,2864,1210,243,330,16,621,12184,35994,,,
          2001 - 2005,19994,18096,14561,3535,1898,689,408,20,781,14631,42496,,,
          2006 - 2011,12195,9334,7144,2190,2861,1957,164,2,738,7173,19976,,,
