"6.07 - POPULAÇÃO PORTUGUESA RESIDENTE, NASCIDA NO ESTRANGEIRO, SEGUNDO O GRUPO ETÁRIO, POR PAISES DE NATURALIDADE E SEXO",,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Zona Geográfica,Total,De 0 a 4 anos,De 5 a 9 anos,De 10 a 14 anos,De 15 a 19 anos,De 20 a 24 anos,De 25 a 29 anos,De 30 a 34 anos,De 35 a 39 anos,De 40 a 44 anos,De 45 a 49 anos,De 50 a 54 anos,De 55 a 59 anos,De 60 a 64 anos,De 65 a 69 anos,De 70 a 74 anos,De 75 a 79 anos,De 80 a 84 anos,De 85 ou mais anos,,,,,,,,,
País de naturalidade e sexo,,,,,,,,,,,,,,,,,,,,,,,,,,,,
                  H,12701,85,154,395,751,627,590,749,933,1193,1337,1567,1651,854,698,512,349,163,93,,,,,,,,,
      Guiné-Bissau  HM,13707,131,233,469,776,808,799,1030,1580,1952,2067,1429,953,606,378,205,149,94,48,,,,,,,,,
                    H,7619,75,127,248,423,403,407,506,828,1115,1307,862,546,379,203,99,41,33,17,,,,,,,,,
      Moçambique  HM,69430,75,176,312,263,339,862,2635,13530,12574,11050,8558,6403,4357,2644,1993,1706,1119,834,,,,,,,,,
                  H,32331,42,74,150,128,159,393,1270,6634,6102,5382,4040,2826,1888,1097,877,627,379,263,,,,,,,,,
      São Tomé e Príncipe  HM,8673,90,131,237,449,479,621,824,973,1097,1134,910,642,339,267,183,139,96,62,,,,,,,,,
                           H,3813,48,74,114,213,223,263,323,431,471,527,407,260,159,119,71,61,30,19,,,,,,,,,
      Outros países - África  HM,7312,53,83,112,181,240,355,646,1066,911,698,909,752,488,314,212,153,100,39,,,,,,,,,
                              H,3584,24,46,62,105,119,169,316,551,464,375,470,363,217,124,73,59,41,6,,,,,,,,,
      América  HM,69835,932,1376,2294,4033,6499,8847,11022,9428,8154,6563,3974,2195,1030,702,587,572,795,832,,,,,,,,,
               H,31267,482,710,1166,2022,3170,4131,5053,4214,3592,2841,1639,805,370,227,195,180,273,197,,,,,,,,,
      Argentina  HM,738,7,7,17,29,44,44,72,70,84,84,90,61,28,20,18,19,24,20,,,,,,,,,
                 H,332,2,5,10,16,21,17,34,34,39,39,38,29,10,10,7,9,7,5,,,,,,,,,
      Brasil  HM,33392,597,669,1006,1289,1891,3055,5011,4162,4123,3961,2667,1461,738,545,469,448,644,656,,,,,,,,,
              H,14528,306,340,513,639,925,1399,2220,1847,1852,1774,1087,535,270,168,146,130,224,153,,,,,,,,,
      Canadá  HM,6316,57,138,288,839,934,746,1239,1136,593,196,49,24,16,13,17,19,9,3,,,,,,,,,
              H,2891,29,71,152,408,444,341,573,480,239,91,18,10,5,4,11,10,2,3,,,,,,,,,
      Estados Unidos da América  HM,5072,153,259,316,556,755,717,784,641,288,111,83,69,63,35,13,30,70,129,,,,,,,,,
                                 H,2385,77,139,174,280,358,349,366,286,131,43,33,25,32,17,7,14,24,30,,,,,,,,,
"      Venezuela, República Bolivariana da  HM",22218,72,204,569,1181,2718,4123,3675,3187,2831,2028,924,449,114,44,34,34,23,8,,,,,,,,,
                                           H,10269,41,106,267,613,1344,1959,1757,1483,1239,826,397,160,30,13,14,10,7,3,,,,,,,,,
      Outros países - América  HM,2099,46,99,98,139,157,162,241,232,235,183,161,131,71,45,36,22,25,16,,,,,,,,,
                               H,862,27,49,50,66,78,66,103,84,92,68,66,46,23,15,10,7,9,3,,,,,,,,,
      Ásia  HM,11421,134,174,351,511,544,478,602,818,893,975,1218,1133,990,767,698,540,335,260,,,,,,,,,
            H,5574,73,89,177,261,271,212,324,436,499,518,602,535,454,378,288,245,122,90,,,,,,,,,
      China  HM,811,26,18,31,50,70,54,62,81,60,63,72,67,40,23,31,30,15,18,,,,,,,,,
             H,368,12,11,22,26,34,25,33,30,31,27,34,29,17,6,11,9,6,5,,,,,,,,,
      Índia  HM,4934,36,55,69,74,63,77,159,218,265,339,637,556,566,547,505,378,224,166,,,,,,,,,
             H,2493,22,30,38,43,27,34,88,143,153,192,326,286,272,289,210,187,92,61,,,,,,,,,
      Japão  HM,65,3,4,8,5,5,6,4,4,5,0,1,5,8,1,2,3,0,1,,,,,,,,,
             H,24,2,3,4,1,2,1,1,0,4,0,0,1,3,0,0,2,0,0,,,,,,,,,
      Macau  HM,2041,7,18,127,246,247,120,84,67,104,146,220,239,126,68,59,63,58,42,,,,,,,,,
             H,900,5,8,57,115,124,59,43,25,49,67,90,112,54,30,20,19,11,12,,,,,,,,,
      Paquistão  HM,382,14,23,32,24,15,19,24,59,50,36,37,19,10,6,10,4,0,0,,,,,,,,,
                 H,235,9,12,13,14,10,6,16,43,40,23,29,11,3,3,2,1,0,0,,,,,,,,,
      Timor Leste  HM,1634,5,11,12,19,64,79,92,183,208,212,135,163,183,100,70,46,28,24,,,,,,,,,
                   H,735,3,5,6,12,26,34,47,82,101,108,60,57,77,41,37,20,10,9,,,,,,,,,
      Outros países - Ásia  HM,1554,43,45,72,93,80,123,177,206,201,179,116,84,57,22,21,16,10,9,,,,,,,,,
                            H,819,20,20,37,50,48,53,96,113,121,101,63,39,28,9,8,7,3,3,,,,,,,,,
      Oceânia  HM,1012,13,18,63,118,167,127,169,181,84,23,5,7,10,12,10,1,1,3,,,,,,,,,
               H,452,8,7,33,53,83,55,71,82,31,7,1,3,4,6,7,1,0,0,,,,,,,,,
      Austrália  HM,963,11,16,60,115,162,125,163,174,79,20,4,4,6,11,9,0,1,3,,,,,,,,,
                 H,429,7,6,33,52,79,53,68,78,29,6,1,2,3,5,7,0,0,0,,,,,,,,,
      Outros países da Oceânia  HM,49,2,2,3,3,5,2,6,7,5,3,1,3,4,1,1,1,0,0,,,,,,,,,
                                H,23,1,1,0,1,4,2,3,4,2,1,0,1,1,1,0,1,0,0,,,,,,,,,
      Outros países  HM,9,0,0,0,0,0,0,0,2,3,2,1,0,1,0,0,0,0,0,,,,,,,,,
                     H,4,0,0,0,0,0,0,0,1,2,1,0,0,0,0,0,0,0,0,,,,,,,,,
