"6.05 - POPULAÇÃO RESIDENTE, SEGUNDO O GRUPO ETÁRIO, POR NACIONALIDADE E SEXO",,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Zona Geográfica,Total,De 0 a 4 anos,De 5 a 9 anos,De 10 a 14 anos,De 15 a 19 anos,De 20 a 24 anos,De 25 a 29 anos,De 30 a 34 anos,De 35 a 39 anos,De 40 a 44 anos,De 45 a 49 anos,De 50 a 54 anos,De 55 a 59 anos,De 60 a 64 anos,De 65 a 69 anos,De 70 a 74 anos,De 75 a 79 anos,De 80 a 84 anos,De 85 ou mais anos,,,,,,,,,
Nacionalidade e sexo,,,,,,,,,,,,,,,,,,,,,,,,,,,,
      Rússia (Federação da)  HM,4205,99,152,232,260,286,347,477,566,515,477,397,217,110,29,22,9,7,3,,,,,,,,,
                             H,1657,52,78,114,130,114,100,160,208,202,205,157,82,38,9,3,3,2,0,,,,,,,,,
      Outros países - Europa  HM,42688,1696,1651,2629,2904,2674,3309,6057,6481,5062,4369,3435,1688,526,106,62,14,9,16,,,,,,,,,
                              H,21569,874,831,1294,1439,1321,1353,2889,3338,2694,2387,1905,918,259,33,19,5,3,7,,,,,,,,,
      África  HM,96418,1903,2771,5604,9863,12382,10044,10127,10719,9727,7441,5579,4176,1887,1257,1173,869,497,399,,,,,,,,,
              H,47409,967,1407,2805,4949,6014,4835,4751,5452,5015,3952,2948,2112,796,485,410,302,118,91,,,,,,,,,
      África do Sul  HM,723,6,16,35,46,65,63,71,98,93,67,48,28,28,21,19,12,6,1,,,,,,,,,
                     H,304,3,10,15,17,30,27,29,44,38,28,20,10,8,10,9,4,1,1,,,,,,,,,
      Angola  HM,24723,473,619,1391,2023,2252,2093,2983,3955,3271,2002,1332,841,461,290,288,194,124,131,,,,,,,,,
              H,11652,225,325,680,986,1072,1061,1434,2015,1650,914,638,296,119,64,66,63,25,19,,,,,,,,,
      Cabo Verde  HM,37081,681,917,2199,4314,6051,4136,2806,2753,2961,2575,2420,2219,810,639,632,488,279,201,,,,,,,,,
                  H,17698,345,450,1075,2037,2823,1946,1240,1291,1421,1331,1253,1203,408,290,269,187,76,53,,,,,,,,,
      Guiné-Bissau  HM,15632,297,571,958,1796,1905,1654,1916,1806,1553,1381,860,466,207,116,67,48,22,9,,,,,,,,,
                    H,8755,156,284,519,1027,1041,865,968,987,932,909,566,292,120,47,21,13,4,4,,,,,,,,,
      Moçambique  HM,3515,50,76,118,164,256,317,464,519,459,346,210,178,121,74,64,39,35,25,,,,,,,,,
                  H,1542,25,35,55,85,128,120,189,245,209,160,85,88,47,32,13,12,8,6,,,,,,,,,
      São Tomé e Príncipe  HM,9764,263,402,702,1180,1459,1182,1068,833,750,648,470,325,191,92,79,69,25,26,,,,,,,,,
                           H,4400,140,211,346,569,708,499,445,364,336,311,205,138,59,27,19,16,2,5,,,,,,,,,
      Outros países - África  HM,4980,133,170,201,340,394,599,819,755,640,422,239,119,69,25,24,19,6,6,,,,,,,,,
                              H,3058,73,92,115,228,212,317,446,506,429,299,181,85,35,15,13,7,2,3,,,,,,,,,
      América  HM,110769,3297,4305,7075,7579,10016,16668,18123,14378,10808,8036,4772,2591,1310,661,410,280,212,248,,,,,,,,,
               H,46992,1699,2190,3550,3879,4685,7068,7480,5588,4106,2940,1667,926,524,260,169,105,72,84,,,,,,,,,
      Argentina  HM,397,8,14,15,14,20,42,59,60,41,31,28,20,15,14,5,2,6,3,,,,,,,,,
                 H,185,5,10,8,7,9,19,28,23,17,16,12,10,10,7,2,1,0,1,,,,,,,,,
      Brasil  HM,101991,3111,4030,6675,7096,9362,15799,17000,13321,9911,7232,4275,2191,961,386,219,145,117,160,,,,,,,,,
              H,42905,1601,2045,3347,3616,4379,6699,6992,5081,3690,2574,1469,755,358,121,63,42,26,47,,,,,,,,,
      Canadá  HM,1118,18,38,52,78,87,55,146,132,114,73,52,54,63,53,43,27,20,13,,,,,,,,,
              H,607,9,22,25,46,45,28,85,72,73,34,26,20,31,30,28,12,12,9,,,,,,,,,
      Estados Unidos da América  HM,2230,90,103,108,138,114,116,181,194,143,148,116,151,167,148,108,86,57,62,,,,,,,,,
                                 H,1086,42,52,49,70,54,52,83,107,64,70,55,68,87,73,62,46,28,24,,,,,,,,,
"      Venezuela, República Bolivariana da  HM",2448,19,44,81,126,251,357,337,310,303,294,177,74,36,13,13,5,3,5,,,,,,,,,
