"3.19 - ALOJAMENTOS CLÁSSICOS PROPRIEDADE DOS OCUPANTES, OCUPADOS COMO RESIDÊNCIA HABITUAL, SEGUNDO O NÚMERO DE DIVISÕES, POR GRUPO SÓCIO-ECONÓMICO DO TITULAR DO ALOJAMENTO, EXISTÊNCIA DE ENCARGOS POR COMPRA E RESPECTIVOS ESCALÕES",,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
Zona Geográfica,Total,"Alojamentos clássicos, segundo o número de divisões",,,,,,,,,,Famílias clássicas,Pessoas residentes,
Grupo sócio-económico do titular do alojamento e escalão de encargos,,Com 1,Com 2,Com 3,Com 4,Com 5,Com 6,Com 7,Com 8,Com 9,Com 10 ou mais ,,,
"        400 - 499,99 euros",6580,2,23,196,1327,2466,1227,638,324,175,202,6618,22340,
"        500 - 649,99 euros",5146,0,11,82,792,1856,1163,604,295,151,192,5167,17740,
"        650 - 799,99 euros",2963,0,8,59,414,959,696,391,205,119,112,2984,10224,
        800 euros ou mais,3172,1,8,34,269,850,781,569,282,172,206,3192,11099,
      Pequenos patrões do comércio e serviços,56290,31,281,1789,10984,20180,10696,5874,2975,1734,1746,56690,176366,
        Sem encargos,27523,17,130,718,4525,9449,5622,3301,1717,1017,1027,27746,83400,
        Com encargos,28767,14,151,1071,6459,10731,5074,2573,1258,717,719,28944,92966,
        Menos de 75 euros,542,1,5,35,159,198,67,40,20,11,6,545,1600,
"        75  - 99,99 euros",475,0,5,19,130,178,74,32,17,10,10,478,1439,
"        100 - 149,99 euros",1029,0,6,64,278,361,172,76,41,21,10,1034,3236,
        150 - 199.99 euros,1323,1,9,78,342,499,209,90,44,26,25,1327,4074,
"        200 - 249,99 euros",1885,2,15,105,524,701,273,121,69,48,27,1892,5824,
"        250 - 299,99 euros",2637,2,17,146,768,1017,350,172,81,39,45,2649,8211,
"        300 - 349,99 euros",2840,1,20,132,772,1138,403,176,98,50,50,2853,8907,
"        350 - 399,99 euros",2991,4,10,132,788,1172,451,220,99,54,61,2998,9602,
"        400 - 499,99 euros",5394,0,32,195,1280,2108,888,445,211,132,103,5430,17424,
"        500 - 649,99 euros",4372,1,16,81,754,1671,919,484,202,112,132,4416,14685,
"        650 - 799,99 euros",2601,2,5,52,383,895,603,316,155,90,100,2624,8752,
        800 euros ou mais,2678,0,11,32,281,793,665,401,221,124,150,2698,9212,
      Pequenos patrões do sector primário,11301,15,63,354,1647,3489,2342,1498,805,467,621,11390,38328,
        Sem encargos,8819,13,48,272,1233,2762,1843,1157,650,354,487,8896,29338,
        Com encargos,2482,2,15,82,414,727,499,341,155,113,134,2494,8990,
        Menos de 75 euros,86,1,3,1,18,26,12,8,9,3,5,87,299,
"        75  - 99,99 euros",60,0,0,5,13,23,10,3,2,2,2,60,212,
"        100 - 149,99 euros",134,0,1,13,28,44,20,10,8,5,5,135,474,
        150 - 199.99 euros,162,1,1,7,33,49,29,22,7,9,4,164,593,
"        200 - 249,99 euros",196,0,0,10,43,62,34,27,11,3,6,196,730,
"        250 - 299,99 euros",249,0,2,10,43,93,47,27,11,12,4,249,875,
"        300 - 349,99 euros",231,0,1,7,54,73,49,24,6,11,6,233,822,
"        350 - 399,99 euros",221,0,1,6,41,67,48,22,15,10,11,221,790,
"        400 - 499,99 euros",400,0,1,7,71,121,78,55,29,20,18,401,1423,
"        500 - 649,99 euros",255,0,1,5,30,60,56,49,20,12,22,256,939,
"        650 - 799,99 euros",260,0,3,11,26,58,58,44,23,11,26,262,950,
        800 euros ou mais,228,0,1,0,14,51,58,50,14,15,25,230,883,
      Profissionais intelectuais e científicos independentes,13051,11,93,687,2666,4267,2428,1282,705,430,482,13092,34775,
        Sem encargos,5069,5,34,194,828,1488,1044,589,342,245,300,5093,12774,
        Com encargos,7982,6,59,493,1838,2779,1384,693,363,185,182,7999,22001,
        Menos de 75 euros,135,0,1,9,23,57,19,14,3,3,6,135,337,
"        75  - 99,99 euros",104,0,1,8,21,41,14,11,6,1,1,104,276,
"        100 - 149,99 euros",278,1,5,21,85,92,37,21,7,6,3,278,703,
        150 - 199.99 euros,364,0,8,42,109,127,42,20,9,3,4,366,837,
"        200 - 249,99 euros",510,2,6,51,158,178,72,26,10,5,2,511,1225,
"        250 - 299,99 euros",657,2,7,68,214,220,83,39,8,8,8,657,1633,
"        300 - 349,99 euros",721,0,3,64,207,285,88,33,26,9,6,722,1853,
"        350 - 399,99 euros",805,0,5,58,232,299,124,48,21,11,7,807,2119,
"        400 - 499,99 euros",1417,1,9,88,380,517,224,102,53,22,21,1420,3805,
"        500 - 649,99 euros",1246,0,8,47,228,464,236,134,63,34,32,1248,3653,
"        650 - 799,99 euros",776,0,4,19,106,253,173,99,63,31,28,778,2378,
        800 euros ou mais,969,0,2,18,75,246,272,146,94,52,64,973,3182,
      Profissionais técnicos intermédios independentes,13248,3,70,534,2787,4707,2417,1369,628,359,374,13303,38995,
