"6.11 - POPULAÇÃO RESIDENTE, SEGUNDO OS PAÍSES DE PROVENIÊNCIA( RELATIVAMENTE A 31/12/2009), POR MUNICIPIO DE RESIDÊNCIA HABITUAL EM 21/03/2011",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Zona geográfica,População Residente em 2011,,Imigrante no município,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,Proveniente de outros municípios,,Proveniente do estrangeiro,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Municipios de residência habitual em 21/03/2011,,,,,Total,,França,,Países Baixos,,Alemanha,,Itália,,Reino Unido,,Irlanda,,Espanha,,Bélgica,,Luxemburgo,,Suiça,,Andorra,,Roménia,,Bulgária,,Ucrânia,,"Moldova, República de",,PALOP,,África do Sul,,Estados Unidos,,Canadá,,"Venezuela, República Bolivariana da",,Brasil,,Índia,,China,,Outros,
,HM,H,HM,H,HM,H,HM,H,HM,H,HM,H,HM,H,HM,H,HM,H,HM,H,HM,H,HM,H,HM,H,HM,H,HM,H,HM,H,HM,H,HM,H,HM,H,HM,H,HM,H,HM,H,HM,H,HM,H,HM,H,HM,H,HM,H
            Sobral de Monte Agraço,10156,5003,494,248,40,25,1,1,0,0,0,0,1,0,2,2,0,0,3,2,0,0,0,0,1,1,0,0,1,1,0,0,0,0,2,2,7,4,0,0,0,0,0,0,0,0,20,12,0,0,0,0,2,0
            Torres Vedras,79465,38368,2017,963,592,324,45,22,15,8,25,15,2,2,27,15,6,5,37,20,4,2,9,3,17,8,5,4,44,23,0,0,23,9,35,17,30,14,1,0,21,11,19,9,0,0,121,51,0,0,7,2,99,84
          Médio Tejo,220661,105219,5532,2663,1413,768,474,263,24,12,34,20,18,5,145,74,20,17,109,67,14,8,6,4,124,80,9,5,32,14,2,2,37,16,6,3,88,48,4,2,33,18,22,11,0,0,112,48,3,1,20,14,77,36
            Abrantes,39325,18950,736,363,167,92,28,17,2,1,3,3,0,0,24,14,5,4,19,12,1,0,1,1,17,9,0,0,15,4,0,0,1,0,0,0,16,10,3,2,2,1,1,0,0,0,13,6,0,0,7,3,9,5
            Alcanena,13868,6686,278,129,87,46,23,14,0,0,7,3,0,0,6,3,0,0,10,6,1,1,1,1,5,3,0,0,5,2,0,0,7,3,1,0,3,1,0,0,1,1,8,3,0,0,6,2,0,0,0,0,3,3
            Constância,4056,1946,156,66,9,6,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,5,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,1,0,0,0,0,0,0,0,0,0,0,1,0
            Entroncamento,20206,9629,960,444,86,42,13,5,2,1,2,1,0,0,4,2,2,1,19,12,0,0,0,0,1,0,2,1,1,0,0,0,4,1,0,0,10,6,1,0,1,0,0,0,0,0,17,9,0,0,2,2,5,1
            Ferreira do Zêzere,8619,4098,217,99,93,58,28,16,8,3,2,2,0,0,25,13,3,2,4,4,4,3,0,0,7,6,2,1,3,3,0,0,0,0,0,0,4,3,0,0,1,1,0,0,0,0,0,0,0,0,0,0,2,1
            Sardoal,3939,1916,129,58,26,19,8,4,0,0,0,0,2,1,6,5,1,1,3,3,0,0,0,0,4,3,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0
            Tomar,40677,19271,805,397,298,163,69,44,8,5,10,4,2,1,44,20,4,4,23,13,2,1,2,1,46,28,1,1,3,2,2,2,5,1,0,0,19,11,0,0,12,5,0,0,0,0,34,15,0,0,2,2,10,3
            Torres Novas,36717,17511,1003,491,163,86,53,26,2,1,6,5,1,1,15,7,3,3,16,8,2,2,0,0,8,4,4,2,4,2,0,0,0,0,1,1,10,5,0,0,4,2,3,2,0,0,14,6,0,0,5,4,12,5
            Vila Nova da Barquinha,7322,3555,349,179,27,16,5,2,0,0,0,0,0,0,3,2,0,0,3,2,1,0,1,1,6,5,0,0,0,0,0,0,0,0,0,0,5,3,0,0,0,0,0,0,0,0,3,1,0,0,0,0,0,0
            Ourém,45932,21657,899,437,457,240,247,135,2,1,4,2,13,2,17,7,2,2,12,7,3,1,1,0,25,18,0,0,0,0,0,0,20,11,4,2,21,9,0,0,10,7,10,6,0,0,24,8,3,1,4,3,35,18
        Lisboa,2821876,1334605,102827,49357,26275,13249,1369,736,390,231,632,342,398,185,2315,1215,279,171,2049,1183,407,211,177,99,553,287,54,30,982,504,172,90,435,198,233,102,6273,3087,94,54,643,339,127,58,86,47,5078,2175,386,197,366,179,2777,1529
          Grande Lisboa,2042477,961132,75624,36361,20313,10183,924,493,279,162,444,235,350,160,1687,881,171,102,1554,893,306,156,124,72,398,204,33,18,594,294,102,54,351,157,177,76,4958,2438,74,44,536,284,100,46,68,37,4031,1721,369,188,307,151,2376,1317
            Cascais,206479,96866,7008,3324,2455,1202,100,54,31,19,92,45,41,19,260,123,15,12,190,105,60,30,13,9,52,25,4,2,57,30,40,21,25,7,35,10,332,175,38,21,103,50,26,11,12,5,571,256,5,3,14,4,339,166
            Lisboa,547733,250874,17668,8550,6524,3380,351,178,94,55,169,97,202,84,614,334,62,38,637,350,131,67,32,17,115,58,6,4,104,52,23,14,80,38,17,11,829,439,13,9,206,112,27,14,26,16,1248,516,182,95,181,93,1175,689
            Loures,205054,98266,8783,4243,1779,868,73,42,15,8,43,19,23,9,124,58,12,6,96,56,18,10,11,8,20,13,2,1,72,35,12,5,59,28,29,13,667,313,5,4,29,17,1,1,3,3,278,121,63,35,9,4,115,59
            Mafra,76685,37317,3874,1906,508,263,37,22,11,7,6,4,9,3,40,22,5,2,38,22,9,3,8,6,22,13,5,2,24,11,0,0,12,6,15,7,38,21,0,0,9,4,1,1,0,0,161,83,0,0,8,3,50,21
            Oeiras,172120,80137,7216,3440,1469,746,82,40,28,20,31,13,18,10,153,82,15,9,161,86,26,12,11,9,42,21,4,3,20,6,3,2,28,14,11,6,273,142,2,2,37,24,9,6,2,1,328,147,6,3,14,8,165,80
            Sintra,377835,180705,12495,6035,3467,1726,118,63,48,27,45,23,22,14,264,144,26,15,208,130,35,18,33,15,76,35,4,2,112,62,9,4,67,26,42,17,1378,665,7,2,82,45,15,5,14,7,582,241,11,5,44,23,225,138
            Vila Franca de Xira,136886,65808,4647,2228,868,426,57,30,16,8,22,13,9,8,81,46,9,5,67,47,7,3,8,3,21,11,1,0,83,38,2,1,26,13,14,6,155,77,3,2,15,9,14,6,1,0,189,73,6,3,8,3,54,21
            Amadora,175136,82342,7346,3502,1892,899,71,43,19,9,16,10,14,8,92,40,14,8,87,49,13,6,4,1,37,21,5,3,78,38,5,4,27,13,8,3,847,394,3,2,30,14,4,1,5,2,351,148,18,8,22,9,122,65
            Odivelas,144549,68817,6587,3133,1351,673,35,21,17,9,20,11,12,5,59,32,13,7,70,48,7,7,4,4,13,7,2,1,44,22,8,3,27,12,6,3,439,212,3,2,25,9,3,1,5,3,323,136,78,36,7,4,131,78
          Península de Setúbal,779399,373473,27203,12996,5962,3066,445,243,111,69,188,107,48,25,628,334,108,69,495,290,101,55,53,27,155,83,21,12,388,210,70,36,84,41,56,26,1315,649,20,10,107,55,27,12,18,10,1047,454,17,9,59,28,401,212
            Alcochete,17569,8494,1050,513,127,66,10,6,2,2,3,2,1,1,14,5,6,4,7,4,1,1,2,1,1,1,0,0,22,13,0,0,8,3,0,0,11,8,0,0,6,1,0,0,2,1,23,10,0,0,0,0,8,3
            Almada,174030,82496,5496,2596,1286,641,83,49,22,13,44,25,15,7,117,60,12,9,93,50,14,10,17,8,26,16,5,4,8,3,4,2,14,8,9,3,335,165,8,4,18,8,11,4,4,3,312,137,2,0,17,8,96,45
            Barreiro,78764,37347,2405,1122,527,276,29,19,16,9,17,12,2,2,80,43,17,9,50,35,12,7,4,3,20,9,0,0,3,2,1,0,5,1,3,1,168,87,0,0,7,3,1,1,1,0,49,14,2,0,6,3,34,16
            Moita,66029,31708,1957,930,471,246,36,21,16,10,17,10,2,2,79,40,13,8,51,28,4,2,2,1,9,3,3,1,7,4,0,0,8,5,4,3,139,63,0,0,14,8,3,2,3,2,20,4,8,5,9,5,24,19
            Montijo,51222,24723,2721,1387,532,288,42,22,5,1,12,4,7,2,47,26,6,4,48,29,6,4,1,0,13,5,0,0,152,87,0,0,12,5,4,2,35,22,2,1,10,5,5,2,0,0,83,41,0,0,6,4,36,22
            Palmela,62831,30486,2538,1219,428,219,31,14,3,3,26,13,3,3,44,26,5,2,29,21,17,9,1,0,8,6,1,1,128,65,2,1,9,5,1,1,45,23,2,0,4,1,2,1,3,1,47,15,0,0,0,0,17,8
            Seixal,158269,75916,6012,2816,1413,713,107,58,21,14,35,20,11,4,141,78,24,18,100,60,31,15,14,7,36,18,9,4,10,6,6,2,12,7,3,1,446,204,6,5,25,15,5,2,3,2,274,126,3,2,8,1,83,44
            Sesimbra,49500,24317,2196,1038,372,204,33,13,4,3,6,4,1,0,27,10,12,7,48,26,3,2,8,6,13,8,1,1,14,9,45,25,0,0,9,4,40,30,1,0,7,6,0,0,0,0,60,29,2,2,3,3,35,16
            Setúbal,121185,57986,2828,1375,806,413,74,41,22,14,28,17,6,4,79,46,13,8,69,37,13,5,4,1,29,17,2,1,44,21,12,6,16,7,23,11,96,47,1,0,16,8,0,0,2,1,179,78,0,0,10,4,68,39
        Alentejo,757302,366739,19504,9624,4613,2641,498,275,108,70,214,120,34,22,300,168,87,54,552,340,83,45,58,26,295,156,13,8,515,318,345,247,122,66,60,27,320,191,4,1,67,39,25,17,5,1,525,217,16,7,93,48,274,178
          Alentejo Litoral,97925,48624,2817,1433,1086,706,48,27,33,24,68,40,6,5,46,24,20,15,78,59,22,11,4,3,19,11,0,0,112,75,316,232,25,17,31,14,47,24,1,0,3,2,9,5,0,0,104,52,2,2,8,3,84,61
            Odemira,26066,13171,620,281,585,402,20,12,9,5,44,25,1,1,15,9,12,10,11,8,13,6,0,0,7,4,0,0,29,18,315,232,17,11,27,13,6,4,1,0,0,0,0,0,0,0,17,9,0,0,2,1,39,34
            Alcácer do Sal,13046,6332,271,128,73,49,4,2,0,0,1,1,1,0,4,3,1,0,8,5,0,0,0,0,6,4,0,0,29,24,0,0,0,0,1,1,1,1,0,0,1,0,4,3,0,0,8,4,0,0,1,0,3,1
            Grândola,14826,7506,596,382,94,64,8,4,2,2,7,4,1,1,4,3,2,1,11,10,0,0,0,0,0,0,0,0,12,9,0,0,2,0,0,0,4,4,0,0,2,2,3,1,0,0,26,16,0,0,2,1,8,6
            Santiago do Cacém,29749,14586,911,441,189,107,11,6,10,7,9,5,1,1,13,4,1,1,26,21,9,5,1,1,3,0,0,0,30,17,0,0,4,4,1,0,10,5,0,0,0,0,2,1,0,0,33,16,2,2,2,0,21,11
            Sines,14238,7029,419,201,145,84,5,3,12,10,7,5,2,2,10,5,4,3,22,15,0,0,3,2,3,3,0,0,12,7,1,0,2,2,2,0,26,10,0,0,0,0,0,0,0,0,20,7,0,0,1,1,13,9
          Alto Alentejo,118410,56796,2341,1122,460,238,55,32,9,4,12,6,1,1,51,32,11,5,118,65,27,14,5,3,6,3,0,0,37,18,12,6,6,4,3,1,39,20,0,0,2,2,0,0,0,0,39,14,0,0,6,1,21,7
            Mora,4978,2415,94,41,16,10,2,1,0,0,0,0,0,0,9,6,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,2,1,1,0
            Alter do Chão,3562,1680,127,67,11,8,0,0,1,0,0,0,0,0,2,2,0,0,3,2,0,0,1,1,2,1,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0
            Arronches,3165,1535,114,45,7,3,0,0,0,0,1,0,0,0,1,0,0,0,2,1,0,0,0,0,0,0,0,0,1,1,0,0,1,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
            Avis,4571,2178,138,70,62,30,15,8,1,1,4,2,0,0,8,4,3,1,5,4,0,0,0,0,0,0,0,0,9,3,0,0,0,0,0,0,16,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1
            Campo Maior,8456,4098,111,54,35,16,0,0,0,0,0,0,0,0,1,1,0,0,13,6,14,6,2,1,0,0,0,0,2,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,1,0
            Castelo de Vide,3407,1629,84,38,9,5,0,0,4,2,1,1,0,0,2,1,0,0,0,0,2,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
            Crato,3708,1725,82,43,4,3,0,0,0,0,2,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0
            Elvas,23078,11092,331,163,105,50,9,5,0,0,0,0,0,0,2,1,3,0,54,31,3,2,1,0,0,0,0,0,9,6,0,0,1,0,0,0,5,2,0,0,0,0,0,0,0,0,8,2,0,0,1,0,9,1
            Fronteira,3410,1627,104,42,16,7,1,1,0,0,0,0,0,0,0,0,1,1,6,3,1,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,2,2
            Gavião,4132,1951,87,41,18,12,8,5,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,2,1,0,0,0,0,0,0,0,0,0,0,3,3,0,0,1,1,0,0,0,0,1,1,0,0,0,0,1,1
            Marvão,3512,1720,81,41,12,5,0,0,1,0,0,0,0,0,2,1,0,0,7,3,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0
            Monforte,3329,1553,84,38,2,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0
            Nisa,7450,3537,152,81,23,15,13,7,0,0,0,0,0,0,1,1,0,0,2,1,2,1,0,0,0,0,0,0,2,2,0,0,0,0,0,0,2,2,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0
            Ponte de Sor,16722,8085,320,152,56,28,4,2,0,0,3,2,0,0,13,8,1,1,3,2,2,2,0,0,2,1,0,0,5,2,0,0,1,1,0,0,6,3,0,0,0,0,0,0,0,0,12,4,0,0,3,0,1,0
            Portalegre,24930,11971,432,206,84,46,3,3,2,1,0,0,1,1,10,7,3,2,21,12,2,1,0,0,0,0,0,0,5,2,12,6,2,1,2,1,5,3,0,0,1,1,0,0,0,0,10,3,0,0,0,0,5,2
          Alentejo Central,166822,80222,3826,1822,671,353,47,27,19,11,34,19,2,1,44,25,7,5,94,49,13,7,8,1,91,47,12,7,41,26,2,1,20,9,6,4,65,37,0,0,8,3,0,0,1,0,95,36,3,2,15,8,44,28
            Alandroal,5843,2833,104,52,30,16,2,1,1,0,2,2,0,0,0,0,3,2,6,3,0,0,6,1,2,2,5,2,2,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0
            Arraiolos,7363,3576,216,112,25,14,1,1,7,3,0,0,0,0,1,1,0,0,0,0,7,3,0,0,3,2,0,0,2,2,0,0,1,1,1,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0
            Borba,7333,3615,171,82,32,21,1,1,1,1,0,0,0,0,3,3,0,0,4,3,1,1,0,0,0,0,0,0,1,1,0,0,0,0,0,0,17,10,0,0,0,0,0,0,0,0,3,0,0,0,0,0,1,1
            Estremoz,14318,6813,313,158,29,20,0,0,3,3,0,0,0,0,1,1,0,0,2,2,0,0,0,0,3,2,2,2,8,4,0,0,4,3,0,0,1,1,0,0,0,0,0,0,0,0,4,1,0,0,0,0,1,1
            Évora,56596,26831,1217,554,241,120,13,7,3,3,13,6,2,1,24,10,0,0,47,23,0,0,0,0,23,12,0,0,1,0,0,0,8,3,2,2,12,8,0,0,3,2,0,0,0,0,56,21,3,2,6,3,25,17
            Montemor-o-Novo,17437,8461,409,193,80,41,17,11,0,0,7,4,0,0,2,1,0,0,2,1,0,0,0,0,8,3,0,0,12,6,0,0,1,1,0,0,1,1,0,0,3,1,0,0,0,0,17,7,0,0,3,2,7,3
            Mourão,2663,1315,68,33,20,13,0,0,0,0,0,0,0,0,5,4,0,0,3,2,0,0,0,0,5,3,0,0,5,3,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0
            Portel,6428,3152,154,81,20,12,3,1,0,0,0,0,0,0,0,0,0,0,5,2,0,0,0,0,4,3,0,0,3,2,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,3,2,0,0,0,0,1,1
            Redondo,7031,3434,139,67,17,8,1,0,1,0,2,1,0,0,0,0,0,0,0,0,0,0,2,0,2,1,2,2,5,4,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0
            Reguengos de Monsaraz,10828,5274,235,119,43,20,0,0,3,1,2,1,0,0,3,1,0,0,6,6,0,0,0,0,18,6,0,0,1,1,0,0,1,0,3,1,0,0,0,0,0,0,0,0,0,0,1,1,0,0,3,2,2,0
            Vendas Novas,11846,5705,349,149,66,36,7,3,0,0,5,3,0,0,2,1,0,0,6,2,0,0,0,0,13,9,0,0,0,0,0,0,2,0,0,0,23,15,0,0,2,0,0,0,0,0,5,2,0,0,0,0,1,1
            Viana do Alentejo,5743,2780,167,83,30,12,1,1,0,0,0,0,0,0,0,0,2,1,4,2,2,1,0,0,4,2,0,0,0,0,0,0,1,0,0,0,10,2,0,0,0,0,0,0,0,0,1,0,0,0,0,0,5,3
            Vila Viçosa,8319,4057,178,87,31,17,1,1,0,0,3,2,0,0,3,3,2,2,8,3,1,1,0,0,3,1,3,1,0,0,2,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,1,1,1,1
            Sousel,5074,2376,106,52,7,3,0,0,0,0,0,0,0,0,0,0,0,0,1,0,2,1,0,0,3,1,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
          Baixo Alentejo,126692,61949,3190,1570,778,455,92,52,11,8,56,32,8,4,55,29,7,2,76,44,7,3,7,4,122,61,0,0,160,108,3,1,8,5,2,1,55,36,0,0,5,4,4,3,1,0,57,30,1,0,5,3,36,25
            Aljustrel,9257,4579,201,96,56,30,18,11,0,0,3,1,0,0,7,3,0,0,3,2,0,0,0,0,9,5,0,0,7,4,0,0,0,0,0,0,3,1,0,0,0,0,0,0,0,0,5,3,1,0,0,0,0,0
            Almodôvar,7449,3677,185,77,55,29,14,7,0,0,11,8,0,0,2,1,0,0,3,2,0,0,0,0,23,11,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0
            Alvito,2504,1199,113,51,26,12,3,2,0,0,0,0,0,0,1,1,0,0,0,0,2,1,0,0,1,1,0,0,0,0,0,0,0,0,0,0,11,3,0,0,0,0,0,0,0,0,5,3,0,0,0,0,3,1
            Barrancos,1834,890,31,16,14,6,6,2,0,0,2,1,0,0,0,0,0,0,1,0,0,0,0,0,3,1,0,0,0,0,0,0,0,0,0,0,2,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
            Beja,35854,17387,929,496,152,83,16,10,6,4,8,5,2,1,2,0,2,0,21,8,4,1,0,0,7,3,0,0,24,14,1,0,2,1,2,1,13,10,0,0,2,2,2,2,0,0,30,15,0,0,0,0,8,6
            Castro Verde,7276,3567,230,122,33,19,4,2,0,0,5,2,0,0,3,3,1,1,1,1,0,0,0,0,11,6,0,0,1,0,0,0,0,0,0,0,3,2,0,0,0,0,0,0,0,0,1,0,0,0,0,0,3,2
            Cuba,4878,2384,164,78,44,29,2,2,0,0,0,0,0,0,2,1,2,0,0,0,0,0,0,0,7,3,0,0,30,22,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0
            Ferreira do Alentejo,8255,4021,291,143,85,58,3,3,1,1,7,3,3,2,10,5,1,1,4,2,0,0,1,1,0,0,0,0,39,28,0,0,1,0,0,0,2,2,0,0,1,1,2,1,0,0,3,2,0,0,1,0,6,6
            Mértola,7274,3593,157,75,26,19,3,1,2,1,2,2,1,0,1,1,0,0,2,2,0,0,0,0,3,3,0,0,0,0,0,0,4,3,0,0,2,2,0,0,0,0,0,0,0,0,4,2,0,0,0,0,2,2
            Moura,15167,7447,268,114,79,53,4,3,1,1,6,3,1,1,5,3,0,0,17,11,0,0,0,0,15,9,0,0,15,10,0,0,0,0,0,0,10,7,0,0,0,0,0,0,0,0,0,0,0,0,2,2,3,3
            Ourique,5389,2656,129,62,35,19,3,1,1,1,0,0,0,0,16,8,0,0,4,3,1,1,0,0,2,1,0,0,0,0,0,0,0,0,0,0,1,1,0,0,2,1,0,0,0,0,1,0,0,0,1,0,3,2
            Serpa,15623,7632,328,166,114,64,9,4,0,0,8,4,0,0,2,1,1,0,18,12,0,0,5,3,29,12,0,0,30,21,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,3,0,0,1,1,6,3
            Vidigueira,5932,2917,164,74,59,34,7,4,0,0,4,3,1,0,4,2,0,0,2,1,0,0,1,0,12,6,0,0,14,9,2,1,1,1,0,0,8,6,0,0,0,0,0,0,0,0,2,1,0,0,0,0,1,0
          Lezíria do Tejo,247453,119148,7330,3677,1618,889,256,137,36,23,44,23,17,11,104,58,42,27,186,123,14,10,34,15,57,34,1,1,165,91,12,7,63,31,18,7,114,74,3,1,49,28,12,9,3,1,230,85,10,3,59,33,89,57
            Azambuja,21814,11031,1059,701,127,75,21,12,4,3,2,1,1,1,10,5,0,0,6,6,0,0,0,0,3,3,0,0,6,2,0,0,7,3,3,1,8,7,1,0,4,3,2,2,0,0,37,20,0,0,2,0,10,6
            Almeirim,23376,11100,613,284,169,94,40,23,9,5,3,2,1,1,14,8,11,7,16,13,1,1,0,0,3,2,0,0,21,9,0,0,1,0,1,1,10,6,0,0,8,3,1,1,0,0,17,4,0,0,1,1,11,7
            Alpiarça,7702,3699,208,106,68,35,15,7,1,0,1,0,0,0,0,0,0,0,5,4,0,0,0,0,1,0,0,0,32,16,0,0,2,2,0,0,5,4,0,0,0,0,0,0,0,0,6,2,0,0,0,0,0,0
            Benavente,29019,14166,1118,532,313,153,23,15,0,0,12,6,8,4,18,10,5,2,45,22,2,2,12,6,15,9,0,0,16,10,8,4,16,5,3,1,22,12,0,0,6,3,0,0,1,0,47,11,0,0,40,22,14,9
            Cartaxo,24462,11844,821,377,175,101,36,16,1,1,12,7,0,0,12,7,2,1,23,15,1,1,2,1,2,1,0,0,0,0,3,2,7,5,4,1,16,13,1,1,5,4,0,0,0,0,34,18,7,2,0,0,7,5
            Chamusca,10120,4878,238,122,45,26,2,1,3,2,2,0,0,0,3,2,2,2,7,3,0,0,0,0,3,2,1,1,10,6,0,0,0,0,0,0,2,1,0,0,3,2,0,0,0,0,0,0,0,0,2,1,5,3
            Coruche,19944,9523,339,167,68,34,14,7,3,1,1,1,0,0,12,5,3,2,6,2,0,0,1,1,7,4,0,0,0,0,0,0,1,1,0,0,7,5,0,0,0,0,0,0,0,0,8,2,0,0,3,1,2,2
            Golegã,5465,2560,158,72,22,16,3,1,0,0,0,0,0,0,3,3,3,2,5,4,2,2,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,1,0,0,0,0,3,2
            Rio Maior,21192,10255,532,248,141,77,18,11,5,4,4,2,1,1,4,3,1,0,20,14,1,1,0,0,5,3,0,0,11,6,0,0,7,3,1,0,12,7,0,0,7,4,1,1,2,1,26,8,3,1,0,0,12,7
            Salvaterra de Magos,22159,10645,665,304,131,72,34,17,2,2,2,1,0,0,6,1,4,3,15,11,0,0,18,7,6,4,0,0,0,0,1,1,2,1,0,0,8,5,0,0,5,3,0,0,0,0,18,7,0,0,4,4,6,5
            Santarém,62200,29447,1579,764,359,206,50,27,8,5,5,3,6,4,22,14,11,8,38,29,7,3,1,0,12,6,0,0,68,41,0,0,20,11,6,3,24,14,1,0,11,6,8,5,0,0,35,12,0,0,7,4,19,11
        Algarve,451006,219931,13615,6600,5168,2615,556,278,112,57,402,216,43,19,883,466,78,46,366,197,75,37,44,28,116,65,7,3,359,189,123,64,186,85,133,48,279,167,37,18,98,51,50,28,16,8,660,272,57,31,48,23,440,219
          Algarve,451006,219931,13615,6600,5168,2615,556,278,112,57,402,216,43,19,883,466,78,46,366,197,75,37,44,28,116,65,7,3,359,189,123,64,186,85,133,48,279,167,37,18,98,51,50,28,16,8,660,272,57,31,48,23,440,219
            Albufeira,40828,20028,1454,705,654,317,46,27,10,7,17,11,10,4,123,63,7,4,38,21,3,2,10,7,12,5,0,0,16,7,15,7,49,18,17,7,45,27,7,3,6,3,3,2,0,0,131,52,15,6,15,5,59,29
            Alcoutim,2917,1454,62,25,10,5,1,0,0,0,6,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,1
            Aljezur,5884,2905,182,88,119,67,4,2,9,4,27,9,0,0,34,22,1,1,7,4,2,1,2,2,0,0,0,0,6,5,8,5,2,2,0,0,0,0,0,0,2,1,2,1,0,0,2,1,0,0,0,0,11,7
            Castro Marim,6747,3355,221,106,76,42,8,7,0,0,5,2,2,0,11,5,1,0,26,14,2,1,0,0,0,0,0,0,4,1,12,8,2,2,0,0,0,0,0,0,0,0,0,0,0,0,2,1,0,0,0,0,1,1
            Faro,64560,30930,2048,1035,551,264,54,22,8,6,29,15,4,2,55,27,7,5,51,28,11,5,2,2,9,4,4,2,42,22,4,2,27,12,17,4,45,26,4,2,21,10,6,3,2,0,85,36,3,2,2,2,59,25
            Lagoa,22975,11299,816,400,251,139,13,8,12,6,46,25,1,0,55,29,3,2,9,4,7,3,4,2,8,7,0,0,1,1,0,0,7,3,6,1,18,12,4,1,7,5,6,4,0,0,21,12,5,3,5,4,13,7
            Lagos,31049,15090,799,378,450,236,16,7,11,5,40,23,3,1,139,78,11,5,20,10,8,4,3,2,14,7,0,0,19,11,7,3,15,5,10,8,15,10,6,3,5,2,4,2,0,0,51,22,4,2,3,2,46,24
            Loulé,70622,34449,1772,865,954,474,154,76,16,6,34,19,9,6,126,66,17,10,62,30,13,5,4,2,8,7,0,0,115,59,1,0,29,20,21,5,59,28,5,3,26,12,15,9,13,7,122,51,15,8,7,4,83,41
            Monchique,6045,3046,108,48,73,40,5,2,1,0,14,6,0,0,16,8,1,1,9,6,0,0,0,0,1,1,0,0,9,6,0,0,0,0,0,0,4,3,0,0,0,0,1,1,0,0,4,1,0,0,1,0,7,5
            Olhão,45396,22174,1257,589,386,205,66,33,9,5,49,27,1,1,59,30,8,4,24,15,4,2,4,2,13,6,1,0,43,22,0,0,11,6,4,1,12,11,0,0,9,6,4,2,1,1,33,16,0,0,1,0,30,15
            Portimão,55614,26853,1818,874,551,268,37,18,13,7,25,16,4,1,68,35,13,9,42,19,4,2,8,4,20,11,1,1,43,22,0,0,17,4,41,16,51,29,8,4,6,2,3,1,0,0,88,34,9,6,6,4,44,23
            São Brás de Alportel,10662,5232,346,174,143,75,28,16,4,2,17,11,4,1,24,13,1,1,12,8,1,1,0,0,2,2,0,0,0,0,0,0,11,8,4,1,1,0,1,0,6,2,4,2,0,0,11,4,1,1,1,1,10,1
