"6.11 - POPULAÇÃO RESIDENTE, SEGUNDO OS PAÍSES DE PROVENIÊNCIA( RELATIVAMENTE A 31/12/2009), POR MUNICIPIO DE RESIDÊNCIA HABITUAL EM 21/03/2011",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Zona geográfica,População Residente em 2011,,Imigrante no município,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,Proveniente de outros municípios,,Proveniente do estrangeiro,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Municipios de residência habitual em 21/03/2011,,,,,Total,,França,,Países Baixos,,Alemanha,,Itália,,Reino Unido,,Irlanda,,Espanha,,Bélgica,,Luxemburgo,,Suiça,,Andorra,,Roménia,,Bulgária,,Ucrânia,,"Moldova, República de",,PALOP,,África do Sul,,Estados Unidos,,Canadá,,"Venezuela, República Bolivariana da",,Brasil,,Índia,,China,,Outros,
,HM,H,HM,H,HM,H,HM,H,HM,H,HM,H,HM,H,HM,H,HM,H,HM,H,HM,H,HM,H,HM,H,HM,H,HM,H,HM,H,HM,H,HM,H,HM,H,HM,H,HM,H,HM,H,HM,H,HM,H,HM,H,HM,H,HM,H
            Matosinhos,175478,83444,5287,2622,804,435,76,45,20,12,39,25,13,8,84,50,11,7,155,86,12,4,13,4,21,11,7,4,2,0,5,2,9,7,2,1,67,45,1,1,20,12,4,2,6,3,145,61,1,1,9,3,82,41
            Porto,237591,108104,7568,3681,1622,842,85,46,25,14,54,31,51,25,166,103,19,12,245,133,10,5,16,8,47,24,5,3,30,17,26,12,12,6,7,2,205,106,4,2,46,26,6,3,6,2,290,120,19,11,24,12,224,119
            Póvoa de Varzim,63408,29958,1385,709,516,279,188,102,0,0,30,19,1,1,31,18,4,2,59,33,1,1,9,3,60,39,1,1,0,0,0,0,6,2,0,0,11,8,0,0,2,1,24,9,3,2,54,21,0,0,7,3,25,14
            Valongo,93858,45016,3300,1578,470,271,84,50,9,6,21,11,3,3,66,32,12,10,98,63,13,9,13,6,20,11,7,5,2,1,0,0,0,0,2,0,34,23,2,1,6,4,0,0,2,2,39,15,0,0,2,0,35,19
            Vila do Conde,79533,38469,2027,1026,475,276,127,69,6,6,38,22,0,0,39,22,6,4,74,54,3,0,13,8,23,15,10,8,0,0,1,0,3,1,0,0,30,24,1,0,6,5,8,5,4,1,33,9,1,1,22,9,27,13
            Vila Nova de Gaia,302295,144490,6636,3153,1463,802,237,135,31,23,80,38,19,13,164,93,17,11,197,121,21,15,23,12,64,41,9,7,29,16,2,1,24,7,8,3,116,78,13,5,36,16,8,6,34,17,185,72,15,6,11,6,120,60
          Tâmega,550516,268097,8117,3999,3090,1891,1005,569,29,20,176,117,9,4,115,68,17,13,578,399,71,47,105,63,417,257,99,48,9,5,0,0,13,3,2,2,150,111,8,5,39,22,5,4,12,6,111,47,0,0,10,6,110,75
            Castelo de Paiva,16733,8184,192,94,60,33,7,4,0,0,6,4,1,0,2,2,0,0,27,14,1,1,0,0,10,6,0,0,0,0,0,0,1,0,0,0,1,1,0,0,0,0,0,0,0,0,3,1,0,0,0,0,1,0
            Cabeceiras de Basto,16710,8115,183,90,157,97,60,35,1,1,0,0,0,0,1,1,0,0,51,36,11,7,0,0,16,10,4,2,2,1,0,0,1,0,0,0,1,1,0,0,0,0,0,0,1,1,6,2,0,0,0,0,2,0
            Celorico de Basto,20098,9749,274,130,396,227,255,139,0,0,7,3,0,0,1,0,0,0,38,25,3,2,38,24,29,18,0,0,0,0,0,0,0,0,0,0,11,8,1,1,0,0,0,0,0,0,8,3,0,0,1,0,4,4
            Amarante,56264,26968,716,344,456,267,144,82,3,2,39,24,4,2,13,8,0,0,53,34,4,2,5,2,81,50,43,18,1,0,0,0,4,2,0,0,35,25,1,1,6,3,0,0,0,0,10,6,0,0,1,1,9,5
            Baião,20522,9811,265,142,90,63,26,18,0,0,3,3,0,0,7,4,0,0,25,18,4,2,2,2,7,5,0,0,0,0,0,0,0,0,0,0,7,7,0,0,1,1,0,0,0,0,3,0,0,0,0,0,5,3
            Felgueiras,58065,28103,724,334,299,181,113,60,4,3,16,11,2,2,12,6,1,1,50,31,4,3,3,3,43,29,13,8,0,0,0,0,0,0,0,0,8,8,1,0,5,3,1,1,0,0,15,6,0,0,0,0,8,6
            Lousada,47387,23077,810,412,153,97,32,18,0,0,5,3,0,0,4,3,1,1,45,29,13,11,0,0,25,16,9,6,1,1,0,0,2,1,0,0,3,2,0,0,0,0,0,0,0,0,10,4,0,0,0,0,3,2
            Marco de Canaveses,53450,26039,656,317,309,191,43,22,3,3,34,22,0,0,11,7,2,2,62,48,4,2,13,6,51,30,12,7,2,1,0,0,1,0,1,1,24,16,0,0,14,8,4,3,7,2,6,2,0,0,0,0,15,9
            Paços de Ferreira,56340,28081,1052,596,212,136,67,43,3,2,3,2,1,0,18,10,1,0,60,44,2,0,3,1,17,10,0,0,0,0,0,0,0,0,0,0,8,6,0,0,4,2,0,0,4,3,10,5,0,0,3,2,8,6
            Paredes,86854,42530,1646,785,424,262,146,82,8,6,18,14,0,0,32,19,7,5,70,49,12,7,10,7,24,16,14,5,0,0,0,0,3,0,1,1,26,18,5,3,0,0,0,0,0,0,20,11,0,0,3,2,25,17
            Penafiel,72265,35191,1085,518,256,168,33,19,6,2,24,18,1,0,10,5,5,4,54,45,5,5,14,7,41,24,3,1,0,0,0,0,1,0,0,0,19,15,0,0,4,3,0,0,0,0,16,5,0,0,2,1,18,14
            Mondim de Basto,7493,3598,117,53,68,41,18,11,0,0,8,5,0,0,1,0,0,0,5,3,0,0,16,10,19,11,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0
            Ribeira de Pena,6544,3196,79,40,93,53,51,26,0,0,8,5,0,0,0,0,0,0,17,10,5,4,1,1,4,2,1,1,3,2,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,2,2
            Cinfães,20427,9932,182,81,86,56,5,5,1,1,5,3,0,0,3,3,0,0,13,9,1,0,0,0,39,24,0,0,0,0,0,0,0,0,0,0,7,4,0,0,4,2,0,0,0,0,3,1,0,0,0,0,5,4
