"3.23 - ALOJAMENTOS CLÁSSICOS ARRENDADOS E SUBARRENDADOS, OCUPADOS COMO RESIDÊNCIA HABITUAL, SEGUNDO O NÚMERO DE DIVISÕES, FAMÍLIAS CLÁSSICAS E PESSOAS RESIDENTES, POR GRUPO SÓCIO-ECONÓMICO DO TITULAR DO ALOJAMENTO E ESCALÕES DE RENDA",,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
Zona Geográfica,"Alojamentos clássicos, segundo o número de divisões",,,,,,,,,,,Famílias clássicas,Pessoas residentes,
Grupo sócio-económico do titular do alojamento e escalões de renda,Total,Com 1,Com 2,Com 3,Com 4,Com 5,Com 6,Com 7,Com 8,Com 9,Com 10 ou mais ,,,
        Menos de 20 euros,192,1,4,23,68,48,26,11,6,5,0,196,461,
"        20 - 34,99 euros",204,7,4,27,63,55,32,8,6,1,1,205,498,
"        35  -  49,99 euros",215,0,6,19,73,61,34,11,6,0,5,217,457,
"        50  -  74,99 euros",389,3,10,41,139,118,41,28,5,2,2,395,850,
"        75  -  99,99 euros",440,4,9,42,152,115,72,29,9,4,4,442,928,
"        100  -  149,99 euros",936,14,36,110,288,266,125,54,21,11,11,965,1840,
"        150  -  199,99 euros",1240,23,84,206,334,342,143,63,26,10,9,1293,2235,
"        200  -  299,99 euros",5261,102,348,1299,1694,1146,378,161,70,39,24,5382,9613,
"        300  -  399,99 euros",9767,144,592,2568,3336,2169,558,230,102,40,28,9936,18167,
"        400  -  499,99 euros",7037,40,298,1852,2784,1395,398,155,65,30,20,7193,13445,
"        500  -  649,99 euros",6809,23,186,1428,2786,1614,466,174,78,30,24,7087,13619,
        650 euros ou mais,5200,4,57,609,1601,1589,741,304,168,80,47,5605,12304,
      Quadros técnicos intermédios,25398,205,897,4716,9874,6607,1810,709,316,143,121,25938,59814,
        Menos de 20 euros,397,4,20,46,155,116,34,11,7,3,1,400,1028,
"        20 - 34,99 euros",409,3,16,55,153,122,34,15,7,4,0,415,1049,
"        35  -  49,99 euros",392,5,11,43,155,113,39,17,6,0,3,394,989,
"        50  -  74,99 euros",688,6,19,103,291,172,71,13,8,3,2,697,1665,
"        75  -  99,99 euros",659,5,12,103,283,179,48,18,7,4,0,667,1605,
"        100  -  149,99 euros",1153,13,39,151,450,342,93,40,11,8,6,1173,2816,
"        150  -  199,99 euros",1324,22,61,230,488,332,106,58,14,8,5,1346,3149,
"        200  -  299,99 euros",4708,69,246,1002,1674,1191,302,119,58,26,21,4773,10655,
"        300  -  399,99 euros",6741,59,288,1497,2663,1562,380,150,74,28,40,6836,15120,
"        400  -  499,99 euros",4004,11,117,801,1751,927,239,86,35,17,20,4081,9388,
"        500  -  649,99 euros",3085,5,47,486,1265,936,214,64,38,17,13,3194,7463,
        650 euros ou mais,1838,3,21,199,546,615,250,118,51,25,10,1962,4887,
      Quadros administrativos intermédios,4856,32,165,827,1992,1246,359,138,51,24,22,4910,11404,
        Menos de 20 euros,62,2,2,11,28,17,1,1,0,0,0,62,138,
"        20 - 34,99 euros",96,2,3,20,32,22,12,3,2,0,0,96,231,
"        35  -  49,99 euros",84,0,4,16,37,16,6,4,0,1,0,84,205,
"        50  -  74,99 euros",165,2,2,27,73,40,12,4,3,0,2,165,379,
"        75  -  99,99 euros",148,0,4,15,72,43,10,3,1,0,0,148,339,
"        100  -  149,99 euros",275,0,6,42,113,80,16,15,2,1,0,277,669,
"        150  -  199,99 euros",272,1,18,44,104,71,22,9,3,0,0,278,645,
"        200  -  299,99 euros",883,9,43,166,315,228,72,26,10,7,7,895,2053,
"        300  -  399,99 euros",1265,11,51,267,516,288,70,35,14,6,7,1276,2814,
"        400  -  499,99 euros",777,3,22,129,356,203,46,12,4,0,2,785,1866,
"        500  -  649,99 euros",544,2,9,69,249,142,47,12,8,4,2,549,1338,
        650 euros ou mais,285,0,1,21,97,96,45,14,4,5,2,295,727,
      Empregados administrativos do comércio e serviços,113899,1450,5683,22203,45708,26711,7335,2641,1164,570,434,117018,289993,
        Menos de 20 euros,2895,43,137,419,1099,854,243,55,21,7,17,2924,7892,
"        20 - 34,99 euros",3282,52,172,494,1247,960,230,69,34,13,11,3318,9064,
"        35  -  49,99 euros",2511,27,102,399,1070,656,174,55,13,10,5,2531,6547,
"        50  -  74,99 euros",3977,36,168,698,1678,1007,252,85,29,13,11,4012,10263,
"        75  -  99,99 euros",3238,29,121,528,1359,829,244,75,30,16,7,3286,8235,
"        100  -  149,99 euros",6201,106,328,1036,2445,1551,465,151,59,38,22,6329,15331,
"        150  -  199,99 euros",7973,222,570,1551,2908,1763,586,206,97,43,27,8165,19074,
"        200  -  299,99 euros",26083,510,1806,5905,9584,5580,1609,623,260,114,92,26392,61748,
"        300  -  399,99 euros",32807,344,1716,7487,13334,6851,1790,666,341,171,107,33521,82194,
"        400  -  499,99 euros",14223,49,360,2409,6703,3357,810,293,120,63,59,14798,38902,
"        500  -  649,99 euros",7681,14,128,913,3303,2392,545,221,86,50,29,8371,22070,
        650 euros ou mais,3028,18,75,364,978,911,387,142,74,32,47,3371,8673,
      Operários qualificados e semi-qualificados,113916,1223,4315,18117,47653,29667,7645,3002,1294,585,415,116728,344598,
        Menos de 20 euros,3700,52,170,606,1385,1070,278,78,28,9,24,3740,10824,
"        20 - 34,99 euros",4010,62,198,584,1608,1184,262,65,23,13,11,4033,12019,
"        35  -  49,99 euros",2973,30,101,435,1273,819,214,57,25,11,8,3008,9003,
"        50  -  74,99 euros",4983,55,214,822,2086,1295,325,107,43,16,20,5013,14659,
"        75  -  99,99 euros",4626,55,202,775,1937,1177,299,113,41,21,6,4683,13663,
"        100  -  149,99 euros",11600,164,545,1899,4918,2807,786,291,97,50,43,11735,34135,
"        150  -  199,99 euros",14607,200,592,2317,6307,3479,1028,435,151,64,34,14831,43060,
"        200  -  299,99 euros",30315,354,1204,4995,11967,8081,2090,946,416,164,98,30785,89798,
"        300  -  399,99 euros",24811,215,865,4332,10609,6114,1472,605,319,169,111,25552,75344,
"        400  -  499,99 euros",7573,19,138,872,3656,2114,457,159,81,44,33,8149,25739,
"        500  -  649,99 euros",3211,6,30,275,1356,1120,271,78,46,12,17,3551,11454,
        650 euros ou mais,1507,11,56,205,551,407,163,68,24,12,10,1648,4900,
      Assalariados do sector primário,7584,140,434,1383,2898,1833,536,191,93,31,45,7944,23393,
        Menos de 20 euros,417,10,22,66,151,124,31,7,5,1,0,424,1268,
"        20 - 34,99 euros",382,4,25,48,135,120,34,10,3,0,3,388,1227,
"        35  -  49,99 euros",277,5,12,40,102,82,23,8,2,3,0,281,939,
"        50  -  74,99 euros",396,8,19,73,136,111,29,8,6,2,4,406,1261,
"        75  -  99,99 euros",377,10,25,66,146,94,24,8,2,1,1,384,1098,
"        100  -  149,99 euros",820,17,50,185,288,181,68,21,2,5,3,844,2458,
"        150  -  199,99 euros",899,29,53,174,347,194,63,25,7,5,2,928,2561,
"        200  -  299,99 euros",1911,37,124,354,754,418,132,52,26,7,7,1970,5768,
"        300  -  399,99 euros",1489,13,85,295,591,344,78,34,31,5,13,1608,4618,
"        400  -  499,99 euros",343,0,5,44,149,100,26,5,7,2,5,374,1218,
"        500  -  649,99 euros",167,4,7,16,68,46,17,6,0,0,3,202,635,
        650 euros ou mais,106,3,7,22,31,19,11,7,2,0,4,135,342,
      Trabalhadores administrativos do comércio e serviços não qualificados,51708,817,2741,9844,20803,12236,3288,1087,499,203,190,53143,145843,
        Menos de 20 euros,2956,51,129,400,1129,949,200,59,24,8,7,2991,8611,
"        20 - 34,99 euros",2872,27,131,476,1077,873,189,67,11,10,11,2899,8385,
"        35  -  49,99 euros",1985,21,87,289,803,601,125,29,13,8,9,2000,5859,
"        50  -  74,99 euros",2710,25,86,454,1139,754,184,41,14,3,10,2733,7619,
"        75  -  99,99 euros",2059,27,103,343,775,562,171,45,21,6,6,2092,5774,
"        100  -  149,99 euros",3850,81,262,713,1492,880,285,86,28,10,13,3893,10121,
"        150  -  199,99 euros",4459,136,297,973,1666,902,295,116,42,14,18,4560,11619,
"        200  -  299,99 euros",11555,246,836,2556,4368,2400,696,239,132,43,39,11736,30210,
"        300  -  399,99 euros",12406,167,644,2704,5310,2454,664,236,128,58,41,12765,35271,
"        400  -  499,99 euros",4111,15,99,586,1964,1054,235,82,37,24,15,4392,13328,
"        500  -  649,99 euros",1908,7,34,205,786,604,157,54,33,13,15,2118,6489,
        650 euros ou mais,837,14,33,145,294,203,87,33,16,6,6,964,2557,
      Operários não qualificados,21755,368,1125,3812,8671,5369,1420,528,241,114,107,22588,64114,
        Menos de 20 euros,795,15,44,156,280,214,58,15,7,2,4,805,2233,
"        20 - 34,99 euros",783,13,52,121,283,229,58,15,7,3,2,793,2400,
"        35  -  49,99 euros",603,12,29,107,223,169,43,9,5,2,4,611,1771,
"        50  -  74,99 euros",850,15,59,127,343,212,55,21,5,5,8,861,2482,
"        75  -  99,99 euros",822,23,47,162,279,229,56,15,7,2,2,831,2322,
"        100  -  149,99 euros",2154,54,146,413,845,453,147,53,24,13,6,2207,5890,
"        150  -  199,99 euros",2727,59,178,467,1079,647,171,77,32,10,7,2803,7675,
"        200  -  299,99 euros",6131,96,328,1157,2319,1480,431,174,84,28,34,6261,17689,
"        300  -  399,99 euros",4955,72,204,880,2176,1145,274,95,50,36,23,5180,14977,
"        400  -  499,99 euros",1165,2,18,134,546,344,67,25,12,7,10,1321,3956,
"        500  -  649,99 euros",515,2,10,42,205,187,38,20,4,3,4,634,1870,
        650 euros ou mais,255,5,10,46,93,60,22,9,4,3,3,281,849,
      Trabalhadores não qualificados do sector primário,2080,36,100,407,793,491,143,57,25,14,14,2221,6372,
        Menos de 20 euros,119,1,8,22,42,35,7,4,0,0,0,120,343,
"        20 - 34,99 euros",78,1,5,7,34,22,5,4,0,0,0,79,245,
"        35  -  49,99 euros",65,1,5,8,24,21,5,0,0,0,1,66,210,
"        50  -  74,99 euros",124,2,6,31,40,39,3,2,1,0,0,128,367,
"        75  -  99,99 euros",108,3,12,15,43,25,6,2,0,2,0,108,321,
