"6.40 - TRABALHADORES POR CONTA DE OUTRÉM, SEGUNDO O NÚMERO DE HORAS DE TRABALHO NA SEMANA DE REFERÊNCIA  E SEXO, POR RAMOS DE ACTIVIDADE ECONÓMICA",,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
Zona Geográfica,Total,,De 1 h a menos de 5 h,,De 5 h a menos de 15 h,,De 15 h a menos de 30 h,,De 30 h a menos de 35 h,,De 35 h a menos de 40 h,,De 40 h a menos de 45 h,, 45 h ou mais,
Ramos de actividade económica,HM,H,HM,H,HM,H,HM,H,HM,H,HM,H,HM,H,HM,H
"      Fabricação de reservatórios, recipientes, caldeiras e radiadores metálicos para aquecimento central",4296,3434,14,6,141,101,30,18,36,27,324,228,2664,2100,1087,954
      Fabricação de geradores de vapor (excepto caldeiras para aquecimento central),33,23,0,0,0,0,1,0,1,1,7,6,16,11,8,5
      Fabricação de armas e munições,409,299,0,0,9,6,4,0,4,2,91,64,282,213,19,14
"      Fabricação de produtos forjados, estampados e laminados; metalurgia dos pós",94,76,0,0,3,1,1,1,0,0,2,2,75,62,13,10
      Tratamento e revestimento de metais; actividades de mecânica geral,3945,3171,10,8,149,118,36,20,25,17,230,179,2830,2245,665,584
"      Fabricação de cutelaria, ferramentas e ferragens",13328,10214,27,20,404,297,87,43,84,53,773,482,9639,7262,2314,2057
      Fabricação de outros produtos metálicos,5384,3942,8,6,160,115,32,13,41,26,365,269,4038,2893,740,620
"      Fabricação de componentes  e de placas, electrónicos",5426,3191,16,8,148,81,35,16,52,25,366,192,3871,2155,938,714
      Fabricação de computadores e de equipamento periférico,379,282,1,1,20,12,3,1,2,1,32,22,249,184,72,61
      Fabricação de aparelhos e equipamentos para comunicações,533,368,1,0,8,3,7,5,5,2,36,21,326,217,150,120
      Fabricação de receptores  de rádio e de televisão e bens de consumo similares,2121,780,4,2,63,22,3,0,13,6,156,60,1654,565,228,125
"      Fabricação de instrumentos e aparelhos de medida, verificação e navegação; relógios e material de relojoaria",1165,724,1,0,27,17,9,3,8,5,104,60,876,537,140,102
"      Fabricação de equipamentos de radiação, electromedicina e electroterapêutico",470,237,1,0,12,5,6,2,7,5,46,27,310,136,88,62
      Fabricação de instrumentos e de equipamentos  ópticos e fotográficos,1294,635,3,0,35,15,7,3,8,3,105,51,995,471,141,92
      Fabricação de suportes de informação magnéticos e ópticos,17,9,0,0,0,0,0,0,0,0,2,0,13,7,2,2
"      Fabricação de motores, geradores e transformadores eléctricos e fabricação de material de distribuição e de controlo para instalações eléctricas",5049,3733,11,10,156,108,19,13,21,15,292,194,3637,2642,913,751
      Fabricação de acumuladores e pilhas,507,416,1,0,14,10,2,2,1,0,47,34,402,335,40,35
      Fabricação de fios e cabos isolados e seus acessórios,1929,1498,3,2,49,33,9,4,9,6,157,121,1364,1036,338,296
      Fabricação de lâmpadas eléctricas e de outro equipamento de iluminação,1884,1170,6,3,64,38,15,8,7,4,118,58,1378,828,296,231
      Fabricação de aparelhos para uso doméstico,3694,2235,6,4,106,54,31,11,32,17,192,105,2762,1572,565,472
      Fabricação de outro equipamento eléctrico,3310,1899,5,4,92,38,26,11,23,5,186,95,2478,1349,500,397
      Fabricação de máquinas e de equipamentos para uso geral,3358,2213,5,4,78,50,16,5,28,18,327,175,2349,1556,555,405
      Fabricação de outras máquinas para uso geral,9811,8133,17,9,352,296,70,40,59,40,643,444,6889,5695,1781,1609
"      Fabricação de máquinas e de tractores para a agricultura, pecuária e silvicultura",995,863,2,2,33,28,8,5,1,1,45,40,774,670,132,117
"      Fabricação de máquinas-ferramentas, excepto portáteis",158,132,0,0,2,2,1,1,0,0,11,6,113,96,31,27
      Fabricação de outras máquinas e equipamento para uso específico,3747,3108,9,6,111,92,25,17,29,17,225,143,2654,2205,694,628
      Fabricação de veículos automóveis,13509,10213,45,38,357,245,74,58,156,117,909,668,10250,7722,1718,1365
"      Fabricação de carroçarias, reboques e semi-reboques",1089,940,3,3,37,32,5,2,5,3,71,43,856,755,112,102
      Fabricação de componentes e acessórios para veículos automóveis,24223,12709,35,21,724,342,199,114,145,74,1461,846,18705,9437,2954,1875
      Construção naval,4489,4023,27,25,134,124,36,22,27,24,765,691,2578,2266,922,871
      Fabricação de material circulante para caminhos-de-ferro,39,33,0,0,0,0,0,0,0,0,2,2,27,24,10,7
"      Fabricação de aeronaves, de veículos espaciais e equipamento relacionado",1981,1688,3,1,37,29,9,6,23,22,357,281,1271,1109,281,240
      Fabricação de veículos militares de combate,19,18,0,0,2,2,0,0,0,0,2,2,13,12,2,2
"      Fabricação de  equipamento de transporte, n.e.",1145,558,1,1,30,15,3,0,9,5,54,25,942,447,106,65
      Fabrico de mobiliário e de colchões,29168,21636,73,52,939,664,208,111,228,158,1765,1142,21663,15952,4292,3557
"      Fabricação de joalharia, ourivesaria, bijutaria e artigos similares; cunhagem de moedas",997,590,10,5,39,17,10,3,9,2,100,49,723,447,106,67
      Fabricação de instrumentos musicais,78,63,0,0,1,1,1,0,0,0,9,8,61,48,6,6
      Fabricação de artigos de desporto,331,177,5,4,10,4,3,2,5,2,32,14,229,119,47,32
      Fabricação de jogos e de brinquedos,858,332,1,1,23,9,11,4,6,2,50,16,677,258,90,42
      Fabricação de instrumentos e material médico-cirurgico,2428,864,9,5,84,26,26,7,27,8,232,77,1732,566,318,175
"      Indústrias transformadoras, n.e.",4581,2524,29,17,216,121,91,38,66,28,390,199,3175,1683,614,438
"      Reparação e  manutenção de produtos metálicos, máquinas e equipamentos",7291,6425,29,21,248,205,70,52,59,42,636,465,4904,4391,1345,1249
      Instalação de máquinas e de equipamentos industriais,3618,3190,11,9,128,109,30,20,30,26,221,149,2434,2155,764,722
"      Produção, transporte, distribuição e comércio de electricidade",21617,18519,101,85,624,514,166,91,280,201,5253,4334,11136,9716,4057,3578
      Produção de gás; distribuição de combustíveis gasosos por condutas; comércio de gás por condutas,1910,1451,7,5,70,50,16,9,27,16,240,142,1166,889,384,340
"      Produção e distribuição de vapor,  água quente e fria  e ar frio por conduta; produção de gelo",52,43,1,1,3,3,1,0,1,0,8,7,31,26,7,6
"      Captação, tratamento  e distribuição de água",12289,8859,49,34,324,223,79,51,293,213,5079,3527,5163,3820,1302,991
"      Recolha, drenagem  e tratamento de águas residuais",2232,1733,5,4,61,50,16,9,42,34,434,319,1339,1066,335,251
      Recolha de resíduos,5298,4527,15,11,190,168,36,28,142,122,1232,1041,2908,2489,775,668
      Tratamento e eliminação de resíduos,1073,797,3,3,26,21,13,8,12,8,166,116,646,476,207,165
      Valorização de materiais,6511,4676,22,16,205,147,69,33,87,56,910,614,4001,2818,1217,992
      Descontaminação e actividades similares,9,8,0,0,0,0,0,0,0,0,2,1,5,5,2,2
      Promoção imobiliária (desenvolvimento de projectos de edifícios),878,497,8,4,24,8,17,5,15,7,169,59,368,210,277,204
      Construção de edifícios (residenciais e não residenciais),223156,207598,1160,1043,8306,7635,2188,1706,2329,2009,18537,15016,141109,133071,49527,47118
"      Construção de  estradas, pontes, túneis, pistas de aeroportos e vias férreas",7289,6633,23,18,239,219,49,36,96,88,1043,804,4082,3791,1757,1677
"      Construção de redes de transporte de águas, de esgotos, de distribuição de energia, de telecomunicações  e de outras redes",1774,1573,5,5,55,47,17,13,7,7,162,116,1069,958,459,427
      Construção de outras obras de engenharia civil,11233,10103,32,21,363,323,69,50,106,84,1213,900,5971,5458,3479,3267
      Demolição e preparação dos locais de construção,3704,3394,17,13,148,128,34,15,37,30,261,199,2209,2047,998,962
"      Instalação eléctrica, de canalizações, de climatização e outras instalações",24936,22405,121,109,913,805,233,143,206,171,2080,1581,16717,15199,4666,4397
      Actividades de acabamento em edifícios,10240,9467,66,58,462,419,112,90,122,102,747,633,6812,6332,1919,1833
      Outras actividades especializadas de construção,2155,1918,8,7,75,63,18,9,22,20,141,107,1434,1290,457,422
      Comércio de veículos automóveis,22431,16660,89,50,728,521,214,105,159,103,2221,1177,13422,9945,5598,4759
      Manutenção e reparação de veículos automóveis,42142,36997,216,180,1600,1368,407,244,346,257,3110,2362,29752,26424,6711,6162
      Comércio de peças e acessórios para veículos automóveis,13856,10221,62,33,454,327,135,70,87,46,982,595,9364,6779,2772,2371
"      Comércio, manutenção e reparação de motociclos, de suas peças e acessórios",1536,1207,11,10,61,45,20,7,19,14,91,55,1005,787,329,289
      Agentes do comércio por grosso,2135,1528,8,5,42,34,25,12,23,8,242,127,1427,1032,368,310
      Comércio por grosso de produtos agrícolas brutos e animais vivos,4721,2909,27,13,124,72,75,29,81,35,409,222,2870,1710,1135,828
"      Comércio por grosso de produtos alimentares, bebidas e tabaco",29722,17837,145,70,1084,664,904,328,410,181,2095,1156,17958,10116,7126,5322
"      Comércio por grosso de bens de consumo, excepto alimentares, bebidas e tabaco",9929,5523,48,22,358,196,154,77,142,72,922,425,6282,3356,2023,1375
      Comércio por grosso de equipamento das tecnologias  de informação e comunicação ( TIC),337,156,0,0,17,8,24,4,10,2,14,6,205,97,67,39
"      Comércio por grosso de outras máquinas, equipamentos e suas partes",12770,9276,51,29,363,246,146,56,101,53,1063,583,8167,5822,2879,2487
"      Comércio por grosso de combustíveis, metais, materiais de construção, ferragens e outros produtos n.e.",20513,16076,86,60,641,481,228,119,203,129,1753,1115,13282,10407,4320,3765
      Comércio por grosso não especializado,17651,11024,85,44,720,423,392,183,248,116,1673,882,10396,6139,4137,3237
      Comércio a retalho em estabelecimentos não especializados,97337,31626,915,240,3681,1136,10579,2693,3604,680,5336,1690,57908,17613,15314,7574
"      Comércio a retalho de produtos alimentares, bebidas e tabaco, em estabelecimentos especializados",42112,24009,336,143,1942,1057,1086,366,757,312,3383,1732,22396,11880,12212,8519
"      Comércio a retalho de combustível para veículos a motor, em estabelecimentos especializados",14327,8400,79,45,518,290,241,91,255,135,1420,757,9208,5267,2606,1815
"      Comércio a retalho de equipamento das tecnologias de informação e comunicação (TIC), em estabelecimentos especializados",11217,7114,71,39,341,191,285,169,180,100,939,547,7211,4421,2190,1647
"      Comércio a retalho de outro equipamento  para uso doméstico, em estabelecimentos especializados",65838,37242,360,138,2157,1103,2065,627,859,300,4487,2204,43883,24496,12027,8374
"      Comércio a retalho de bens culturais e recreativos, em estabelecimentos especializados",12407,4905,117,28,470,170,942,374,315,116,1058,380,7453,2811,2052,1026
"      Comércio a retalho de outros produtos, em estabelecimentos especializados",127855,38036,1092,229,4886,1289,7015,1341,3256,675,10119,2911,80268,22659,21219,8932
"      Comércio a retalho em bancas,  feiras e unidades móveis de venda",804,445,20,12,54,26,41,15,38,20,160,98,319,173,172,101
"      Comércio a retalho não efectuado em estabelecimentos,  bancas, feiras ou unidades móveis de venda",2061,918,23,5,124,37,163,34,94,25,183,77,1041,465,433,275
      Transporte interurbano  de passageiros por caminho-de-ferro,6256,5473,13,9,124,105,21,15,41,27,617,441,4284,3848,1156,1028
      Transporte de mercadorias por caminho-de-ferro,203,187,1,1,3,3,0,0,1,1,12,9,94,87,92,86
      Outros transportes terrestres  de passageiros,29675,25758,141,106,1098,935,462,310,525,363,4400,3509,14007,12139,9042,8396
      Transportes rodoviários de mercadorias e actividades de mudanças,55775,48265,191,160,1756,1462,571,418,475,345,4168,3021,24516,20055,24098,22804
      Transportes por oleodutos ou gasodutos,5,3,0,0,0,0,0,0,0,0,1,0,2,2,2,1
      Transportes marítimos de passageiros,1937,1471,6,6,57,42,21,15,26,18,349,189,656,498,822,703
      Transportes marítimos de mercadorias,925,767,3,3,35,28,6,4,9,7,173,99,257,209,442,417
      Transportes de passageiros por vias navegáveis interiores,229,182,0,0,8,5,1,1,3,2,33,18,133,116,51,40
      Transportes de mercadorias por vias navegáveis interiores,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
      Transportes aéreos de passageiros,12063,7358,62,44,301,177,1017,633,1166,683,3944,2521,3852,2252,1721,1048
      Transportes aéreos de mercadorias e transportes espaciais,19,11,0,0,1,1,1,1,0,0,9,5,6,4,2,0
      Armazenagem,242,165,2,1,5,4,2,0,5,3,26,11,157,112,45,34
      Actividades auxiliares dos transportes,18066,12758,96,76,548,370,695,433,648,454,5431,3291,7479,5506,3169,2628
      Actividades postais sujeitas a obrigações do serviço universal,15824,10300,119,51,579,352,565,321,322,182,5268,3377,6964,4528,2007,1489
      Outras actividades postais e de courier,759,567,2,1,48,35,17,16,12,10,100,56,362,266,218,183
      Estabelecimentos hoteleiros,56087,23199,354,112,2454,873,1073,368,826,287,4017,1506,35169,13960,12194,6093
      Residencias para férias e outros alojamentos de curta duração,1916,707,18,4,80,18,101,20,50,14,231,71,1135,455,301,125
      Parques de campismo e de caravanismo,914,487,5,1,38,18,15,7,26,11,135,65,585,318,110,67
      Outros locais de alojamento,261,28,1,0,13,1,7,0,13,1,102,8,97,12,28,6
      Restaurantes (inclui actividades de restauração em meios móveis),100057,36472,1159,382,5959,2088,4422,1490,2823,942,7108,2408,46564,15376,32022,13786
      Fornecimento de refeições para eventos e outras actividades de serviço de refeições,11264,1745,187,16,907,121,731,45,454,61,1435,232,6142,812,1408,458
      Estabelecimentos de bebidas,41546,14756,497,164,2440,812,1393,446,855,294,3244,1124,20590,6587,12527,5329
"      Edição  de livros, de jornais e de outras publicações",5829,2853,27,15,194,77,127,68,144,67,1443,653,2366,1053,1528,920
      Edição de programas informáticos,76,54,0,0,0,0,3,1,2,1,14,11,45,31,12,10
"      Actividades cinematográficas, de vídeo e de produção de programas de televisão",3746,2203,27,15,142,65,279,141,132,76,448,250,1632,940,1086,716
      Actividades de gravação de som e edição de música,110,59,2,0,3,1,3,2,1,1,18,10,53,30,30,15
      Actividades de rádio,1455,807,9,6,61,40,69,30,69,41,486,265,553,276,208,149
      Actividades de  televisão,3248,1970,14,11,96,53,34,21,68,39,954,565,1189,714,893,567
      Actividades de telecomunicações por fio,44233,27000,226,119,1282,669,1480,757,1582,736,6824,4177,23410,13567,9429,6975
      Actividades de telecomunicações sem fio,327,139,3,0,16,7,26,4,12,4,21,9,205,86,44,29
      Actividades de telecomunicações por satélite,16,15,0,0,0,0,0,0,0,0,2,2,9,8,5,5
      Outras actividades de telecomunicações,488,255,4,1,9,3,17,9,21,10,51,25,293,140,93,67
      Consultoria e programação informática e actividades relacionadas,27075,19838,59,44,524,319,240,150,263,166,2406,1603,15973,11588,7610,5968
"      Actividades de processamento de dados, domiciliação de informação  e actividades relacionadas; portais Web",339,141,0,0,15,4,22,9,8,5,56,24,191,75,47,24
      Outras actividades dos serviços de informação,669,257,2,1,17,11,10,6,13,7,142,55,324,108,161,69
      Intermediação monetária,67053,35317,204,82,2100,866,664,146,785,324,15372,7784,25846,12714,22082,13401
      Actividades das sociedades gestoras de participações sociais,714,333,1,1,11,3,14,2,9,3,102,36,338,136,239,152
"      Trusts, fundos e  entidades financeiras similares",440,206,1,1,10,5,8,3,9,4,88,35,185,69,139,89
"      Outras actividades de serviços financeiros, excepto seguros e fundos de pensões",3743,1888,6,5,106,40,35,9,59,24,776,357,1589,761,1172,692
      Seguros,16329,7655,93,25,530,186,310,99,304,122,6070,2659,5857,2480,3165,2084
      Resseguros,21,7,0,0,1,0,0,0,0,0,12,3,5,1,3,3
      Fundos de pensões e regimes profissionais complementares,64,17,0,0,5,1,1,1,2,0,36,9,11,2,9,4
"      Actividades auxiliares de serviços financeiros, excepto seguros e fundos de pensões",974,604,2,0,26,12,10,5,11,5,183,99,442,269,300,214
      Actividades auxiliares de seguros e de fundos de pensões,3995,1751,24,10,116,42,76,21,71,20,980,376,1822,666,906,616
      Actividades de gestão de fundos,394,170,3,1,11,4,3,2,10,3,134,44,139,61,94,55
      Compra e venda de bens imobiliários,2058,959,14,8,94,41,82,31,46,19,294,110,1061,476,467,274
      Arrendamento de bens imobiliários,400,169,5,3,14,4,34,10,11,6,96,36,182,72,58,38
      Actividades imobiliárias por conta de outrem,12946,4909,142,36,592,170,624,124,336,110,1682,537,6821,2447,2749,1485
      Actividades jurídicas e dos cartórios notariais,11792,2323,119,19,473,80,370,69,394,74,3155,565,5360,866,1921,650
      Actividades de contabilidade e auditoria;  consultoria fiscal,39945,12448,396,55,1304,305,831,226,588,163,7302,1838,21429,5752,8095,4109
      Actividades das sedes sociais,11,5,0,0,1,0,0,0,0,0,1,1,5,1,4,3
      Actividades de consultoria para os negócios e a gestão,2319,931,10,1,73,28,37,18,34,16,349,123,1350,497,466,248
"      Actividades de arquitectura, de engenharia e técnicas afins",20407,12721,92,56,517,284,302,118,348,159,3417,1871,10668,6473,5063,3760
      Actividades de ensaios e análises técnicas,4259,2599,15,9,107,59,42,20,60,25,611,267,2498,1550,926,669
      Investigação e desenvolvimento das ciências físicas e naturais,5348,2372,13,7,93,33,104,39,162,61,1982,798,1890,863,1104,571
      Investigação e desenvolvimento das ciências sociais e humanas,45,9,0,0,0,0,3,0,3,0,15,6,18,1,6,2
      Publicidade,9414,5216,52,31,343,161,185,70,196,96,1273,580,5168,2891,2197,1387
      Estudos de mercado e sondagens de opinião,3877,1455,62,13,158,50,374,149,214,84,624,207,1773,660,672,292
      Actividades de design,6063,4123,24,10,102,57,84,39,74,46,606,361,3620,2437,1553,1173
      Actividades fotográficas,1685,778,17,7,72,37,52,22,41,18,157,70,1025,455,321,169
      Actividades de tradução e interpretação,535,130,1,0,9,1,25,6,18,3,106,19,300,78,76,23
