"6.40 - TRABALHADORES POR CONTA DE OUTRÉM, SEGUNDO O NÚMERO DE HORAS DE TRABALHO NA SEMANA DE REFERÊNCIA  E SEXO, POR RAMOS DE ACTIVIDADE ECONÓMICA",,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
Zona Geográfica,Total,,De 1 h a menos de 5 h,,De 5 h a menos de 15 h,,De 15 h a menos de 30 h,,De 30 h a menos de 35 h,,De 35 h a menos de 40 h,,De 40 h a menos de 45 h,, 45 h ou mais,
Ramos de actividade económica,HM,H,HM,H,HM,H,HM,H,HM,H,HM,H,HM,H,HM,H
          Fabricação de outros produtos metálicos,161,131,0,0,5,4,1,1,0,0,38,36,99,72,18,18
"          Fabricação de componentes  e de placas, electrónicos",719,425,1,0,16,8,4,1,10,7,56,34,481,274,151,101
          Fabricação de computadores e de equipamento periférico,10,9,0,0,0,0,0,0,0,0,0,0,5,4,5,5
          Fabricação de aparelhos e equipamentos para comunicações,15,10,0,0,0,0,0,0,0,0,3,0,8,7,4,3
          Fabricação de receptores  de rádio e de televisão e bens de consumo similares,6,3,0,0,0,0,0,0,1,1,0,0,4,1,1,1
"          Fabricação de instrumentos e aparelhos de medida, verificação e navegação; relógios e material de relojoaria",16,15,0,0,2,2,0,0,0,0,3,3,8,7,3,3
"          Fabricação de equipamentos de radiação, electromedicina e electroterapêutico",43,2,0,0,0,0,0,0,0,0,4,1,37,1,2,0
          Fabricação de instrumentos e de equipamentos  ópticos e fotográficos,3,0,0,0,0,0,0,0,0,0,2,0,1,0,0,0
          Fabricação de suportes de informação magnéticos e ópticos,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"          Fabricação de motores, geradores e transformadores eléctricos e fabricação de material de distribuição e de controlo para instalações eléctricas",939,575,1,1,22,14,4,2,3,1,33,20,671,380,205,157
          Fabricação de acumuladores e pilhas,82,69,0,0,2,0,0,0,0,0,13,10,62,54,5,5
          Fabricação de fios e cabos isolados e seus acessórios,29,23,0,0,0,0,1,1,0,0,6,5,16,11,6,6
          Fabricação de lâmpadas eléctricas e de outro equipamento de iluminação,94,37,1,0,4,1,0,0,0,0,5,1,74,27,10,8
          Fabricação de aparelhos para uso doméstico,113,59,0,0,2,1,1,0,2,0,7,3,85,42,16,13
          Fabricação de outro equipamento eléctrico,177,107,0,0,4,1,1,0,2,1,7,7,135,76,28,22
          Fabricação de máquinas e de equipamentos para uso geral,45,34,0,0,2,2,1,1,0,0,5,3,27,20,10,8
          Fabricação de outras máquinas para uso geral,393,313,0,0,12,8,2,2,3,2,25,17,278,222,73,62
"          Fabricação de máquinas e de tractores para a agricultura, pecuária e silvicultura",120,104,0,0,5,4,1,1,0,0,11,7,82,75,21,17
"          Fabricação de máquinas-ferramentas, excepto portáteis",5,5,0,0,0,0,0,0,0,0,0,0,4,4,1,1
          Fabricação de outras máquinas e equipamento para uso específico,97,86,0,0,1,1,0,0,0,0,9,8,62,52,25,25
          Fabricação de veículos automóveis,541,410,1,1,14,13,6,6,1,1,56,38,399,295,64,56
"          Fabricação de carroçarias, reboques e semi-reboques",186,152,1,1,9,8,0,0,1,0,11,6,140,115,24,22
          Fabricação de componentes e acessórios para veículos automóveis,1521,821,2,1,43,15,7,5,12,6,148,103,1108,557,201,134
          Construção naval,44,41,0,0,1,1,1,1,0,0,2,1,22,20,18,18
          Fabricação de material circulante para caminhos-de-ferro,4,3,0,0,0,0,0,0,0,0,0,0,4,3,0,0
"          Fabricação de aeronaves, de veículos espaciais e equipamento relacionado",177,158,0,0,6,5,0,0,2,2,24,19,119,108,26,24
          Fabricação de veículos militares de combate,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"          Fabricação de  equipamento de transporte, n.e.",1,1,0,0,0,0,0,0,0,0,0,0,1,1,0,0
          Fabrico de mobiliário e de colchões,1002,546,2,2,23,9,8,6,6,2,65,25,765,410,133,92
"          Fabricação de joalharia, ourivesaria, bijutaria e artigos similares; cunhagem de moedas",22,7,0,0,1,1,0,0,1,0,2,1,16,4,2,1
          Fabricação de instrumentos musicais,1,1,0,0,0,0,0,0,0,0,0,0,1,1,0,0
          Fabricação de artigos de desporto,3,2,0,0,0,0,1,1,1,0,0,0,1,1,0,0
          Fabricação de jogos e de brinquedos,4,2,0,0,0,0,0,0,1,0,0,0,2,1,1,1
          Fabricação de instrumentos e material médico-cirurgico,129,12,0,0,3,1,0,0,0,0,2,0,113,9,11,2
"          Indústrias transformadoras, n.e.",212,128,3,1,11,5,5,2,5,2,26,16,124,73,38,29
"          Reparação e  manutenção de produtos metálicos, máquinas e equipamentos",516,460,2,2,17,15,9,6,6,1,40,27,348,319,94,90
          Instalação de máquinas e de equipamentos industriais,135,124,0,0,1,1,2,2,0,0,9,7,83,74,40,40
"          Produção, transporte, distribuição e comércio de electricidade",1781,1609,8,7,58,54,8,5,16,13,461,396,962,883,268,251
          Produção de gás; distribuição de combustíveis gasosos por condutas; comércio de gás por condutas,140,106,1,1,6,4,0,0,2,2,17,7,86,69,28,23
"          Produção e distribuição de vapor,  água quente e fria  e ar frio por conduta; produção de gelo",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"          Captação, tratamento  e distribuição de água",992,734,3,2,31,22,4,3,40,35,345,244,469,355,100,73
"          Recolha, drenagem  e tratamento de águas residuais",132,103,1,1,1,1,0,0,8,8,28,16,77,64,17,13
          Recolha de resíduos,270,219,1,1,9,8,2,2,7,7,62,54,151,114,38,33
          Tratamento e eliminação de resíduos,144,105,1,1,4,3,2,1,0,0,26,20,83,60,28,20
          Valorização de materiais,636,474,4,2,18,16,6,4,3,3,70,52,408,291,127,106
          Descontaminação e actividades similares,1,1,0,0,0,0,0,0,0,0,1,1,0,0,0,0
          Promoção imobiliária (desenvolvimento de projectos de edifícios),14,7,0,0,0,0,1,0,0,0,1,0,8,5,4,2
          Construção de edifícios (residenciais e não residenciais),12999,12323,63,59,533,494,155,135,118,108,1086,924,8718,8365,2326,2238
"          Construção de  estradas, pontes, túneis, pistas de aeroportos e vias férreas",480,448,2,2,14,14,1,1,7,7,74,55,266,255,116,114
"          Construção de redes de transporte de águas, de esgotos, de distribuição de energia, de telecomunicações  e de outras redes",124,110,0,0,5,5,0,0,2,2,15,8,69,63,33,32
          Construção de outras obras de engenharia civil,713,652,1,1,24,22,5,5,14,13,78,60,355,322,236,229
          Demolição e preparação dos locais de construção,401,371,3,2,16,14,2,1,2,2,31,24,243,227,104,101
"          Instalação eléctrica, de canalizações, de climatização e outras instalações",1265,1148,8,6,48,44,12,10,12,10,131,100,824,760,230,218
          Actividades de acabamento em edifícios,438,401,1,1,16,16,8,7,7,6,40,31,294,269,72,71
          Outras actividades especializadas de construção,198,183,1,1,6,6,0,0,0,0,12,12,134,122,45,42
          Comércio de veículos automóveis,1408,1040,5,2,37,27,17,8,9,7,178,86,843,641,319,269
          Manutenção e reparação de veículos automóveis,2789,2432,11,8,104,88,42,25,29,19,244,170,1959,1749,400,373
          Comércio de peças e acessórios para veículos automóveis,816,605,4,3,25,19,7,2,4,3,76,51,529,388,171,139
"          Comércio, manutenção e reparação de motociclos, de suas peças e acessórios",96,77,4,4,1,1,0,0,0,0,4,2,70,57,17,13
          Agentes do comércio por grosso,164,109,1,1,4,4,4,2,3,1,31,12,96,68,25,21
          Comércio por grosso de produtos agrícolas brutos e animais vivos,704,504,8,4,17,13,5,2,6,3,71,46,418,288,179,148
"          Comércio por grosso de produtos alimentares, bebidas e tabaco",2895,1710,9,2,109,65,55,19,30,11,176,100,1886,1016,630,497
"          Comércio por grosso de bens de consumo, excepto alimentares, bebidas e tabaco",287,143,2,1,16,6,3,3,4,2,30,14,177,81,55,36
          Comércio por grosso de equipamento das tecnologias  de informação e comunicação ( TIC),3,3,0,0,1,1,0,0,0,0,1,1,1,1,0,0
"          Comércio por grosso de outras máquinas, equipamentos e suas partes",849,670,2,1,26,20,5,2,8,6,83,54,541,416,184,171
"          Comércio por grosso de combustíveis, metais, materiais de construção, ferragens e outros produtos n.e.",1465,1179,4,3,39,32,11,6,10,8,117,75,982,782,302,273
          Comércio por grosso não especializado,1101,689,3,1,34,19,16,10,11,5,89,56,677,370,271,228
          Comércio a retalho em estabelecimentos não especializados,7886,2307,56,13,266,71,726,188,229,57,449,131,5037,1281,1123,566
"          Comércio a retalho de produtos alimentares, bebidas e tabaco, em estabelecimentos especializados",3325,1880,19,6,138,73,81,32,63,25,292,150,1990,1060,742,534
"          Comércio a retalho de combustível para veículos a motor, em estabelecimentos especializados",1340,726,8,6,45,28,19,10,34,10,147,71,866,453,221,148
"          Comércio a retalho de equipamento das tecnologias de informação e comunicação (TIC), em estabelecimentos especializados",394,241,1,0,11,3,16,9,7,4,54,28,236,143,69,54
"          Comércio a retalho de outro equipamento  para uso doméstico, em estabelecimentos especializados",3148,1704,13,7,102,50,83,34,37,14,269,120,2163,1147,481,332
"          Comércio a retalho de bens culturais e recreativos, em estabelecimentos especializados",483,145,5,0,17,9,32,12,4,0,48,14,304,82,73,28
"          Comércio a retalho de outros produtos, em estabelecimentos especializados",6077,1823,43,7,210,47,247,43,107,23,508,161,3938,1078,1024,464
"          Comércio a retalho em bancas,  feiras e unidades móveis de venda",57,33,2,2,2,2,4,0,1,1,17,12,18,9,13,7
"          Comércio a retalho não efectuado em estabelecimentos,  bancas, feiras ou unidades móveis de venda",58,29,1,0,3,0,2,0,2,0,8,5,27,16,15,8
          Transporte interurbano  de passageiros por caminho-de-ferro,525,494,2,0,12,10,1,1,3,3,52,48,355,341,100,91
          Transporte de mercadorias por caminho-de-ferro,1,1,0,0,0,0,0,0,0,0,0,0,0,0,1,1
          Outros transportes terrestres  de passageiros,1234,1099,5,4,39,36,16,11,17,11,165,137,505,437,487,463
          Transportes rodoviários de mercadorias e actividades de mudanças,5037,4299,19,16,151,121,41,30,34,21,270,199,2273,1769,2249,2143
          Transportes por oleodutos ou gasodutos,2,1,0,0,0,0,0,0,0,0,0,0,1,1,1,0
          Transportes marítimos de passageiros,68,45,0,0,4,1,0,0,2,2,13,7,17,10,32,25
          Transportes marítimos de mercadorias,45,43,0,0,0,0,1,1,1,1,4,4,12,11,27,26
          Transportes de passageiros por vias navegáveis interiores,1,1,0,0,0,0,0,0,0,0,0,0,1,1,0,0
          Transportes de mercadorias por vias navegáveis interiores,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
          Transportes aéreos de passageiros,379,265,4,3,10,7,21,17,38,25,96,66,135,93,75,54
          Transportes aéreos de mercadorias e transportes espaciais,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
          Armazenagem,39,20,0,0,0,0,0,0,1,0,2,1,33,16,3,3
          Actividades auxiliares dos transportes,902,705,0,0,23,18,19,7,28,19,189,120,444,370,199,171
          Actividades postais sujeitas a obrigações do serviço universal,927,582,6,3,32,16,23,4,15,6,309,209,417,256,125,88
          Outras actividades postais e de courier,26,20,0,0,4,3,0,0,0,0,1,1,16,11,5,5
          Estabelecimentos hoteleiros,2807,995,24,5,112,36,58,22,41,12,238,79,1733,576,601,265
          Residencias para férias e outros alojamentos de curta duração,315,113,3,1,12,2,13,8,8,2,34,12,185,60,60,28
          Parques de campismo e de caravanismo,159,73,0,0,7,2,2,0,3,2,21,12,112,50,14,7
          Outros locais de alojamento,25,3,1,0,2,0,0,0,0,0,6,2,16,1,0,0
          Restaurantes (inclui actividades de restauração em meios móveis),5786,1638,49,11,329,95,166,45,110,27,441,133,2725,671,1966,656
          Fornecimento de refeições para eventos e outras actividades de serviço de refeições,664,68,7,0,42,3,26,4,17,1,88,4,395,34,89,22
          Estabelecimentos de bebidas,2490,719,24,10,137,36,75,15,35,9,210,61,1399,380,610,208
"          Edição  de livros, de jornais e de outras publicações",170,89,1,1,4,2,4,4,6,3,44,21,72,31,39,27
          Edição de programas informáticos,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0
"          Actividades cinematográficas, de vídeo e de produção de programas de televisão",56,32,1,1,1,0,0,0,2,1,9,3,24,13,19,14
          Actividades de gravação de som e edição de música,2,2,0,0,0,0,0,0,1,1,1,1,0,0,0,0
          Actividades de rádio,144,80,2,1,7,2,11,0,4,1,49,30,54,32,17,14
          Actividades de  televisão,61,36,1,0,3,0,4,3,2,2,14,10,23,14,14,7
          Actividades de telecomunicações por fio,2075,1303,7,1,56,30,109,46,132,49,344,256,1053,625,374,296
          Actividades de telecomunicações sem fio,3,2,0,0,0,0,0,0,0,0,0,0,3,2,0,0
          Actividades de telecomunicações por satélite,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
          Outras actividades de telecomunicações,13,5,0,0,0,0,0,0,1,1,1,1,10,2,1,1
          Consultoria e programação informática e actividades relacionadas,607,472,1,1,11,5,17,8,7,6,92,64,337,271,142,117
"          Actividades de processamento de dados, domiciliação de informação  e actividades relacionadas; portais Web",11,2,0,0,0,0,0,0,0,0,4,0,5,1,2,1
          Outras actividades dos serviços de informação,12,4,0,0,0,0,0,0,2,1,1,0,9,3,0,0
          Intermediação monetária,3440,1876,12,1,129,53,84,6,34,10,1017,553,1294,700,870,553
          Actividades das sociedades gestoras de participações sociais,5,3,0,0,0,0,0,0,0,0,0,0,4,2,1,1
"          Trusts, fundos e  entidades financeiras similares",4,1,0,0,0,0,0,0,0,0,1,0,2,0,1,1
"          Outras actividades de serviços financeiros, excepto seguros e fundos de pensões",90,49,0,0,1,0,1,0,3,0,27,16,31,15,27,18
          Seguros,855,393,11,4,25,5,73,22,26,5,270,140,306,111,144,106
          Resseguros,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
          Fundos de pensões e regimes profissionais complementares,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"          Actividades auxiliares de serviços financeiros, excepto seguros e fundos de pensões",32,20,0,0,0,0,0,0,0,0,9,4,12,7,11,9
          Actividades auxiliares de seguros e de fundos de pensões,176,70,2,0,8,4,10,1,3,1,37,15,80,24,36,25
          Actividades de gestão de fundos,10,5,0,0,1,0,0,0,1,1,3,1,2,1,3,2
          Compra e venda de bens imobiliários,86,44,1,0,4,3,5,2,3,0,8,3,48,23,17,13
          Arrendamento de bens imobiliários,8,4,0,0,2,0,0,0,0,0,2,1,3,2,1,1
          Actividades imobiliárias por conta de outrem,393,122,5,1,14,1,8,1,2,0,58,20,217,61,89,38
          Actividades jurídicas e dos cartórios notariais,553,86,9,2,28,5,15,1,17,3,205,30,225,27,54,18
          Actividades de contabilidade e auditoria;  consultoria fiscal,2171,598,26,0,63,13,47,15,38,13,623,142,1123,285,251,130
          Actividades das sedes sociais,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
          Actividades de consultoria para os negócios e a gestão,84,31,0,0,8,4,1,1,0,0,13,3,45,15,17,8
"          Actividades de arquitectura, de engenharia e técnicas afins",758,520,5,3,22,21,9,3,18,11,158,94,366,254,180,134
          Actividades de ensaios e análises técnicas,260,170,0,0,2,0,3,2,4,2,49,27,148,104,54,35
          Investigação e desenvolvimento das ciências físicas e naturais,224,116,2,2,7,1,5,1,4,2,112,60,57,31,37,19
          Investigação e desenvolvimento das ciências sociais e humanas,1,1,0,0,0,0,0,0,0,0,0,0,0,0,1,1
          Publicidade,222,119,2,0,10,3,6,0,7,3,28,18,132,72,37,23
          Estudos de mercado e sondagens de opinião,102,37,1,0,5,1,10,4,7,4,15,5,44,12,20,11
          Actividades de design,122,88,0,0,5,3,3,2,4,3,11,11,71,46,28,23
          Actividades fotográficas,80,21,2,0,2,0,4,0,1,1,8,1,56,17,7,2
          Actividades de tradução e interpretação,13,1,0,0,0,0,1,0,2,0,1,1,7,0,2,0
"          Outras actividades de consultoria, científicas, técnicas e similares, n.e.",52,21,0,0,0,0,0,0,2,0,11,7,28,8,11,6
          Actividades veterinárias,293,115,2,2,8,4,5,1,19,8,82,36,120,39,57,25
          Aluguer de veículos automóveis,87,53,0,0,3,2,1,1,0,0,7,2,52,29,24,19
          Aluguer de bens de uso pessoal e doméstico,21,8,0,0,0,0,0,0,1,0,2,1,12,3,6,4
          Aluguer de outras máquinas e equipamentos,288,234,0,0,11,8,2,0,3,0,15,9,171,138,86,79
"          Locação de propriedade intelectual e produtos similares, excepto direitos de autor",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
          Actividades das empresas de selecção e colocação de pessoal,206,91,2,0,9,4,10,5,3,1,40,14,102,42,40,25
          Actividades das empresas de trabalho temporário,80,56,0,0,3,3,2,1,1,1,11,1,45,34,18,16
          Outro fornecimento de recursos humanos,215,122,2,0,12,6,17,8,5,2,20,11,127,70,32,25
          Agências de viagem e operadores turísticos,368,121,5,1,17,5,4,1,6,1,91,25,192,64,53,24
          Outros serviços de reservas e actividades relacionadas,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
          Actividades de  segurança privada,1698,1498,4,3,53,47,26,24,29,27,152,116,944,839,490,442
          Actividades  relacionadas com sistemas de segurança,19,17,0,0,2,1,0,0,0,0,1,1,8,7,8,8
          Actividades de investigação,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
          Actividades combinadas de apoio aos  edifícios,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
          Actividades de limpeza,4484,564,146,4,470,23,810,125,284,8,612,68,1822,269,340,67
          Actividades de plantação e manutenção de jardins,691,402,4,3,34,18,16,11,20,11,113,67,440,253,64,39
          Actividades de serviços administrativos e  de apoio,68,15,1,0,8,1,2,1,4,0,21,6,28,6,4,1
          Actividades dos centros de chamadas,331,107,3,1,15,4,91,21,38,14,28,11,136,45,20,11
"          Organização de feiras, congressos e outros eventos similares",131,65,1,0,9,3,4,1,4,0,24,13,65,32,24,16
"          Actividades de serviços de apoio prestados às empresas, n.e.",349,146,4,3,18,8,9,4,7,2,114,32,154,72,43,25
"          Administração pública em geral, económica e social",20705,10980,95,39,697,327,292,96,760,396,13219,6751,4301,2506,1341,865
"          Negócios estrangeiros, defesa, justiça, segurança, ordem pública e protecção civil",10835,9031,30,19,250,176,143,103,270,220,2743,2098,3520,2922,3879,3493
          Actividades de segurança social obrigatória,850,198,8,1,21,3,4,1,14,2,568,140,170,34,65,17
          Educação pré-escolar,3188,72,11,0,120,5,155,7,169,5,1806,28,833,21,94,6
          Ensino básico (1º e 2º Ciclos),7486,1246,36,4,352,65,670,116,517,91,4138,689,1182,171,591,110
          Ensinos básico (3º Ciclo) e secundário,9208,2383,30,5,252,71,699,193,601,183,5182,1326,1463,339,981,266
          Ensinos pós-secundário não superior e superior,2105,860,6,3,81,30,82,31,140,58,945,320,446,197,405,221
          Outras actividades educativas,1699,613,13,5,125,46,158,42,107,36,640,193,497,205,159,86
          Actividades de serviços de apoio à educação,3,0,0,0,1,0,0,0,0,0,0,0,2,0,0,0
          Actividades dos estabelecimentos de saúde com internamento,5832,1405,11,2,121,21,57,8,84,16,2759,559,2023,486,777,313
"          Actividades de prática clínica em ambulatório, de medicina dentária e de odontologia",4423,884,25,3,91,15,122,16,88,15,1903,349,1658,284,536,202
          Outras actividades de saúde humana,1087,257,5,2,46,8,53,5,21,2,238,43,552,100,172,97
"          Actividades dos estabelecimentos de cuidados continuados integrados,  com alojamento",111,11,1,0,4,0,2,0,3,1,19,2,69,5,13,3
"          Actividades dos estabelecimentos para pessoas com  doença do foro mental e do abuso de drogas, com alojamento",93,23,0,0,1,0,3,0,10,2,52,9,22,8,5,4
"          Actividades de apoio social para pessoas idosas e com deficiência,  com alojamento",8077,595,17,1,232,11,98,13,136,9,3102,272,3924,227,568,62
          Outras actividades de apoio  social com alojamento,158,12,1,0,9,0,0,0,6,1,70,6,64,5,8,0
"          Actividades de apoio social para pessoas idosas e com deficiência, sem alojamento",2698,135,7,0,90,6,31,0,52,5,951,47,1391,65,176,12
          Outras actividades de apoio social sem alojamento,2447,210,11,2,73,7,47,6,64,5,1202,103,906,66,144,21
"          Actividades de teatro, de música, de dança e outras actividades artísticas e literárias",203,122,7,2,9,4,10,6,19,11,49,20,84,62,25,17
"          Actividades das bibliotecas, arquivos, museus e outras actividades culturais",498,178,5,1,12,6,14,7,43,13,260,75,133,64,31,12
          Lotarias e outros jogos de aposta,38,18,1,0,1,1,3,0,1,1,6,3,21,10,5,3
          Actividades desportivas,757,408,13,5,49,24,60,37,33,14,212,116,307,161,83,51
          Actividades de diversão e recreativas,89,53,2,0,3,1,8,3,2,2,20,13,40,24,14,10
"          Actividades de organizações económicas, patronais e profissionais",199,83,1,0,6,3,10,7,5,1,76,22,68,28,33,22
          Actividades de organizações sindicais,69,24,2,0,2,1,3,1,3,1,49,16,10,5,0,0
          Outras actividades de organizações associativas,903,406,6,3,35,16,30,11,38,17,282,85,286,107,226,167
          Reparação de computadores e de equipamento de comunicação,35,29,0,0,1,1,2,2,0,0,3,2,24,19,5,5
          Reparação de bens de uso pessoal e doméstico,140,118,3,2,11,6,2,2,2,0,11,11,93,80,18,17
          Outras actividades de serviços pessoais,1425,245,16,0,63,10,45,22,22,3,153,40,901,125,225,45
          Actividades das famílias empregadoras de pessoal doméstico,3625,49,118,0,369,5,741,1,290,0,409,4,1395,31,303,8
          Actividades de produção de bens pelas famílias para uso próprio,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
          Actividades de produção de serviços pelas famílias para uso próprio,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
          Actividades dos organismos internacionais e outras instituições extra-territoriais,21,7,0,0,0,0,0,0,1,0,9,3,9,3,2,1
      Algarve,143392,69803,1224,464,5670,2407,4846,1464,4382,1599,29876,10833,73409,37731,23985,15305
          Culturas temporárias,1494,833,21,14,38,21,32,16,30,16,147,76,1004,544,222,146
          Culturas permanentes,441,250,4,1,12,5,7,2,6,2,41,19,294,170,77,51
          Cultura de materiais de propagação vegetativa,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
          Produção animal,70,52,0,0,3,2,3,2,2,0,6,5,35,25,21,18
          Agricultura e produção animal combinadas,52,35,0,0,2,1,1,0,0,0,3,2,34,23,12,9
          Actividades dos serviços relacionados com a agricultura e com a produção animal,32,27,0,0,0,0,0,0,0,0,4,2,23,20,5,5
"          Caça, repovoamento cinegético  e actividades dos serviços relacionados",7,6,0,0,0,0,1,1,0,0,0,0,5,4,1,1
          Silvicultura e outras actividades florestais,62,30,0,0,4,0,2,2,0,0,8,4,39,18,9,6
          Exploração florestal,60,50,1,1,2,2,2,2,1,1,11,8,33,27,10,9
"          Extracção de cortiça, resina e apanha de outros produtos florestais, excepto madeira",12,9,0,0,0,0,0,0,1,1,1,1,8,6,2,1
          Actividades dos serviços relacionados com a silvicultura e exploração florestal,14,10,0,0,0,0,0,0,0,0,6,3,7,6,1,1
          Pesca,968,926,13,12,55,54,30,29,38,35,77,64,257,241,498,491
          Aquicultura,42,28,0,0,2,2,1,1,1,0,3,1,25,18,10,6
          Extracção de hulha (inclui antracite),1,1,0,0,0,0,0,0,0,0,0,0,1,1,0,0
          Extracção de lenhite,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
          Extracção de petróleo bruto,9,9,0,0,0,0,0,0,0,0,1,1,2,2,6,6
          Extracção de gás natural,1,1,0,0,0,0,0,0,0,0,0,0,1,1,0,0
          Extracção e preparação de minérios de ferro,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
          Extracção e preparação de minérios metálicos não ferrosos,26,23,0,0,0,0,0,0,0,0,1,1,18,15,7,7
"          Extracção de pedra, areia e argila",197,175,0,0,10,10,1,0,3,3,14,10,139,123,30,29
"          Indústrias extractivas, n.e.",165,125,0,0,11,6,1,0,4,2,21,11,104,84,24,22
"          Actividades dos serviços relacionados com a extracção de petróleo e gás, excepto a prospecção",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
          Outras actividades dos serviços relacionados com as indústrias extractivas,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"          Abate de animais, preparação e conservação de carne e de produtos à base de carne",46,26,0,0,1,1,1,0,0,0,3,1,31,18,10,6
"          Preparação e conservação de peixes, crustáceos e moluscos",221,52,0,0,20,5,1,1,3,0,17,3,150,29,30,14
          Preparação e conservação de frutos e de produtos hortícolas,68,42,0,0,3,1,1,1,0,0,8,6,50,28,6,6
          Produção de óleos e gorduras animais e vegetais,20,14,0,0,2,2,0,0,1,1,4,1,11,8,2,2
          Indústria de lacticínios,57,31,0,0,3,2,2,1,4,1,5,1,31,17,12,9
"          Transformação de cereais e leguminosas; fabricação de amidos, de féculas e de produtos afins",16,11,2,1,0,0,0,0,1,1,3,1,8,6,2,2
          Fabricação de produtos de padaria e outros produtos à base de farinha,664,330,5,2,39,21,20,10,23,13,76,36,341,150,160,98
          Fabricação de outros produtos alimentares,71,36,0,0,3,2,2,2,2,1,5,1,43,18,16,12
          Fabricação de alimentos para animais,17,13,0,0,0,0,0,0,0,0,0,0,11,8,6,5
          Indústria das bebidas,166,116,3,2,5,3,1,0,0,0,26,13,98,70,33,28
          Indústria do tabaco,5,4,0,0,0,0,0,0,0,0,2,2,2,2,1,0
          Preparação e fiação de fibras têxteis,6,1,0,0,0,0,1,0,0,0,0,0,5,1,0,0
          Tecelagem de têxteis,1,1,0,0,0,0,0,0,0,0,0,0,1,1,0,0
          Acabamento de têxteis,3,0,0,0,0,0,1,0,0,0,0,0,2,0,0,0
          Fabricação de outros têxteis,55,24,0,0,1,0,0,0,1,0,3,1,47,22,3,1
"          Confecção de artigos de vestuário, excepto artigos de peles com pêlo",276,59,4,1,11,2,20,2,11,2,19,2,166,37,45,13
          Fabricação de artigos de peles com pêlo,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
          Fabricação de artigos de malha,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"          Curtimenta e acabamento de peles sem pêlo e com pêlo; fabricação de artigos de viagem e de uso pessoal, de marroquinaria, de correeiro e de seleiro",8,3,0,0,0,0,0,0,0,0,0,0,4,1,4,2
          Indústria do calçado,19,10,0,0,1,0,0,0,0,0,2,2,12,5,4,3
"          Serração, aplainamento e impregnação da madeira",40,38,1,1,1,1,1,1,1,1,2,2,26,25,8,7
"          Fabricação de artigos de madeira, de cortiça, de espartaria e de cestaria, excepto mobiliário",650,564,5,5,18,14,3,2,7,6,46,33,494,429,77,75
"          Fabricação de pasta, de papel e cartão (excepto canelado)",11,6,0,0,0,0,0,0,0,0,1,1,10,5,0,0
          Fabricação de papel e de cartão canelados e de artigos de papel e de cartão,10,6,0,0,2,1,0,0,0,0,0,0,7,4,1,1
          Impressão e actividades dos serviços relacionados com a impressão,251,146,2,2,4,2,3,2,2,1,30,16,180,104,30,19
          Reprodução de suportes gravados,2,2,0,0,0,0,0,0,0,0,0,0,1,1,1,1
          Fabricação de produtos de coqueria,2,2,0,0,0,0,0,0,0,0,1,1,0,0,1,1
          Fabricação de produtos petrolíferos refinados e de aglomerados de combustíveis,33,28,0,0,1,1,0,0,0,0,5,5,13,9,14,13
"          Fabricação de produtos químicos de base, adubos e compostos azotados, matérias plásticas e borracha sintética, sob formas primárias",37,28,2,1,2,1,0,0,0,0,5,3,18,14,10,9
          Fabricação de pesticidas e  de outros produtos agroquímicos,5,2,1,0,0,0,0,0,0,0,0,0,4,2,0,0
"          Fabricação de tintas, vernizes e produtos similares; mastiques; tintas de impressão",26,26,0,0,0,0,0,0,1,1,1,1,20,20,4,4
"          Fabricação de sabões e detergentes, produtos de limpeza e de polimento, perfumes e produtos de higiene",44,18,1,0,3,0,0,0,0,0,6,3,26,8,8,7
          Fabricação de outros produtos químicos,3,2,0,0,0,0,0,0,0,0,0,0,2,1,1,1
          Fabricação de fibras sintéticas ou artificiais,1,1,0,0,1,1,0,0,0,0,0,0,0,0,0,0
