"3.10 - ALOJAMENTOS CLÁSSICOS, SEGUNDO A FORMA DE OCUPAÇÃO, FAMÍLIAS CLÁSSICAS  E PESSOAS RESIDENTES, POR TIPO DE EDIFÍCIO E NUMERO DE ALOJAMENTOS",,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,"Alojamentos clássicos, segundo a forma de ocupação",,,,,,,,,Famílias clássicas,Pessoas residentes,,,
Zona Geográfica,,Ocupados,,,Vagos,,,,,,,,,
 Tipo de edificio e número de alojamentos,Total         ,Total,Residência habitual,Residência secundária,Total,Para venda,Para arrendamento,Para demolição,Outros,,,,,
            16 ou mais alojamentos,68600,59628,48117,11511,8972,3796,1805,63,3308,48441,120295,,,
          Edifícios principalmente não residenciais (até 49%),10195,7837,6267,1570,2358,315,461,67,1515,6344,17461,,,
            1 alojamento,6073,4515,3550,965,1558,111,215,67,1165,3599,10294,,,
            2 alojamentos,1482,1205,1023,182,277,38,102,0,137,1040,2762,,,
            3 alojamentos,378,307,260,47,71,7,34,0,30,261,658,,,
            4 alojamentos,467,380,294,86,87,12,36,0,39,297,790,,,
            5 - 9 alojamentos,1120,915,716,199,205,61,53,0,91,719,1904,,,
            10 - 15 alojamentos,389,289,240,49,100,77,11,0,12,241,606,,,
            16 ou mais alojamentos,286,226,184,42,60,9,10,0,41,187,447,,,
        Centro,1443886,1246912,893857,353055,196974,38244,22245,10040,126445,902643,2285256,,,
          Total de edifícios principalmente residenciais,1435457,1240824,889314,351510,194633,38020,21815,9971,124827,897980,2273786,,,
            1 alojamento,1021005,880511,620039,260472,140494,20955,7222,9584,102733,625931,1614262,,,
            2 alojamentos,70034,62081,51596,10485,7953,969,2771,174,4039,52102,127214,,,
            3 alojamentos,23648,19436,14772,4664,4212,701,1606,71,1834,14985,34599,,,
            4 alojamentos,29720,24911,19360,5551,4809,1057,1749,35,1968,19525,47463,,,
            5 - 9 alojamentos,145646,127545,95981,31564,18101,6310,4625,41,7125,96868,240434,,,
            10 - 15 alojamentos,80772,70565,50694,19871,10207,4447,1982,13,3765,51265,123563,,,
            16 ou mais alojamentos,64632,55775,36872,18903,8857,3581,1860,53,3363,37304,86251,,,
          Edifícios exclusivamente residenciais (100%),1271540,1101820,786591,315229,169720,31260,16224,9542,112694,793959,2019354,,,
            1 alojamento,981657,847763,594901,252862,133894,20071,6597,9207,98019,600406,1548813,,,
            2 alojamentos,62105,55641,46372,9269,6464,747,2191,161,3365,46802,114559,,,
            3 alojamentos,19090,15832,12031,3801,3258,563,1248,57,1390,12176,28091,,,
            4 alojamentos,20739,17446,13683,3763,3293,651,1231,27,1384,13815,33231,,,
            5 - 9 alojamentos,101424,89428,67548,21880,11996,4461,2905,30,4600,68157,169448,,,
            10 - 15 alojamentos,50538,44453,31569,12884,6085,2704,1144,9,2228,31935,76883,,,
            16 ou mais alojamentos,35987,31257,20487,10770,4730,2063,908,51,1708,20668,48329,,,
          Edifícios principalmente residenciais (de 50% a 99%),163917,139004,102723,36281,24913,6760,5591,429,12133,104021,254432,,,
            1 alojamento,39348,32748,25138,7610,6600,884,625,377,4714,25525,65449,,,
            2 alojamentos,7929,6440,5224,1216,1489,222,580,13,674,5300,12655,,,
            3 alojamentos,4558,3604,2741,863,954,138,358,14,444,2809,6508,,,
            4 alojamentos,8981,7465,5677,1788,1516,406,518,8,584,5710,14232,,,
            5 - 9 alojamentos,44222,38117,28433,9684,6105,1849,1720,11,2525,28711,70986,,,
            10 - 15 alojamentos,30234,26112,19125,6987,4122,1743,838,4,1537,19330,46680,,,
            16 ou mais alojamentos,28645,24518,16385,8133,4127,1518,952,2,1655,16636,37922,,,
          Edifícios principalmente não residenciais (até 49%),8429,6088,4543,1545,2341,224,430,69,1618,4663,11470,,,
            1 alojamento,5380,3714,2782,932,1666,103,183,66,1314,2850,7177,,,
            2 alojamentos,1087,860,703,157,227,28,77,1,121,726,1757,,,
            3 alojamentos,348,244,203,41,104,16,36,0,52,206,473,,,
            4 alojamentos,389,302,220,82,87,11,43,0,33,222,540,,,
            5 - 9 alojamentos,680,521,368,153,159,39,64,1,55,378,887,,,
            10 - 15 alojamentos,309,270,150,120,39,7,18,0,14,155,359,,,
            16 ou mais alojamentos,236,177,117,60,59,20,9,1,29,126,277,,,
        Lisboa,1483717,1298808,1127711,171097,184909,43499,32114,3893,105403,1144466,2785824,,,
          Total de edifícios principalmente residenciais,1477552,1294343,1124081,170262,183209,43355,31768,3844,104242,1140711,2777438,,,
            1 alojamento,296724,258478,210783,47695,38246,8118,4347,2610,23171,213615,565603,,,
            2 alojamentos,60972,53329,47981,5348,7643,905,1851,229,4658,48700,116510,,,
            3 alojamentos,35474,29554,25975,3579,5920,552,1617,164,3587,26547,60594,,,
            4 alojamentos,46783,38705,33997,4708,8078,1153,2080,163,4682,34757,79019,,,
            5 - 9 alojamentos,373877,326878,289501,37377,46999,10775,9367,485,26372,294710,696792,,,
            10 - 15 alojamentos,302945,268323,237809,30514,34622,9442,6085,119,18976,241277,580886,,,
            16 ou mais alojamentos,360777,319076,278035,41041,41701,12410,6421,74,22796,281105,678034,,,
          Edifícios exclusivamente residenciais (100%),1154636,1011586,877160,134426,143050,33521,24377,3567,81585,889302,2181797,,,
            1 alojamento,289247,252176,205414,46762,37071,7951,4180,2539,22401,208102,551558,,,
            2 alojamentos,55929,49162,44330,4832,6767,776,1614,214,4163,44936,107888,,,
            3 alojamentos,29841,24992,21996,2996,4849,458,1342,129,2920,22411,51531,,,
            4 alojamentos,37881,31363,27612,3751,6518,936,1669,143,3770,28120,63859,,,
            5 - 9 alojamentos,290740,254469,225667,28802,36271,8665,7132,385,20089,229289,542840,,,
            10 - 15 alojamentos,225936,200410,177901,22509,25526,7139,4348,99,13940,180348,436050,,,
            16 ou mais alojamentos,225062,199014,174240,24774,26048,7596,4092,58,14302,176096,428071,,,
          Edifícios principalmente residenciais (de 50% a 99%),322916,282757,246921,35836,40159,9834,7391,277,22657,251409,595641,,,
            1 alojamento,7477,6302,5369,933,1175,167,167,71,770,5513,14045,,,
            2 alojamentos,5043,4167,3651,516,876,129,237,15,495,3764,8622,,,
            3 alojamentos,5633,4562,3979,583,1071,94,275,35,667,4136,9063,,,
            4 alojamentos,8902,7342,6385,957,1560,217,411,20,912,6637,15160,,,
            5 - 9 alojamentos,83137,72409,63834,8575,10728,2110,2235,100,6283,65421,153952,,,
            10 - 15 alojamentos,77009,67913,59908,8005,9096,2303,1737,20,5036,60929,144836,,,
            16 ou mais alojamentos,135715,120062,103795,16267,15653,4814,2329,16,8494,105009,249963,,,
          Edifícios principalmente não residenciais (até 49%),6165,4465,3630,835,1700,144,346,49,1161,3755,8386,,,
            1 alojamento,2369,1641,1302,339,728,48,85,27,568,1374,3184,,,
            2 alojamentos,1047,850,727,123,197,25,45,5,122,740,1647,,,
            3 alojamentos,376,286,243,43,90,8,23,2,57,248,552,,,
            4 alojamentos,428,294,244,50,134,14,44,7,69,251,523,,,
            5 - 9 alojamentos,1048,757,595,162,291,34,91,7,159,617,1373,,,
            10 - 15 alojamentos,403,288,234,54,115,3,32,1,79,237,527,,,
            16 ou mais alojamentos,494,349,285,64,145,12,26,0,107,288,580,,,
        Alentejo,469287,399451,298767,100684,69836,12674,7556,4355,45251,301790,738193,,,
          Total de edifícios principalmente residenciais,465183,396898,297007,99891,68285,12560,7396,4294,44035,299992,733967,,,
            1 alojamento,348581,295951,212787,83164,52630,8256,3748,3964,36662,214632,527821,,,
            2 alojamentos,34419,29639,24748,4891,4780,668,1194,152,2766,25065,59673,,,
            3 alojamentos,8930,7203,5814,1389,1727,201,511,65,950,5928,13370,,,
            4 alojamentos,10412,8681,7175,1506,1731,356,523,56,796,7245,17250,,,
            5 - 9 alojamentos,39742,35090,29989,5101,4652,1850,973,56,1773,30236,74901,,,
            10 - 15 alojamentos,14828,13092,10843,2249,1736,763,294,0,679,10955,26778,,,
            16 ou mais alojamentos,8271,7242,5651,1591,1029,466,153,1,409,5931,14174,,,
          Edifícios exclusivamente residenciais (100%),432746,369550,275278,94272,63196,11114,6478,4120,41484,277721,679728,,,
            1 alojamento,337579,286954,206144,80810,50625,7967,3523,3831,35304,207889,510988,,,
            2 alojamentos,31614,27372,22895,4477,4242,600,1037,131,2474,23178,55219,,,
            3 alojamentos,7674,6200,4969,1231,1474,168,420,54,832,5057,11409,,,
            4 alojamentos,8171,6744,5511,1233,1427,241,448,56,682,5569,13026,,,
            5 - 9 alojamentos,32352,28669,24590,4079,3683,1423,776,47,1437,24760,61452,,,
            10 - 15 alojamentos,10059,8907,7401,1506,1152,472,184,0,496,7475,18233,,,
            16 ou mais alojamentos,5297,4704,3768,936,593,243,90,1,259,3793,9401,,,
          Edifícios principalmente residenciais (de 50% a 99%),32437,27348,21729,5619,5089,1446,918,174,2551,22271,54239,,,
            1 alojamento,11002,8997,6643,2354,2005,289,225,133,1358,6743,16833,,,
            2 alojamentos,2805,2267,1853,414,538,68,157,21,292,1887,4454,,,
            3 alojamentos,1256,1003,845,158,253,33,91,11,118,871,1961,,,
            4 alojamentos,2241,1937,1664,273,304,115,75,0,114,1676,4224,,,
            5 - 9 alojamentos,7390,6421,5399,1022,969,427,197,9,336,5476,13449,,,
            10 - 15 alojamentos,4769,4185,3442,743,584,291,110,0,183,3480,8545,,,
            16 ou mais alojamentos,2974,2538,1883,655,436,223,63,0,150,2138,4773,,,
          Edifícios principalmente não residenciais (até 49%),4104,2553,1760,793,1551,114,160,61,1216,1798,4226,,,
            1 alojamento,3060,1758,1123,635,1302,61,83,54,1104,1154,2755,,,
            2 alojamentos,477,375,300,75,102,10,25,0,67,305,681,,,
            3 alojamentos,137,107,83,24,30,3,4,3,20,84,201,,,
            4 alojamentos,110,89,70,19,21,5,8,0,8,70,173,,,
            5 - 9 alojamentos,215,160,125,35,55,4,32,4,15,125,277,,,
            10 - 15 alojamentos,70,59,54,5,11,1,8,0,2,55,128,,,
            16 ou mais alojamentos,35,5,5,0,30,30,0,0,0,5,11,,,
        Algarve,377619,327715,178574,149141,49904,13939,12109,1719,22137,181837,444338,,,
          Total de edifícios principalmente residenciais,375461,326016,177456,148560,49445,13903,12008,1706,21828,180684,441640,,,
            1 alojamento,165582,141931,83506,58425,23651,5313,3477,1640,13221,84727,208837,,,
            2 alojamentos,22413,19556,13451,6105,2857,483,1246,29,1099,13685,32804,,,
            3 alojamentos,9063,7684,4931,2753,1379,177,619,16,567,5078,11599,,,
            4 alojamentos,10156,8600,5178,3422,1556,354,722,0,480,5313,12933,,,
            5 - 9 alojamentos,53684,47312,28899,18413,6372,2416,1879,8,2069,29457,74749,,,
            10 - 15 alojamentos,37974,32765,17901,14864,5209,2364,1271,5,1569,18245,44741,,,
            16 ou mais alojamentos,76589,68168,23590,44578,8421,2796,2794,8,2823,24179,55977,,,
          Edifícios exclusivamente residenciais (100%),309405,268182,147243,120939,41223,11879,9255,1653,18436,149672,367473,,,
            1 alojamento,160192,137401,80014,57387,22791,5172,3353,1596,12670,81170,199882,,,
            2 alojamentos,20290,17794,12069,5725,2496,457,1067,28,944,12265,29429,,,
            3 alojamentos,7603,6482,4012,2470,1121,132,517,15,457,4130,9409,,,
            4 alojamentos,8016,6863,3959,2904,1153,273,540,0,340,4051,9914,,,
            5 - 9 alojamentos,42480,37372,22150,15222,5108,2048,1453,7,1600,22568,57728,,,
            10 - 15 alojamentos,27084,23391,12310,11081,3693,1832,813,2,1046,12507,30856,,,
            16 ou mais alojamentos,43740,38879,12729,26150,4861,1965,1512,5,1379,12981,30255,,,
          Edifícios principalmente residenciais (de 50% a 99%),66056,57834,30213,27621,8222,2024,2753,53,3392,31012,74167,,,
            1 alojamento,5390,4530,3492,1038,860,141,124,44,551,3557,8955,,,
            2 alojamentos,2123,1762,1382,380,361,26,179,1,155,1420,3375,,,
            3 alojamentos,1460,1202,919,283,258,45,102,1,110,948,2190,,,
            4 alojamentos,2140,1737,1219,518,403,81,182,0,140,1262,3019,,,
            5 - 9 alojamentos,11204,9940,6749,3191,1264,368,426,1,469,6889,17021,,,
            10 - 15 alojamentos,10890,9374,5591,3783,1516,532,458,3,523,5738,13885,,,
            16 ou mais alojamentos,32849,29289,10861,18428,3560,831,1282,3,1444,11198,25722,,,
          Edifícios principalmente não residenciais (até 49%),2158,1699,1118,581,459,36,101,13,309,1153,2698,,,
            1 alojamento,1101,829,640,189,272,26,29,13,204,664,1600,,,
            2 alojamentos,320,278,213,65,42,3,25,0,14,220,512,,,
            3 alojamentos,127,110,76,34,17,0,6,0,11,78,181,,,
            4 alojamentos,76,70,45,25,6,2,1,0,3,46,95,,,
            5 - 9 alojamentos,220,190,68,122,30,5,13,0,12,69,138,,,
            10 - 15 alojamentos,162,133,48,85,29,0,25,0,4,48,108,,,
            16 ou mais alojamentos,152,89,28,61,63,0,2,0,61,28,64,,,
      Região Autónoma dos Açores,109337,95835,80425,15410,13502,2368,2050,448,8636,81453,243270,,,
        Total de edifícios principalmente residenciais,108570,95295,80068,15227,13275,2357,2005,441,8472,81081,242332,,,
          1 alojamento,93917,83135,69223,13912,10782,1759,1177,426,7420,69991,216210,,,
          2 alojamentos,4257,3666,3337,329,591,46,249,4,292,3439,8567,,,
          3 alojamentos,1178,982,887,95,196,18,108,1,69,918,2033,,,
          4 alojamentos,1292,1052,928,124,240,48,105,0,87,933,2235,,,
          5 - 9 alojamentos,5003,4057,3606,451,946,359,259,10,318,3672,8710,,,
          10 - 15 alojamentos,1393,1163,1000,163,230,67,41,0,122,1015,2151,,,
          16 ou mais alojamentos,1530,1240,1087,153,290,60,66,0,164,1113,2426,,,
        Edifícios exclusivamente residenciais (100%),103267,90897,76464,14433,12370,2151,1782,435,8002,77393,233498,,,
          1 alojamento,91603,81175,67704,13471,10428,1728,1115,423,7162,68437,211838,,,
          2 alojamentos,3830,3346,3060,286,484,36,208,3,237,3154,7950,,,
          3 alojamentos,960,801,725,76,159,13,89,1,56,747,1674,,,
          4 alojamentos,1057,879,796,83,178,24,78,0,76,801,1955,,,
          5 - 9 alojamentos,4149,3383,3045,338,766,287,208,8,263,3093,7513,,,
          10 - 15 alojamentos,895,736,629,107,159,36,31,0,92,640,1381,,,
          16 ou mais alojamentos,773,577,505,72,196,27,53,0,116,521,1187,,,
        Edifícios principalmente residenciais (de 50% a 99%),5303,4398,3604,794,905,206,223,6,470,3688,8834,,,
          1 alojamento,2314,1960,1519,441,354,31,62,3,258,1554,4372,,,
          2 alojamentos,427,320,277,43,107,10,41,1,55,285,617,,,
          3 alojamentos,218,181,162,19,37,5,19,0,13,171,359,,,
          4 alojamentos,235,173,132,41,62,24,27,0,11,132,280,,,
          5 - 9 alojamentos,854,674,561,113,180,72,51,2,55,579,1197,,,
          10 - 15 alojamentos,498,427,371,56,71,31,10,0,30,375,770,,,
          16 ou mais alojamentos,757,663,582,81,94,33,13,0,48,592,1239,,,
        Edifícios principalmente não residenciais (até 49%),767,540,357,183,227,11,45,7,164,372,938,,,
          1 alojamento,592,419,252,167,173,7,26,2,138,266,711,,,
          2 alojamentos,111,74,64,10,37,2,9,4,22,65,152,,,
          3 alojamentos,27,15,14,1,12,0,9,0,3,14,27,,,
          4 alojamentos,12,11,8,3,1,0,0,0,1,8,15,,,
          5 - 9 alojamentos,25,21,19,2,4,2,1,1,0,19,33,,,
          10 - 15 alojamentos,0,0,0,0,0,0,0,0,0,0,0,,,
          16 ou mais alojamentos,0,0,0,0,0,0,0,0,0,0,0,,,
        Região Autónoma dos Açores,109337,95835,80425,15410,13502,2368,2050,448,8636,81453,243270,,,
          Total de edifícios principalmente residenciais,108570,95295,80068,15227,13275,2357,2005,441,8472,81081,242332,,,
            1 alojamento,93917,83135,69223,13912,10782,1759,1177,426,7420,69991,216210,,,
            2 alojamentos,4257,3666,3337,329,591,46,249,4,292,3439,8567,,,
            3 alojamentos,1178,982,887,95,196,18,108,1,69,918,2033,,,
            4 alojamentos,1292,1052,928,124,240,48,105,0,87,933,2235,,,
            5 - 9 alojamentos,5003,4057,3606,451,946,359,259,10,318,3672,8710,,,
            10 - 15 alojamentos,1393,1163,1000,163,230,67,41,0,122,1015,2151,,,
            16 ou mais alojamentos,1530,1240,1087,153,290,60,66,0,164,1113,2426,,,
          Edifícios exclusivamente residenciais (100%),103267,90897,76464,14433,12370,2151,1782,435,8002,77393,233498,,,
            1 alojamento,91603,81175,67704,13471,10428,1728,1115,423,7162,68437,211838,,,
            2 alojamentos,3830,3346,3060,286,484,36,208,3,237,3154,7950,,,
            3 alojamentos,960,801,725,76,159,13,89,1,56,747,1674,,,
            4 alojamentos,1057,879,796,83,178,24,78,0,76,801,1955,,,
            5 - 9 alojamentos,4149,3383,3045,338,766,287,208,8,263,3093,7513,,,
            10 - 15 alojamentos,895,736,629,107,159,36,31,0,92,640,1381,,,
            16 ou mais alojamentos,773,577,505,72,196,27,53,0,116,521,1187,,,
          Edifícios principalmente residenciais (de 50% a 99%),5303,4398,3604,794,905,206,223,6,470,3688,8834,,,
            1 alojamento,2314,1960,1519,441,354,31,62,3,258,1554,4372,,,
            2 alojamentos,427,320,277,43,107,10,41,1,55,285,617,,,
            3 alojamentos,218,181,162,19,37,5,19,0,13,171,359,,,
            4 alojamentos,235,173,132,41,62,24,27,0,11,132,280,,,
            5 - 9 alojamentos,854,674,561,113,180,72,51,2,55,579,1197,,,
            10 - 15 alojamentos,498,427,371,56,71,31,10,0,30,375,770,,,
            16 ou mais alojamentos,757,663,582,81,94,33,13,0,48,592,1239,,,
          Edifícios principalmente não residenciais (até 49%),767,540,357,183,227,11,45,7,164,372,938,,,
