"6.35 - POPULAÇÃO RESIDENTE EMPREGADA, SEGUNDO A SITUAÇÃO NA PROFISSÃO E SEXO, POR RAMOS DE ACTIVIDADE ECONÓMICA E HORAS DE TRABALHO NA SEMANA DE REFERÊNCIA",,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
Zona Geográfica   ,Total,,Patrão/Empregador,,Trabalhador por conta própria ou isolado,,Trabalhador familiar não remunerado,,Trabalhador por conta de outrém,,Membro activo de cooperativa de produção,,Outra situação,
 Ramos de actividade económica Horas de trabalho na semana de referência,HM,H,HM,H,HM,H,HM,H,HM,H,HM,H,HM,H
          15 - 29 horas,349,122,51,32,28,18,15,8,250,62,0,0,5,2
          30 - 34 horas,253,113,32,22,15,8,2,1,197,81,1,0,6,1
          35 - 39 horas,1647,639,115,77,54,24,4,2,1457,529,2,1,15,6
          40 - 44 horas,32780,13188,1423,789,313,170,38,13,30921,12183,30,14,55,19
          45 ou mais horas,6095,3367,1207,881,330,187,39,19,4487,2258,2,1,30,21
"        Indústrias da madeira e da cortiça e suas  obras, excepto mobiliário; Fabricação de obras de cestaria e de espartaria",43456,35168,5916,5232,3935,3816,129,102,33206,25781,37,31,233,206
          1 - 4 horas,308,272,51,43,101,98,0,0,145,120,0,0,11,11
          5 - 14 horas,1559,1277,259,225,194,181,0,0,1072,841,5,5,29,25
          15 - 29 horas,528,409,82,65,168,158,32,27,235,149,0,0,11,10
          30 - 34 horas,591,482,105,83,179,172,5,4,289,211,1,0,12,12
          35 - 39 horas,3235,2458,416,341,398,383,14,12,2378,1699,2,2,27,21
          40 - 44 horas,28782,22657,2719,2370,1678,1637,46,38,24226,18516,23,18,90,78
          45 ou mais horas,8453,7613,2284,2105,1217,1187,32,21,4861,4245,6,6,53,49
"        Fabricação de pasta, de papel, de cartão e seus artigos",13121,9610,625,454,67,48,6,4,12366,9062,5,4,52,38
          1 - 4 horas,39,28,2,1,1,0,0,0,35,26,0,0,1,1
          5 - 14 horas,361,223,35,24,6,5,0,0,316,192,0,0,4,2
          15 - 29 horas,97,46,11,6,0,0,3,1,82,38,0,0,1,1
          30 - 34 horas,110,74,8,7,4,3,0,0,92,63,1,0,5,1
          35 - 39 horas,2001,1533,55,34,8,5,0,0,1934,1492,1,1,3,1
          40 - 44 horas,8371,5967,264,178,25,18,3,3,8048,5743,2,2,29,23
          45 ou mais horas,2142,1739,250,204,23,17,0,0,1859,1508,1,1,9,9
        Impressão e reprodução de suportes gravados,22824,14823,2939,2091,940,688,42,25,18645,11875,26,19,232,125
          1 - 4 horas,127,74,24,14,16,10,0,0,80,44,0,0,7,6
          5 - 14 horas,882,550,166,112,61,48,0,0,635,377,2,2,18,11
          15 - 29 horas,430,228,82,42,75,47,12,7,230,119,1,1,30,12
          30 - 34 horas,422,253,106,58,71,52,1,1,222,130,1,1,21,11
          35 - 39 horas,2722,1589,263,152,105,81,4,2,2323,1336,1,1,26,17
          40 - 44 horas,14030,9061,1131,787,269,195,17,11,12519,8021,17,12,77,35
          45 ou mais horas,4211,3068,1167,926,343,255,8,4,2636,1848,4,2,53,33
"        Fabricação de coque, produtos petrolíferos refinados e de aglomerados de combustíveis",4358,3430,106,88,12,11,2,2,4206,3305,1,1,31,23
          1 - 4 horas,13,9,2,2,1,1,0,0,9,6,0,0,1,0
          5 - 14 horas,114,95,2,2,0,0,0,0,110,92,0,0,2,1
          15 - 29 horas,28,16,2,1,0,0,0,0,24,14,0,0,2,1
          30 - 34 horas,45,31,2,2,0,0,0,0,43,29,0,0,0,0
          35 - 39 horas,1494,1135,25,18,2,1,1,1,1463,1112,0,0,3,3
          40 - 44 horas,1643,1264,38,32,4,4,0,0,1588,1219,1,1,12,8
          45 ou mais horas,1021,880,35,31,5,5,1,1,969,833,0,0,11,10
"        Fabricação de produtos químicos e de fibras sintéticas ou artificiais, excepto produtos farmacêuticos",15132,10369,1069,814,176,123,13,8,13777,9366,6,1,91,57
          1 - 4 horas,74,43,11,8,8,3,0,0,52,30,0,0,3,2
          5 - 14 horas,407,253,52,36,8,5,0,0,342,210,1,0,4,2
          15 - 29 horas,173,77,29,19,5,2,9,6,125,48,0,0,5,2
          30 - 34 horas,158,92,27,21,6,2,0,0,121,69,1,0,3,0
          35 - 39 horas,1621,929,103,75,27,22,0,0,1479,822,0,0,12,10
          40 - 44 horas,9799,6699,435,316,63,47,3,2,9253,6306,3,0,42,28
          45 ou mais horas,2900,2276,412,339,59,42,1,0,2405,1881,1,1,22,13
        Fabricação de produtos farmacêuticos de base e de  preparações farmacêuticas,11330,5138,453,219,24,15,2,1,10795,4882,1,1,55,20
          1 - 4 horas,22,13,0,0,1,1,0,0,19,11,0,0,2,1
          5 - 14 horas,255,102,29,16,2,1,0,0,221,83,0,0,3,2
          15 - 29 horas,85,28,12,3,0,0,1,1,69,24,0,0,3,0
          30 - 34 horas,136,61,16,8,0,0,0,0,118,53,0,0,2,0
          35 - 39 horas,1519,622,62,26,3,2,1,0,1439,590,0,0,14,4
          40 - 44 horas,6314,2645,176,71,6,4,0,0,6110,2561,1,1,21,8
          45 ou mais horas,2999,1667,158,95,12,7,0,0,2819,1560,0,0,10,5
        Fabricação de artigos de borracha e de matérias plásticas,20143,13880,1151,880,203,153,13,6,18682,12786,16,13,78,42
          1 - 4 horas,60,31,4,3,8,4,0,0,45,23,0,0,3,1
          5 - 14 horas,573,367,53,38,22,15,0,0,491,310,1,1,6,3
          15 - 29 horas,173,81,18,10,8,2,0,0,141,68,0,0,6,1
          30 - 34 horas,145,83,21,13,10,6,0,0,107,62,0,0,7,2
          35 - 39 horas,1420,857,81,45,15,12,1,0,1310,792,2,2,11,6
          40 - 44 horas,14426,9800,435,311,73,58,4,2,13868,9399,10,7,36,23
          45 ou mais horas,3346,2661,539,460,67,56,8,4,2720,2132,3,3,9,6
        Fabrico de outros produtos minerais não metálicos,45847,32763,3653,2971,1088,824,76,49,40812,28774,59,29,159,116
          1 - 4 horas,160,115,25,18,23,17,0,0,105,76,0,0,7,4
          5 - 14 horas,1393,964,172,137,61,36,0,0,1147,783,2,1,11,7
          15 - 29 horas,412,214,56,37,54,27,12,8,281,135,2,2,7,5
          30 - 34 horas,445,276,55,35,69,40,5,3,312,195,0,0,4,3
          35 - 39 horas,3946,2842,211,158,136,96,6,3,3566,2569,6,4,21,12
          40 - 44 horas,30852,21160,1614,1273,422,345,30,21,28677,19454,36,14,73,53
          45 ou mais horas,8639,7192,1520,1313,323,263,23,14,6724,5562,13,8,36,32
        Indústrias metalúrgicas de base,11555,9578,649,564,143,133,7,7,10719,8841,7,6,30,27
          1 - 4 horas,26,17,1,1,1,0,0,0,23,15,0,0,1,1
          5 - 14 horas,376,276,32,25,11,10,0,0,329,238,0,0,4,3
          15 - 29 horas,89,45,11,8,7,7,3,3,68,27,0,0,0,0
          30 - 34 horas,67,55,6,5,6,6,0,0,54,43,0,0,1,1
          35 - 39 horas,617,481,44,32,15,13,1,1,554,432,0,0,3,3
          40 - 44 horas,8404,6936,311,273,52,47,1,1,8020,6597,5,4,15,14
          45 ou mais horas,1976,1768,244,220,51,50,2,2,1671,1489,2,2,6,5
"        Fabricação de produtos metálicos, excepto máquinas e equipamentos",98760,83520,11742,10149,4257,4117,143,128,82111,68690,84,76,423,360
          1 - 4 horas,389,331,83,72,77,72,0,0,216,175,0,0,13,12
          5 - 14 horas,3383,2770,537,436,188,179,0,0,2625,2123,5,5,28,27
          15 - 29 horas,919,618,126,94,174,161,38,35,563,314,1,1,17,13
          30 - 34 horas,875,662,146,103,161,156,7,6,544,385,0,0,17,12
          35 - 39 horas,6150,4649,741,537,433,412,14,10,4915,3654,4,2,43,34
          40 - 44 horas,65896,55158,5237,4407,1746,1687,48,45,58595,48791,53,48,217,180
          45 ou mais horas,21148,19332,4872,4500,1478,1450,36,32,14653,13248,21,20,88,82
"        Fabricação de equipamentos informáticos, equipamento para comunicações e produtos electrónicos e ópticos",12299,6969,584,486,221,204,2,1,11405,6226,6,3,81,49
          1 - 4 horas,36,19,2,1,5,5,0,0,27,11,0,0,2,2
          5 - 14 horas,365,198,32,25,14,13,0,0,313,155,1,1,5,4
          15 - 29 horas,102,57,16,13,12,10,0,0,70,30,0,0,4,4
          30 - 34 horas,130,77,15,12,16,14,0,0,95,47,1,1,3,3
          35 - 39 horas,924,492,47,36,16,15,0,0,847,433,1,0,13,8
          40 - 44 horas,8616,4521,206,160,75,69,1,0,8294,4272,1,0,39,20
          45 ou mais horas,2126,1605,266,239,83,78,1,1,1759,1278,2,1,15,8
