"6.35 - POPULAÇÃO RESIDENTE EMPREGADA, SEGUNDO A SITUAÇÃO NA PROFISSÃO E SEXO, POR RAMOS DE ACTIVIDADE ECONÓMICA E HORAS DE TRABALHO NA SEMANA DE REFERÊNCIA",,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
Zona Geográfica   ,Total,,Patrão/Empregador,,Trabalhador por conta própria ou isolado,,Trabalhador familiar não remunerado,,Trabalhador por conta de outrém,,Membro activo de cooperativa de produção,,Outra situação,
 Ramos de actividade económica Horas de trabalho na semana de referência,HM,H,HM,H,HM,H,HM,H,HM,H,HM,H,HM,H
          5 - 14 horas,6652,1629,1226,461,662,283,0,0,4519,815,1,0,244,70
          15 - 29 horas,6773,1773,1771,683,775,373,2,0,3890,631,0,0,335,86
          30 - 34 horas,6435,1620,1357,514,458,218,0,0,4374,832,4,0,242,56
          35 - 39 horas,78721,15726,3158,965,524,230,1,0,74065,14310,8,0,965,221
          40 - 44 horas,83746,17801,4764,1751,799,347,13,1,77330,15452,16,6,824,244
          45 ou mais horas,38370,15645,5335,2842,788,436,8,0,31343,11905,3,1,893,461
        Actividades de apoio social com alojamento,76588,7833,2998,503,541,38,125,10,71711,7074,22,3,1191,205
          1 - 4 horas,408,58,49,14,23,4,0,0,312,33,0,0,24,7
          5 - 14 horas,2646,303,239,47,52,3,0,0,2249,232,3,0,103,21
          15 - 29 horas,1680,263,179,50,44,4,32,1,1326,186,0,0,99,22
          30 - 34 horas,1968,238,136,27,14,1,7,1,1721,188,1,1,89,20
          35 - 39 horas,29704,3029,768,82,54,4,8,1,28527,2896,1,0,346,46
          40 - 44 horas,33160,2966,1021,127,109,10,34,4,31628,2763,14,1,354,61
          45 ou mais horas,7022,976,606,156,245,12,44,3,5948,776,3,1,176,28
        Actividades de apoio social sem alojamento,57734,4770,2852,354,1867,66,156,12,51669,4130,21,7,1169,201
          1 - 4 horas,454,43,60,11,66,3,0,0,301,26,0,0,27,3
          5 - 14 horas,2389,224,236,36,151,3,0,0,1871,157,3,0,128,28
          15 - 29 horas,1797,210,180,35,117,7,39,2,1361,146,2,1,98,19
          30 - 34 horas,1677,173,119,16,73,5,13,0,1389,129,1,1,82,22
          35 - 39 horas,21981,1772,678,70,131,2,15,2,20839,1650,4,2,314,46
          40 - 44 horas,23731,1710,886,82,419,17,36,3,22051,1558,9,3,330,47
          45 ou mais horas,5705,638,693,104,910,29,53,5,3857,464,2,0,190,36
"        Actividades de teatro, de música, de dança e outras actividades artísticas e literárias",10480,7158,2279,1668,3005,2188,5,3,4586,2940,3,1,602,358
          1 - 4 horas,372,252,75,52,177,132,0,0,86,49,0,0,34,19
          5 - 14 horas,924,612,249,168,314,225,0,0,283,174,0,0,78,45
          15 - 29 horas,1173,775,286,205,423,286,1,0,367,226,1,1,95,57
          30 - 34 horas,934,595,230,165,331,210,0,0,312,186,0,0,61,34
          35 - 39 horas,1552,932,281,200,355,238,0,0,848,457,0,0,68,37
          40 - 44 horas,3126,2207,527,396,629,493,0,0,1860,1255,0,0,110,63
          45 ou mais horas,2399,1785,631,482,776,604,4,3,830,593,2,0,156,103
"        Actividades das bibliotecas, arquivos, museus e outras actividades culturais",6658,2314,375,153,142,73,7,3,5840,1977,1,1,293,107
          1 - 4 horas,50,17,3,0,4,2,0,0,31,9,0,0,12,6
          5 - 14 horas,260,94,27,12,10,6,0,0,203,70,0,0,20,6
          15 - 29 horas,220,66,24,4,7,4,1,1,157,46,0,0,31,11
          30 - 34 horas,393,109,24,8,10,3,1,0,333,93,0,0,25,5
          35 - 39 horas,3138,898,94,27,26,14,2,0,2927,830,0,0,89,27
          40 - 44 horas,2037,854,122,57,53,26,2,1,1770,728,1,1,89,41
          45 ou mais horas,560,276,81,45,32,18,1,1,419,201,0,0,27,11
        Lotarias e outros jogos de aposta,3844,2416,210,144,172,128,5,3,3438,2134,0,0,19,7
          1 - 4 horas,28,13,6,5,5,3,0,0,17,5,0,0,0,0
          5 - 14 horas,158,92,15,9,8,7,0,0,135,76,0,0,0,0
          15 - 29 horas,105,47,10,6,6,5,1,0,84,35,0,0,4,1
          30 - 34 horas,256,187,11,6,12,8,2,2,229,171,0,0,2,0
          35 - 39 horas,1177,689,23,10,15,11,0,0,1138,667,0,0,1,1
          40 - 44 horas,1523,978,62,43,51,36,1,0,1403,897,0,0,6,2
          45 ou mais horas,597,410,83,65,75,58,1,1,432,283,0,0,6,3
"        Actividades desportivas, de diversão e recreativas",22744,13583,3729,2397,939,686,25,13,17072,9850,3,1,976,636
          1 - 4 horas,465,284,104,65,53,34,0,0,243,141,0,0,65,44
          5 - 14 horas,1984,1266,484,292,116,67,0,0,1206,779,0,0,178,128
          15 - 29 horas,2763,1911,644,395,152,98,8,5,1720,1249,0,0,239,164
          30 - 34 horas,1541,975,321,175,89,69,1,1,1024,656,0,0,106,74
          35 - 39 horas,4563,2364,416,261,102,73,2,0,3912,1958,1,1,130,71
          40 - 44 horas,7725,4204,748,486,198,164,7,4,6637,3474,0,0,135,76
          45 ou mais horas,3703,2579,1012,723,229,181,7,3,2330,1593,2,0,123,79
        Actividades das organizações associativas,18668,7961,607,284,195,102,4,1,17118,7290,8,1,736,283
          1 - 4 horas,247,107,24,10,10,6,0,0,191,85,0,0,22,6
          5 - 14 horas,903,387,60,26,22,13,0,0,736,315,2,0,83,33
          15 - 29 horas,999,432,87,46,25,11,2,1,822,348,1,0,62,26
          30 - 34 horas,813,345,57,22,16,9,1,0,690,294,0,0,49,20
          35 - 39 horas,5922,1807,130,57,26,11,0,0,5660,1698,1,0,105,41
          40 - 44 horas,5893,2223,144,53,37,15,0,0,5570,2108,2,0,140,47
          45 ou mais horas,3891,2660,105,70,59,37,1,0,3449,2442,2,1,275,110
        Reparação de computadores e de bens de uso pessoal e doméstico,9570,7463,1345,1085,3291,2675,70,32,4755,3592,5,4,104,75
          1 - 4 horas,152,106,10,6,95,72,0,0,40,22,0,0,7,6
          5 - 14 horas,498,359,60,48,238,173,0,0,192,136,0,0,8,2
          15 - 29 horas,338,222,18,15,197,153,22,6,93,43,0,0,8,5
          30 - 34 horas,288,207,26,19,182,145,7,3,63,34,0,0,10,6
          35 - 39 horas,816,634,91,74,325,261,6,5,383,285,0,0,11,9
          40 - 44 horas,4985,3851,578,459,1133,939,25,12,3201,2404,5,4,43,33
          45 ou mais horas,2493,2084,562,464,1121,932,10,6,783,668,0,0,17,14
        Outras actividades de serviços pessoais,61133,9537,14413,2652,16055,2372,249,40,29736,4342,23,7,657,124
          1 - 4 horas,1174,176,250,40,517,87,0,0,369,43,1,0,37,6
          5 - 14 horas,3979,547,871,122,1385,202,0,0,1625,208,1,0,97,15
          15 - 29 horas,2143,333,352,89,871,128,92,15,763,92,1,0,64,9
          30 - 34 horas,1693,270,355,72,781,114,11,1,513,76,1,1,32,6
          35 - 39 horas,5125,912,1034,212,1640,223,19,6,2365,461,1,0,66,10
          40 - 44 horas,30334,4118,5836,880,6248,861,67,11,17944,2307,9,2,230,57
          45 ou mais horas,16685,3181,5715,1237,4613,757,60,7,6157,1155,9,4,131,21
        Actividades das famílias empregadoras de pessoal doméstico,81582,1198,1351,46,15735,115,5208,34,57846,957,13,0,1429,46
          1 - 4 horas,3491,37,86,2,1194,14,0,0,2114,18,3,0,94,3
          5 - 14 horas,9478,86,222,3,2451,12,0,0,6575,65,1,0,229,6
          15 - 29 horas,18302,69,180,3,3480,8,1230,11,13114,44,1,0,297,3
          30 - 34 horas,6556,59,83,4,1515,11,372,2,4478,38,3,0,105,4
          35 - 39 horas,8266,168,138,4,1438,13,407,5,6167,144,1,0,115,2
          40 - 44 horas,23443,550,353,19,3115,30,836,5,18894,474,0,0,245,22
          45 ou mais horas,12046,229,289,11,2542,27,2363,11,6504,174,4,0,344,6
        Actividades de produção de bens e serviços pelas famílias para uso próprio,3,0,0,0,2,0,0,0,1,0,0,0,0,0
          1 - 4 horas,0,0,0,0,0,0,0,0,0,0,0,0,0,0
          5 - 14 horas,0,0,0,0,0,0,0,0,0,0,0,0,0,0
          15 - 29 horas,0,0,0,0,0,0,0,0,0,0,0,0,0,0
          30 - 34 horas,0,0,0,0,0,0,0,0,0,0,0,0,0,0
          35 - 39 horas,1,0,0,0,1,0,0,0,0,0,0,0,0,0
          40 - 44 horas,2,0,0,0,1,0,0,0,1,0,0,0,0,0
          45 ou mais horas,0,0,0,0,0,0,0,0,0,0,0,0,0,0
        Actividades dos organismos internacionais e outras instituições extra-territoriais,1189,628,47,22,5,3,1,1,1096,585,0,0,40,17
          1 - 4 horas,6,3,0,0,1,1,0,0,4,1,0,0,1,1
          5 - 14 horas,48,17,3,1,0,0,0,0,41,15,0,0,4,1
          15 - 29 horas,22,5,4,2,0,0,0,0,18,3,0,0,0,0
          30 - 34 horas,35,15,1,0,1,0,0,0,31,14,0,0,2,1
          35 - 39 horas,363,150,15,8,1,1,0,0,334,136,0,0,13,5
          40 - 44 horas,526,316,16,4,2,1,0,0,497,304,0,0,11,7
          45 ou mais horas,189,122,8,7,0,0,1,1,171,112,0,0,9,2
