"3.11- ALOJAMENTOS CLÁSSICOS OCUPADOS COMO RESIDÊNCIA HABITUAL, SEGUNDO O NÚMERO DE DIVISÕES, FAMÍLIAS CLÁSSICAS E PESSOAS RESIDENTES,  POR NÚMERO DE PESSOAS E FAMÍLIAS",,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
Zona Geográfica,"Alojamentos clássicos, segundo o número de divisões",,,,,,,,,,,Total de divisões,Famílias clássicas,Pessoas residentes
Número de pessoas e número de famílias nos alojamentos,Total,Com 1,Com 2,Com 3,Com 4,Com 5,Com 6,Com 7,Com 8,Com 9,Com 10 ou mais,,,
            Com 3 pessoas,207107,180,1212,7391,43125,76564,37980,19927,9863,5557,5308,1134723,208523,621321
            Com 4 pessoas,149329,96,562,2923,20918,54688,31524,18674,9466,5279,5199,867562,151022,597316
            Com 5 pessoas,37573,32,181,670,4364,12259,8049,5396,3008,1745,1869,227805,39398,187865
            Com 6 pessoas,10848,18,58,206,1042,3184,2302,1769,981,600,688,67877,12118,65088
            Com 7 pessoas,2838,10,18,44,268,787,601,414,288,182,226,18158,3444,19866
            Com 8 pessoas,848,3,5,16,78,210,169,130,110,64,63,5496,1111,6784
            Com 9 ou mais pessoas,499,4,5,10,47,123,91,73,50,48,48,3293,916,4942
          Alojamentos com 1 família,886471,2744,11112,51554,198652,307419,152394,80885,39284,21613,20814,4730199,886471,2252691
            Com 1 pessoa,187541,1826,5943,22996,56809,56521,23528,10520,4659,2501,2238,891913,187541,187541
            Com 2 pessoas,295957,581,3169,17468,72923,105035,49327,24755,11336,5944,5419,1549179,295957,591914
            Com 3 pessoas,205927,179,1199,7329,42822,76168,37768,19843,9821,5513,5285,1128476,205927,617781
            Com 4 pessoas,147920,95,551,2876,20686,54176,31257,18532,9375,5229,5143,859507,147920,591680
            Com 5 pessoas,35985,30,175,643,4158,11711,7742,5190,2865,1660,1811,218304,35985,179925
            Com 6 pessoas,9769,17,51,186,937,2896,2076,1569,875,527,635,61097,9769,58614
            Com 7 pessoas,2345,10,18,33,220,659,494,322,235,151,203,15052,2345,16415
            Com 8 pessoas,676,3,3,16,65,161,135,105,88,52,48,4372,676,5408
            Com 9 ou mais pessoas,351,3,3,7,32,92,67,49,30,36,32,2299,351,3413
          Alojamentos com 2 famílias,6479,22,57,274,1185,2060,1173,749,444,288,227,36940,12933,27759
            Com 1 pessoa,15,0,0,2,3,5,1,3,0,0,1,80,15,15
