"6.31 - POPULAÇÃO RESIDENTE, COM ACTIVIDADE ECONÓMICA, EMPREGADA SEGUNDO A SITUAÇÃO NA PROFISSÃO E DESEMPREGADA EM SENTIDO RESTRITO, POR GRUPO ETÁRIO E SEXO",,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
Zona Geográfica,Total ,"População empregada, segundo a situação na profissão",,,,,,,População desempregada,,,,,
Grupo etário e sexo,,Total,Patrão/Empregador,Trabalhador por conta própria ou isolado,Trabalhador Familiar não remunerado,Trabalhador por conta de outrém,Membro activo de cooperativa de produção,Outra situação,Total,Procura 1º emprego,Procura novo emprego,,,
          45 - 49 anos      HM,140602,127983,15340,10891,910,99782,57,1003,12619,782,11837,,,
                            H,72830,66839,10338,6639,265,49186,27,384,5991,211,5780,,,
          50 - 54 anos      HM,123486,111404,13990,10230,1034,85222,49,879,12082,677,11405,,,
                            H,66211,60236,9783,6401,275,43401,25,351,5975,211,5764,,,
          55 - 59 anos      HM,89417,79130,11733,9431,1150,56080,38,698,10287,551,9736,,,
                            H,50760,45023,8343,5904,359,30082,20,315,5737,223,5514,,,
          60 - 64 anos      HM,46006,40671,8046,7394,1133,23654,15,429,5335,307,5028,,,
                            H,26329,23172,5831,4462,387,12291,11,190,3157,134,3023,,,
          65 - 69 anos      HM,9910,9859,2956,2562,388,3779,2,172,51,7,44,,,
                            H,6397,6380,2288,1741,123,2144,1,83,17,4,13,,,
          70 - 74 anos      HM,3633,3633,1354,1155,168,857,1,98,0,0,0,,,
                            H,2599,2599,1080,791,76,593,0,59,0,0,0,,,
          75 ou mais anos      HM,2267,2267,783,900,135,393,1,55,0,0,0,,,
                               H,1639,1639,625,628,70,280,0,36,0,0,0,,,
      Lisboa      HM,1405058,1223276,128007,64916,3636,1009021,539,17157,181782,34777,147005,,,
                     H,698989,604856,77154,34335,1304,483858,393,7812,94133,17433,76700,,,
          15 - 19 anos      HM,18982,9000,561,157,80,7898,10,294,9982,8038,1944,,,
                            H,9622,4377,260,67,49,3838,6,157,5245,4195,1050,,,
