"3.20 - ALOJAMENTOS CLÁSSICOS PROPRIEDADE DOS OCUPANTES, OCUPADOS COMO RESIDÊNCIA HABITUAL, SEGUNDO A ÁREA ÚTIL DO ALOJAMENTO, POR GRUPO SÓCIO-ECONÓMICO DO TITULAR DO ALOJAMENTO, EXISTÊNCIA DE ENCARGOS POR COMPRA E RESPECTIVOS ESCALÕES",,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
Zona Geográfica,Total,"Alojamentos clássicos, segundo a área útil do alojamento",,,,,,,,,,Famílias clássicas,Pessoas residentes,
Grupo sócio-económico do titular do alojamento e escalão de encargos,,Menos de 30m2,De 30 a menos de 40m2,De 40 a menos de 50 m2,De 50 a menos de 60 m2,De 60 a menos de 80 m2,De 80 a menos de 100 m2,De 100 a menos de 120 m2,De 120 a menos de 150 m2,De 150 a menos de 200 m2,200 m2 ou mais,,,
        Menos de 75 euros,542,2,8,15,23,72,116,106,85,64,51,545,1600,
"        75  - 99,99 euros",475,4,5,5,12,57,97,107,89,51,48,478,1439,
"        100 - 149,99 euros",1029,8,13,25,40,92,201,207,217,133,93,1034,3236,
        150 - 199.99 euros,1323,4,14,29,54,150,268,249,244,175,136,1327,4074,
"        200 - 249,99 euros",1885,12,13,39,70,198,375,386,381,229,182,1892,5824,
"        250 - 299,99 euros",2637,7,18,45,75,305,571,539,487,345,245,2649,8211,
"        300 - 349,99 euros",2840,6,14,44,63,253,592,662,528,380,298,2853,8907,
"        350 - 399,99 euros",2991,9,17,44,58,241,546,640,596,470,370,2998,9602,
"        400 - 499,99 euros",5394,18,26,77,115,400,925,1051,1170,866,746,5430,17424,
"        500 - 649,99 euros",4372,5,8,29,69,219,520,779,1022,873,848,4416,14685,
"        650 - 799,99 euros",2601,7,8,29,33,129,251,379,541,603,621,2624,8752,
        800 euros ou mais,2678,3,4,16,22,74,170,291,493,596,1009,2698,9212,
      Pequenos patrões do sector primário,11301,54,108,239,390,895,1624,2120,2103,1779,1989,11390,38328,
        Sem encargos,8819,42,83,194,326,715,1310,1708,1658,1338,1445,8896,29338,
        Com encargos,2482,12,25,45,64,180,314,412,445,441,544,2494,8990,
        Menos de 75 euros,86,3,1,2,4,10,15,15,16,11,9,87,299,
"        75  - 99,99 euros",60,0,2,3,4,9,9,11,13,5,4,60,212,
"        100 - 149,99 euros",134,0,3,8,5,14,24,31,23,13,13,135,474,
        150 - 199.99 euros,162,4,3,5,7,16,18,29,36,20,24,164,593,
"        200 - 249,99 euros",196,1,4,5,9,19,37,37,33,21,30,196,730,
"        250 - 299,99 euros",249,0,1,11,6,15,39,63,45,36,33,249,875,
"        300 - 349,99 euros",231,1,1,1,8,17,35,35,52,46,35,233,822,
"        350 - 399,99 euros",221,0,2,4,4,20,24,41,41,48,37,221,790,
"        400 - 499,99 euros",400,1,2,3,9,28,50,64,69,86,88,401,1423,
"        500 - 649,99 euros",255,1,1,0,2,6,23,38,46,59,79,256,939,
"        650 - 799,99 euros",260,1,4,2,5,19,25,27,44,53,80,262,950,
        800 euros ou mais,228,0,1,1,1,7,15,21,27,43,112,230,883,
      Profissionais intelectuais e científicos independentes,13051,29,57,180,322,1097,1962,2305,2596,2204,2299,13092,34775,
        Sem encargos,5069,14,26,73,111,388,677,848,992,897,1043,5093,12774,
        Com encargos,7982,15,31,107,211,709,1285,1457,1604,1307,1256,7999,22001,
        Menos de 75 euros,135,0,1,1,5,12,30,30,19,21,16,135,337,
"        75  - 99,99 euros",104,0,1,3,5,7,19,22,24,12,11,104,276,
"        100 - 149,99 euros",278,2,2,6,12,36,50,56,58,36,20,278,703,
        150 - 199.99 euros,364,2,7,12,16,52,67,75,66,39,28,366,837,
"        200 - 249,99 euros",510,2,5,12,31,74,116,102,86,54,28,511,1225,
"        250 - 299,99 euros",657,3,3,13,31,113,126,134,120,71,43,657,1633,
"        300 - 349,99 euros",721,1,4,12,30,90,148,147,150,85,54,722,1853,
"        350 - 399,99 euros",805,0,0,16,25,82,176,179,158,100,69,807,2119,
"        400 - 499,99 euros",1417,3,3,14,33,121,275,296,308,203,161,1420,3805,
"        500 - 649,99 euros",1246,2,1,8,10,76,169,223,280,234,243,1248,3653,
"        650 - 799,99 euros",776,0,3,9,8,30,67,111,165,185,198,778,2378,
        800 euros ou mais,969,0,1,1,5,16,42,82,170,267,385,973,3182,
      Profissionais técnicos intermédios independentes,13248,26,69,166,284,991,2132,2454,2694,2225,2207,13303,38995,
        Sem encargos,5032,13,33,77,125,401,744,888,1011,868,872,5065,14090,
        Com encargos,8216,13,36,89,159,590,1388,1566,1683,1357,1335,8238,24905,
        Menos de 75 euros,143,0,1,3,3,17,35,29,31,14,10,143,401,
"        75  - 99,99 euros",122,2,0,5,3,12,29,23,20,13,15,122,336,
"        100 - 149,99 euros",272,1,4,4,11,28,54,57,56,31,26,272,746,
        150 - 199.99 euros,426,0,1,11,16,50,98,85,75,51,39,426,1204,
"        200 - 249,99 euros",564,2,9,9,21,71,127,123,82,60,60,566,1596,
"        250 - 299,99 euros",802,1,5,13,30,81,187,185,143,88,69,804,2279,
"        300 - 349,99 euros",800,5,5,10,14,76,157,190,174,89,80,800,2370,
"        350 - 399,99 euros",862,1,1,7,14,64,174,187,168,151,95,864,2605,
"        400 - 499,99 euros",1464,1,8,8,22,99,257,297,330,237,205,1471,4485,
"        500 - 649,99 euros",1294,0,1,12,16,51,160,234,315,276,229,1299,4117,
"        650 - 799,99 euros",719,0,1,4,9,26,70,82,178,175,174,722,2307,
        800 euros ou mais,748,0,0,3,0,15,40,74,111,172,333,749,2459,
      Trabalhadores industriais e artesanais independentes,46306,251,436,1033,1577,4469,8366,9355,9106,6727,4986,46590,149937,
        Sem encargos,26354,158,281,668,986,2577,4616,5429,5333,3702,2604,26563,82829,
        Com encargos,19952,93,155,365,591,1892,3750,3926,3773,3025,2382,20027,67108,
        Menos de 75 euros,581,9,11,28,29,76,125,110,103,55,35,583,1800,
"        75  - 99,99 euros",426,5,3,13,16,56,84,99,76,46,28,427,1394,
"        100 - 149,99 euros",1134,7,15,26,45,142,215,240,238,130,76,1138,3747,
        150 - 199.99 euros,1499,13,9,37,64,160,319,288,264,212,133,1504,4991,
"        200 - 249,99 euros",1866,11,14,42,66,224,399,356,336,243,175,1873,6222,
"        250 - 299,99 euros",2452,13,24,49,74,268,499,515,411,373,226,2460,8303,
"        300 - 349,99 euros",2304,2,23,44,62,201,461,486,448,328,249,2316,7796,
"        350 - 399,99 euros",2207,5,16,31,58,213,404,467,401,366,246,2213,7548,
"        400 - 499,99 euros",3539,16,19,47,82,320,676,719,681,540,439,3551,11868,
"        500 - 649,99 euros",2134,4,9,23,56,128,331,380,421,392,390,2140,7289,
"        650 - 799,99 euros",1132,6,8,18,25,81,155,171,260,216,192,1140,3865,
        800 euros ou mais,678,2,4,7,14,23,82,95,134,124,193,682,2285,
      Prestadores de serviços e comerciantes independentes,45714,265,494,1244,1731,4746,8332,8996,8315,6170,5421,46044,132701,
        Sem encargos,24355,161,290,748,957,2623,4251,4679,4416,3385,2845,24569,67390,
        Com encargos,21359,104,204,496,774,2123,4081,4317,3899,2785,2576,21475,65311,
        Menos de 75 euros,571,12,16,24,44,92,136,92,80,40,35,575,1523,
"        75  - 99,99 euros",404,2,6,13,22,52,81,93,59,41,35,405,1150,
"        100 - 149,99 euros",963,11,24,46,48,139,203,180,163,89,60,970,2812,
        150 - 199.99 euros,1344,5,18,44,75,200,303,248,232,131,88,1353,3990,
"        200 - 249,99 euros",1819,11,21,69,92,236,421,398,263,170,138,1824,5375,
"        250 - 299,99 euros",2330,16,29,48,105,281,540,533,375,228,175,2337,6921,
"        300 - 349,99 euros",2332,5,20,44,99,276,534,522,406,260,166,2339,7054,
"        350 - 399,99 euros",2223,6,13,49,68,202,465,511,432,273,204,2232,6878,
"        400 - 499,99 euros",4009,22,28,92,102,354,775,817,803,564,452,4046,12400,
"        500 - 649,99 euros",2641,8,15,27,68,162,334,528,552,462,485,2647,8393,
"        650 - 799,99 euros",1494,2,8,26,37,84,183,214,301,303,336,1508,4754,
        800 euros ou mais,1229,4,6,14,14,45,106,181,233,224,402,1239,4061,
      Trabalhadores independentes do sector primário,21504,213,259,695,986,2279,3633,4256,3894,2840,2449,21643,65758,
        Sem encargos,17609,185,222,606,865,2011,3060,3584,3132,2157,1787,17722,52303,
        Com encargos,3895,28,37,89,121,268,573,672,762,683,662,3921,13455,
        Menos de 75 euros,200,6,3,12,13,20,29,45,41,12,19,201,644,
"        75  - 99,99 euros",108,0,1,9,9,12,24,20,15,9,9,108,348,
"        100 - 149,99 euros",264,5,4,7,15,20,51,44,46,38,34,268,944,
        150 - 199.99 euros,291,3,6,9,8,28,54,51,62,43,27,293,970,
"        200 - 249,99 euros",340,1,5,8,9,35,63,69,73,52,25,341,1153,
"        250 - 299,99 euros",394,1,2,4,7,29,70,79,77,68,57,396,1400,
"        300 - 349,99 euros",350,1,4,5,10,16,44,66,78,72,54,351,1248,
"        350 - 399,99 euros",335,2,3,7,10,17,33,65,59,80,59,336,1172,
"        400 - 499,99 euros",618,2,2,8,20,42,101,102,121,111,109,623,2083,
"        500 - 649,99 euros",377,2,2,5,7,16,39,48,80,84,94,379,1332,
"        650 - 799,99 euros",374,5,3,13,8,23,37,58,66,69,92,379,1295,
        800 euros ou mais,244,0,2,2,5,10,28,25,44,45,83,246,866,
      Directores e quadros dirigentes do Estado e empresas,55057,54,135,382,820,3146,7299,9651,11966,10303,11301,55198,165267,
        Sem encargos,12426,12,33,93,172,669,1429,2010,2662,2403,2943,12492,36864,
        Com encargos,42631,42,102,289,648,2477,5870,7641,9304,7900,8358,42706,128403,
        Menos de 75 euros,490,1,4,7,10,44,75,91,91,82,85,490,1440,
"        75  - 99,99 euros",449,0,1,6,13,41,73,92,99,61,63,449,1271,
"        100 - 149,99 euros",1089,1,7,10,25,78,171,236,231,170,160,1089,3214,
        150 - 199.99 euros,1454,2,13,26,47,158,265,250,285,211,197,1456,4160,
"        200 - 249,99 euros",2069,2,9,29,80,233,413,408,411,271,213,2073,5658,
"        250 - 299,99 euros",3438,5,13,54,98,373,774,744,639,412,326,3440,9426,
"        300 - 349,99 euros",3702,6,16,44,87,355,748,866,777,438,365,3707,10255,
"        350 - 399,99 euros",4365,8,15,32,83,367,870,1027,904,604,455,4373,12115,
"        400 - 499,99 euros",7335,10,10,47,124,411,1194,1563,1779,1221,976,7353,21258,
"        500 - 649,99 euros",7652,5,11,21,47,277,801,1331,1970,1624,1565,7663,23899,
"        650 - 799,99 euros",4532,0,3,8,19,98,319,590,1015,1217,1263,4539,14741,
        800 euros ou mais,6056,2,0,5,15,42,167,443,1103,1589,2690,6074,20966,
      Dirigentes de pequenas empresas e organizações,10561,22,54,105,187,785,1637,1995,2207,1794,1775,10631,31624,
        Sem encargos,3288,11,19,44,46,257,448,607,677,575,604,3329,9795,
        Com encargos,7273,11,35,61,141,528,1189,1388,1530,1219,1171,7302,21829,
        Menos de 75 euros,103,0,1,2,9,9,26,25,12,11,8,103,274,
"        75  - 99,99 euros",83,1,1,0,4,7,13,14,18,12,13,84,241,
"        100 - 149,99 euros",198,0,0,2,7,18,34,53,36,27,21,200,588,
        150 - 199.99 euros,285,1,4,7,10,31,65,58,50,31,28,285,811,
"        200 - 249,99 euros",430,2,5,10,13,54,101,87,77,41,40,430,1174,
"        250 - 299,99 euros",690,0,10,8,23,82,159,155,124,69,60,690,1899,
"        300 - 349,99 euros",723,3,3,9,17,75,160,164,152,79,61,723,2034,
"        350 - 399,99 euros",768,0,5,4,18,69,155,180,155,106,76,772,2283,
"        400 - 499,99 euros",1340,3,1,11,23,106,239,271,316,207,163,1351,4026,
"        500 - 649,99 euros",1201,1,4,5,11,44,156,217,278,257,228,1205,3740,
"        650 - 799,99 euros",722,0,0,2,5,23,51,88,183,194,176,725,2335,
        800 euros ou mais,730,0,1,1,1,10,30,76,129,185,297,734,2424,
      Quadros intelectuais e científicos,206104,339,909,2517,4840,17251,33652,39945,42941,31778,31932,206843,544414,
        Sem encargos,51553,120,249,666,1166,4149,7422,9343,10505,8617,9316,51856,135636,
        Com encargos,154551,219,660,1851,3674,13102,26230,30602,32436,23161,22616,154987,408778,
        Menos de 75 euros,2233,6,24,45,84,242,428,455,451,268,230,2238,5721,
"        75  - 99,99 euros",1860,2,12,49,59,193,368,396,357,244,180,1863,4729,
"        100 - 149,99 euros",4869,15,38,113,181,497,913,1005,944,628,535,4876,12425,
        150 - 199.99 euros,6659,24,70,183,291,845,1332,1303,1221,790,600,6672,16125,
"        200 - 249,99 euros",9580,31,104,241,442,1340,2154,1972,1660,949,687,9601,22366,
"        250 - 299,99 euros",14708,31,118,289,585,2006,3414,3219,2681,1352,1013,14746,34237,
"        300 - 349,99 euros",15970,28,89,259,569,1944,3600,3694,3057,1563,1167,16014,38043,
"        350 - 399,99 euros",17787,29,61,218,466,1735,3689,4215,3867,2037,1470,17838,43802,
"        400 - 499,99 euros",28913,29,84,259,564,2348,5300,6375,6493,4127,3334,29019,74831,
"        500 - 649,99 euros",25484,12,34,111,281,1230,3269,4862,6175,4936,4574,25538,73052,
"        650 - 799,99 euros",13000,8,17,62,101,486,1144,1817,3089,3012,3264,13052,39492,
        800 euros ou mais,13488,4,9,22,51,236,619,1289,2441,3255,5562,13530,43955,
      Quadros técnicos intermédios,163917,400,907,2338,4146,15236,31320,34142,32915,22977,19536,164529,475334,
        Sem encargos,36659,143,280,717,1145,3639,6633,7262,7197,5294,4349,36949,106735,
        Com encargos,127258,257,627,1621,3001,11597,24687,26880,25718,17683,15187,127580,368599,
        Menos de 75 euros,1887,6,22,49,77,258,418,434,317,185,121,1891,5133,
"        75  - 99,99 euros",1741,3,14,36,78,218,387,395,310,170,130,1747,4887,
"        100 - 149,99 euros",4405,29,38,118,154,491,964,984,840,466,321,4415,12570,
        150 - 199.99 euros,6462,23,75,160,299,895,1478,1327,1079,683,443,6479,17848,
"        200 - 249,99 euros",9551,40,80,243,383,1345,2333,2071,1608,858,590,9569,25622,
"        250 - 299,99 euros",14652,48,109,285,518,1970,3764,3244,2457,1355,902,14680,39583,
"        300 - 349,99 euros",14402,40,81,186,406,1690,3595,3397,2627,1394,986,14431,39396,
"        350 - 399,99 euros",15454,16,61,157,355,1445,3454,3733,3111,1863,1259,15487,43731,
"        400 - 499,99 euros",23833,29,98,233,434,1967,4599,5547,5221,3214,2491,23910,68747,
"        500 - 649,99 euros",18362,11,23,90,197,815,2434,3648,4514,3515,3115,18414,56863,
"        650 - 799,99 euros",8841,10,14,39,71,343,820,1311,2131,2063,2039,8870,28285,
        800 euros ou mais,7668,2,12,25,29,160,441,789,1503,1917,2790,7687,25934,
      Quadros administrativos intermédios,24300,110,237,507,911,2844,5246,5046,4377,2790,2232,24394,67297,
        Sem encargos,6235,30,61,163,250,713,1207,1233,1139,787,652,6282,16995,
        Com encargos,18065,80,176,344,661,2131,4039,3813,3238,2003,1580,18112,50302,
        Menos de 75 euros,284,4,1,10,22,37,65,64,43,29,9,285,741,
"        75  - 99,99 euros",277,3,4,8,16,41,62,65,42,18,18,277,719,
"        100 - 149,99 euros",680,5,13,22,38,92,154,133,120,66,37,681,1786,
        150 - 199.99 euros,1122,8,23,39,66,185,258,223,179,82,59,1125,3000,
"        200 - 249,99 euros",1682,11,29,50,95,301,407,325,245,118,101,1686,4419,
"        250 - 299,99 euros",2366,11,26,70,123,360,651,493,345,175,112,2368,6305,
"        300 - 349,99 euros",2386,11,23,42,95,317,623,544,387,211,133,2397,6442,
"        350 - 399,99 euros",2335,6,20,32,79,255,591,546,402,252,152,2339,6526,
"        400 - 499,99 euros",3216,9,21,40,86,340,725,734,642,355,264,3230,9046,
"        500 - 649,99 euros",2187,10,9,24,27,133,335,470,507,375,297,2188,6572,
"        650 - 799,99 euros",908,0,5,4,13,45,116,132,209,176,208,913,2778,
        800 euros ou mais,622,2,2,3,1,25,52,84,117,146,190,623,1968,
      Empregados administrativos do comércio e serviços,316593,2214,4404,9141,13830,42445,72041,64618,52061,32273,23566,318650,897775,
        Sem encargos,88679,806,1500,3213,4503,12100,18608,17315,14528,9098,7008,89653,245278,
        Com encargos,227914,1408,2904,5928,9327,30345,53433,47303,37533,23175,16558,228997,652497,
        Menos de 75 euros,4324,68,112,212,312,766,1057,805,546,279,167,4351,11816,
"        75  - 99,99 euros",4147,40,97,172,237,649,1147,822,528,292,163,4166,11324,
"        100 - 149,99 euros",10131,111,197,421,598,1649,2460,2011,1434,789,461,10181,27850,
        150 - 199.99 euros,15905,157,337,683,1029,2783,4021,2962,2052,1174,707,15966,42542,
"        200 - 249,99 euros",23214,204,452,908,1441,4156,5962,4510,3000,1634,947,23299,62032,
"        250 - 299,99 euros",32418,225,468,942,1609,5235,8775,6754,4574,2458,1378,32521,89075,
"        300 - 349,99 euros",30131,158,324,721,1134,4185,8073,6747,4754,2488,1547,30219,85127,
"        350 - 399,99 euros",27807,137,253,550,892,3293,6923,6419,4881,2688,1771,27915,80811,
"        400 - 499,99 euros",40851,164,428,811,1294,4863,9123,8921,7515,4560,3172,41135,119761,
"        500 - 649,99 euros",22364,61,110,257,416,1486,3597,4837,4870,3668,3062,22475,69812,
"        650 - 799,99 euros",10482,60,88,170,245,873,1561,1646,2281,1913,1645,10573,32802,
