"3.20 - ALOJAMENTOS CLÁSSICOS PROPRIEDADE DOS OCUPANTES, OCUPADOS COMO RESIDÊNCIA HABITUAL, SEGUNDO A ÁREA ÚTIL DO ALOJAMENTO, POR GRUPO SÓCIO-ECONÓMICO DO TITULAR DO ALOJAMENTO, EXISTÊNCIA DE ENCARGOS POR COMPRA E RESPECTIVOS ESCALÕES",,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
Zona Geográfica,Total,"Alojamentos clássicos, segundo a área útil do alojamento",,,,,,,,,,Famílias clássicas,Pessoas residentes,
Grupo sócio-económico do titular do alojamento e escalão de encargos,,Menos de 30m2,De 30 a menos de 40m2,De 40 a menos de 50 m2,De 50 a menos de 60 m2,De 60 a menos de 80 m2,De 80 a menos de 100 m2,De 100 a menos de 120 m2,De 120 a menos de 150 m2,De 150 a menos de 200 m2,200 m2 ou mais,,,
            800 euros ou mais,170,0,0,1,3,5,11,10,33,31,76,171,583,
          Pequenos patrões do sector primário,1713,7,13,31,36,125,221,268,305,280,427,1724,5348,
            Sem encargos,1229,6,6,26,27,95,163,190,228,193,295,1238,3680,
            Com encargos,484,1,7,5,9,30,58,78,77,87,132,486,1668,
            Menos de 75 euros,16,0,0,0,1,1,4,1,5,1,3,16,46,
"            75  - 99,99 euros",11,0,0,1,0,1,2,3,2,1,1,11,37,
"            100 - 149,99 euros",34,0,1,1,2,3,4,9,6,6,2,34,112,
            150 - 199.99 euros,32,0,0,0,0,3,3,3,12,5,6,32,109,
"            200 - 249,99 euros",41,0,1,0,2,5,8,10,5,2,8,41,149,
"            250 - 299,99 euros",41,0,1,2,0,6,5,10,5,6,6,41,140,
"            300 - 349,99 euros",47,1,0,0,2,2,7,9,7,11,8,47,162,
"            350 - 399,99 euros",51,0,2,1,2,5,5,6,5,14,11,51,177,
"            400 - 499,99 euros",72,0,1,0,0,3,12,15,10,12,19,73,231,
"            500 - 649,99 euros",62,0,1,0,0,0,4,7,11,17,22,63,218,
"            650 - 799,99 euros",28,0,0,0,0,1,3,4,2,5,13,28,107,
            800 euros ou mais,49,0,0,0,0,0,1,1,7,7,33,49,180,
          Profissionais intelectuais e científicos independentes,685,1,3,4,12,35,84,112,124,135,175,686,1858,
            Sem encargos,278,0,2,3,6,17,31,48,48,49,74,279,684,
            Com encargos,407,1,1,1,6,18,53,64,76,86,101,407,1174,
            Menos de 75 euros,6,0,0,0,0,0,2,2,2,0,0,6,18,
"            75  - 99,99 euros",7,0,0,0,0,0,1,1,4,1,0,7,22,
"            100 - 149,99 euros",23,0,0,0,0,3,2,5,5,5,3,23,56,
            150 - 199.99 euros,20,0,1,0,0,0,8,4,1,2,4,20,51,
"            200 - 249,99 euros",40,1,0,0,0,1,12,9,5,8,4,40,98,
"            250 - 299,99 euros",32,0,0,0,3,2,2,8,7,7,3,32,93,
"            300 - 349,99 euros",38,0,0,0,1,2,7,5,11,3,9,38,97,
"            350 - 399,99 euros",33,0,0,0,0,3,6,5,9,5,5,33,98,
"            400 - 499,99 euros",60,0,0,1,2,4,8,9,12,13,11,60,173,
"            500 - 649,99 euros",67,0,0,0,0,2,3,12,11,17,22,67,201,
"            650 - 799,99 euros",43,0,0,0,0,1,2,2,6,15,17,43,143,
            800 euros ou mais,38,0,0,0,0,0,0,2,3,10,23,38,124,
          Profissionais técnicos intermédios independentes,804,0,4,8,14,42,112,158,163,155,148,805,2316,
            Sem encargos,299,0,1,5,8,19,45,61,59,48,53,300,779,
            Com encargos,505,0,3,3,6,23,67,97,104,107,95,505,1537,
            Menos de 75 euros,15,0,0,0,1,1,5,1,2,5,0,15,42,
"            75  - 99,99 euros",13,0,0,1,0,1,2,4,1,1,3,13,33,
"            100 - 149,99 euros",27,0,0,1,1,2,5,4,6,4,4,27,75,
            150 - 199.99 euros,19,0,0,0,1,3,6,5,1,2,1,19,52,
"            200 - 249,99 euros",35,0,1,1,1,4,4,7,6,6,5,35,102,
"            250 - 299,99 euros",42,0,1,0,0,3,5,11,10,7,5,42,133,
"            300 - 349,99 euros",60,0,1,0,1,4,13,12,16,6,7,60,181,
"            350 - 399,99 euros",56,0,0,0,0,0,9,18,12,12,5,56,164,
"            400 - 499,99 euros",100,0,0,0,1,3,9,18,26,29,14,100,323,
"            500 - 649,99 euros",65,0,0,0,0,1,5,11,12,17,19,65,187,
"            650 - 799,99 euros",31,0,0,0,0,1,3,3,3,9,12,31,101,
            800 euros ou mais,42,0,0,0,0,0,1,3,9,9,20,42,144,
          Trabalhadores industriais e artesanais independentes,3435,17,27,97,124,325,617,702,665,471,390,3454,10452,
            Sem encargos,1868,11,21,56,76,185,343,386,370,236,184,1878,5346,
            Com encargos,1567,6,6,41,48,140,274,316,295,235,206,1576,5106,
            Menos de 75 euros,72,1,1,6,2,7,18,14,12,6,5,72,227,
"            75  - 99,99 euros",47,0,0,2,1,8,7,9,8,8,4,47,156,
"            100 - 149,99 euros",131,0,1,3,6,15,24,27,34,11,10,131,417,
            150 - 199.99 euros,145,1,1,3,5,20,27,26,25,18,19,145,475,
"            200 - 249,99 euros",150,1,1,2,10,15,37,29,24,17,14,150,489,
"            250 - 299,99 euros",196,1,1,7,6,20,38,47,29,27,20,199,642,
"            300 - 349,99 euros",176,0,0,7,4,13,34,44,28,28,18,178,551,
"            350 - 399,99 euros",156,0,1,3,1,15,26,35,28,27,20,157,529,
"            400 - 499,99 euros",259,1,0,6,8,16,35,50,58,44,41,260,872,
"            500 - 649,99 euros",140,1,0,0,5,7,16,22,30,31,28,140,442,
"            650 - 799,99 euros",48,0,0,2,0,3,4,9,10,10,10,50,157,
            800 euros ou mais,47,0,0,0,0,1,8,4,9,8,17,47,149,
          Prestadores de serviços e comerciantes independentes,3807,24,35,104,160,376,665,722,736,539,446,3835,10531,
            Sem encargos,2070,17,26,70,80,235,368,384,385,281,224,2090,5320,
            Com encargos,1737,7,9,34,80,141,297,338,351,258,222,1745,5211,
            Menos de 75 euros,59,1,1,1,5,8,12,12,9,7,3,60,154,
"            75  - 99,99 euros",51,0,0,2,4,7,8,13,6,5,6,51,143,
"            100 - 149,99 euros",112,0,1,5,10,16,24,22,17,10,7,112,335,
            150 - 199.99 euros,151,1,1,7,12,18,34,19,31,20,8,152,454,
"            200 - 249,99 euros",185,2,2,5,14,19,33,43,29,22,16,185,536,
"            250 - 299,99 euros",191,1,2,3,9,15,42,40,39,20,20,192,544,
"            300 - 349,99 euros",174,0,1,2,4,19,31,36,39,27,15,175,529,
"            350 - 399,99 euros",160,0,0,1,10,9,31,38,27,26,18,161,466,
"            400 - 499,99 euros",290,2,0,5,7,15,46,54,73,56,32,292,893,
"            500 - 649,99 euros",194,0,1,1,3,11,27,34,46,33,38,195,609,
"            650 - 799,99 euros",81,0,0,1,2,4,7,12,15,17,23,81,248,
            800 euros ou mais,89,0,0,1,0,0,2,15,20,15,36,89,300,
          Trabalhadores independentes do sector primário,2288,14,16,61,71,202,326,417,420,388,373,2296,6708,
            Sem encargos,1673,13,12,49,58,168,256,315,308,252,242,1680,4653,
            Com encargos,615,1,4,12,13,34,70,102,112,136,131,616,2055,
            Menos de 75 euros,33,0,0,1,3,1,6,8,6,2,6,33,105,
"            75  - 99,99 euros",17,0,0,1,0,2,3,2,5,2,2,17,53,
"            100 - 149,99 euros",57,1,1,2,1,5,10,7,9,11,10,57,191,
            150 - 199.99 euros,49,0,0,1,2,3,7,8,11,12,5,49,157,
"            200 - 249,99 euros",59,0,2,2,0,5,11,12,14,8,5,59,188,
"            250 - 299,99 euros",57,0,0,1,1,4,7,9,13,13,9,57,187,
"            300 - 349,99 euros",70,0,0,1,1,2,5,14,15,18,14,70,249,
"            350 - 399,99 euros",69,0,0,0,1,4,2,14,12,22,14,69,228,
"            400 - 499,99 euros",92,0,0,2,3,7,13,13,15,20,19,92,291,
"            500 - 649,99 euros",52,0,0,0,0,0,4,7,10,19,12,52,183,
"            650 - 799,99 euros",24,0,1,0,1,1,1,3,0,5,12,24,89,
            800 euros ou mais,36,0,0,1,0,0,1,5,2,4,23,37,134,
          Directores e quadros dirigentes do Estado e empresas,2317,3,2,14,15,77,247,393,474,468,624,2324,7139,
            Sem encargos,473,0,1,3,6,15,49,88,93,87,131,476,1369,
            Com encargos,1844,3,1,11,9,62,198,305,381,381,493,1848,5770,
            Menos de 75 euros,22,0,0,0,0,0,2,6,1,6,7,22,74,
"            75  - 99,99 euros",24,0,0,0,0,0,2,5,6,6,5,24,68,
"            100 - 149,99 euros",66,0,0,0,0,3,9,18,17,8,11,66,197,
            150 - 199.99 euros,74,0,1,2,0,8,9,12,16,16,10,74,216,
"            200 - 249,99 euros",118,0,0,1,3,12,25,20,24,22,11,119,322,
"            250 - 299,99 euros",175,0,0,1,1,16,35,48,29,21,24,175,505,
"            300 - 349,99 euros",181,0,0,0,2,4,28,42,57,22,26,182,519,
"            350 - 399,99 euros",216,0,0,2,1,9,39,34,49,44,38,218,633,
"            400 - 499,99 euros",290,2,0,3,1,5,23,57,70,64,65,290,899,
"            500 - 649,99 euros",330,1,0,2,0,5,17,41,66,94,104,330,1129,
"            650 - 799,99 euros",157,0,0,0,0,0,7,16,30,44,60,157,530,
            800 euros ou mais,191,0,0,0,1,0,2,6,16,34,132,191,678,
          Dirigentes de pequenas empresas e organizações,638,0,2,5,12,35,85,102,142,142,113,644,1931,
            Sem encargos,209,0,2,3,3,15,33,32,42,40,39,212,604,
            Com encargos,429,0,0,2,9,20,52,70,100,102,74,432,1327,
            Menos de 75 euros,5,0,0,0,0,0,2,0,1,1,1,5,15,
"            75  - 99,99 euros",7,0,0,0,0,0,0,3,1,1,2,7,20,
"            100 - 149,99 euros",24,0,0,0,1,1,4,3,4,11,0,24,69,
            150 - 199.99 euros,21,0,0,0,3,4,3,3,4,1,3,21,64,
"            200 - 249,99 euros",35,0,0,2,1,1,8,3,7,7,6,35,96,
"            250 - 299,99 euros",42,0,0,0,0,4,10,8,12,4,4,42,124,
"            300 - 349,99 euros",44,0,0,0,0,3,3,15,10,7,6,44,120,
"            350 - 399,99 euros",44,0,0,0,2,3,6,8,8,8,9,44,145,
"            400 - 499,99 euros",89,0,0,0,1,3,6,17,26,26,10,92,280,
"            500 - 649,99 euros",57,0,0,0,0,0,7,7,14,19,10,57,187,
"            650 - 799,99 euros",24,0,0,0,1,0,0,1,6,11,5,24,78,
            800 euros ou mais,37,0,0,0,0,1,3,2,7,6,18,37,129,
          Quadros intelectuais e científicos,11117,18,36,123,158,607,1594,2051,2350,2019,2161,11152,30227,
            Sem encargos,2612,8,10,36,47,147,352,477,516,463,556,2628,6957,
            Com encargos,8505,10,26,87,111,460,1242,1574,1834,1556,1605,8524,23270,
            Menos de 75 euros,129,0,0,1,7,11,28,26,23,20,13,129,336,
"            75  - 99,99 euros",114,0,0,2,2,13,23,18,21,20,15,114,307,
"            100 - 149,99 euros",304,2,1,12,5,17,54,57,67,50,39,304,790,
            150 - 199.99 euros,403,2,1,13,9,43,79,79,82,59,36,403,1010,
"            200 - 249,99 euros",580,2,3,12,15,69,125,121,105,65,63,580,1382,
"            250 - 299,99 euros",931,2,6,12,19,90,208,200,201,110,83,932,2251,
"            300 - 349,99 euros",965,2,3,10,17,78,189,216,210,153,87,967,2426,
"            350 - 399,99 euros",1041,0,3,8,12,53,178,241,261,161,124,1049,2698,
"            400 - 499,99 euros",1583,0,6,8,15,61,215,340,392,285,261,1588,4288,
"            500 - 649,99 euros",1356,0,3,7,7,19,97,191,304,364,364,1358,4131,
"            650 - 799,99 euros",538,0,0,2,3,2,28,48,104,154,197,539,1744,
            800 euros ou mais,561,0,0,0,0,4,18,37,64,115,323,561,1907,
          Quadros técnicos intermédios,10061,24,38,110,174,667,1672,1980,2087,1800,1509,10092,29739,
            Sem encargos,2381,9,14,28,70,192,413,457,485,410,303,2396,6903,
            Com encargos,7680,15,24,82,104,475,1259,1523,1602,1390,1206,7696,22836,
            Menos de 75 euros,139,1,1,2,2,14,28,27,34,22,8,139,395,
"            75  - 99,99 euros",114,1,0,2,4,12,19,28,25,14,9,115,341,
"            100 - 149,99 euros",358,2,1,9,5,34,70,85,78,46,28,359,1037,
            150 - 199.99 euros,481,2,4,11,10,51,100,95,87,75,46,482,1371,
"            200 - 249,99 euros",690,4,1,12,21,62,169,137,135,98,51,691,1928,
"            250 - 299,99 euros",922,2,3,10,19,97,225,201,170,124,71,923,2548,
"            300 - 349,99 euros",823,1,4,8,11,60,165,198,175,118,83,825,2352,
"            350 - 399,99 euros",964,0,5,11,11,48,168,244,205,163,109,967,2802,
"            400 - 499,99 euros",1375,1,4,15,16,64,188,292,329,267,199,1377,4091,
"            500 - 649,99 euros",998,1,0,2,1,25,82,158,234,254,241,1000,3207,
"            650 - 799,99 euros",423,0,0,0,3,4,25,32,79,129,151,423,1430,
            800 euros ou mais,393,0,1,0,1,4,20,26,51,80,210,395,1334,
          Quadros administrativos intermédios,1435,8,8,22,45,110,252,279,300,231,180,1438,4143,
            Sem encargos,382,5,3,8,18,31,67,70,76,56,48,383,1079,
            Com encargos,1053,3,5,14,27,79,185,209,224,175,132,1055,3064,
            Menos de 75 euros,21,0,0,0,1,3,4,4,5,4,0,22,62,
"            75  - 99,99 euros",16,0,0,0,0,3,5,2,5,0,1,16,45,
"            100 - 149,99 euros",55,0,1,1,2,5,10,11,12,9,4,55,157,
            150 - 199.99 euros,73,1,1,3,4,11,18,13,15,4,3,74,213,
"            200 - 249,99 euros",117,0,0,2,5,16,26,22,20,20,6,117,332,
"            250 - 299,99 euros",127,0,0,4,6,12,36,31,23,9,6,127,341,
"            300 - 349,99 euros",136,0,0,2,3,7,29,31,30,26,8,136,388,
"            350 - 399,99 euros",124,0,2,1,3,10,23,29,26,18,12,124,367,
"            400 - 499,99 euros",176,0,0,1,3,7,27,35,38,40,25,176,530,
"            500 - 649,99 euros",115,2,1,0,0,4,6,23,26,27,26,115,344,
"            650 - 799,99 euros",50,0,0,0,0,0,1,6,12,10,21,50,157,
            800 euros ou mais,43,0,0,0,0,1,0,2,12,8,20,43,128,
          Empregados administrativos do comércio e serviços,22519,128,235,581,824,2361,4545,4704,4128,2987,2026,22653,64355,
            Sem encargos,6425,57,109,248,309,849,1214,1328,1145,682,484,6501,17308,
            Com encargos,16094,71,126,333,515,1512,3331,3376,2983,2305,1542,16152,47047,
            Menos de 75 euros,370,3,5,13,31,46,83,90,49,35,15,372,1039,
"            75  - 99,99 euros",396,0,8,17,18,57,102,95,50,27,22,396,1070,
"            100 - 149,99 euros",1002,11,7,44,51,119,238,202,169,93,68,1008,2817,
            150 - 199.99 euros,1414,9,30,46,72,207,332,284,206,143,85,1419,3837,
"            200 - 249,99 euros",1902,13,19,56,81,278,490,385,282,193,105,1909,5266,
"            250 - 299,99 euros",2373,10,22,54,83,235,630,551,369,278,141,2381,6709,
"            300 - 349,99 euros",2081,4,14,32,44,180,463,488,408,301,147,2092,6119,
"            350 - 399,99 euros",1784,4,9,30,42,126,351,389,427,252,154,1787,5425,
"            400 - 499,99 euros",2566,8,10,24,61,177,418,560,578,455,275,2575,7770,
"            500 - 649,99 euros",1415,6,2,12,19,51,151,233,304,343,294,1420,4494,
"            650 - 799,99 euros",492,2,0,3,11,21,45,62,99,126,123,492,1534,
            800 euros ou mais,299,1,0,2,2,15,28,37,42,59,113,301,967,
          Operários qualificados e semi-qualificados,28111,172,341,828,1176,3235,5791,5774,5226,3670,1898,28311,87096,
            Sem encargos,11105,101,164,408,556,1533,2281,2204,1967,1238,653,11226,33030,
            Com encargos,17006,71,177,420,620,1702,3510,3570,3259,2432,1245,17085,54066,
            Menos de 75 euros,556,3,10,28,39,86,119,113,89,41,28,559,1639,
"            75  - 99,99 euros",567,3,17,32,30,78,112,118,105,54,18,570,1730,
"            100 - 149,99 euros",1340,12,30,53,77,173,284,289,217,146,59,1345,4313,
            150 - 199.99 euros,1616,9,17,54,98,219,362,317,275,180,85,1630,5129,
"            200 - 249,99 euros",2055,11,28,60,103,280,490,405,334,248,96,2057,6480,
"            250 - 299,99 euros",2487,11,22,66,78,252,609,539,458,317,135,2501,7865,
"            300 - 349,99 euros",2132,2,16,31,53,199,461,473,451,296,150,2139,6760,
"            350 - 399,99 euros",1807,6,14,27,45,124,365,412,400,295,119,1813,5785,
"            400 - 499,99 euros",2589,8,18,45,65,196,457,564,542,443,251,2599,8267,
"            500 - 649,99 euros",1174,4,2,15,25,56,153,239,250,253,177,1181,3844,
"            650 - 799,99 euros",419,0,3,7,3,20,55,75,90,97,69,425,1393,
            800 euros ou mais,264,2,0,2,4,19,43,26,48,62,58,266,861,
          Assalariados do sector primário,2668,62,50,111,155,375,534,484,423,253,221,2748,7887,
            Sem encargos,1592,52,38,70,109,244,303,285,233,133,125,1645,4473,
            Com encargos,1076,10,12,41,46,131,231,199,190,120,96,1103,3414,
            Menos de 75 euros,67,0,2,3,8,7,17,11,10,7,2,67,176,
"            75  - 99,99 euros",60,0,0,2,3,13,13,13,10,3,3,61,193,
"            100 - 149,99 euros",118,0,4,9,6,19,20,21,26,7,6,118,384,
            150 - 199.99 euros,134,2,2,4,4,17,36,25,22,14,8,137,432,
"            200 - 249,99 euros",118,0,0,7,4,22,33,22,16,7,7,119,361,
"            250 - 299,99 euros",133,1,2,4,4,16,39,25,22,11,9,134,435,
"            300 - 349,99 euros",125,0,1,3,6,10,24,25,23,20,13,126,387,
"            350 - 399,99 euros",85,1,0,2,3,8,17,20,17,9,8,85,281,
"            400 - 499,99 euros",145,6,1,5,5,10,22,23,31,22,20,165,467,
"            500 - 649,99 euros",48,0,0,2,3,3,5,7,8,11,9,48,156,
"            650 - 799,99 euros",24,0,0,0,0,4,3,3,3,7,4,24,82,
            800 euros ou mais,19,0,0,0,0,2,2,4,2,2,7,19,60,
          Trabalhadores administrativos do comércio e serviços não qualificados,6066,79,127,264,369,943,1346,1131,891,564,352,6121,16396,
            Sem encargos,3062,54,75,162,210,534,677,533,415,257,145,3092,7777,
            Com encargos,3004,25,52,102,159,409,669,598,476,307,207,3029,8619,
            Menos de 75 euros,170,3,5,7,18,22,50,35,19,6,5,171,432,
"            75  - 99,99 euros",147,0,2,7,10,25,37,29,21,12,4,148,386,
"            100 - 149,99 euros",330,5,7,16,21,75,67,69,42,12,16,335,865,
            150 - 199.99 euros,332,3,12,16,27,59,72,55,49,22,17,334,913,
"            200 - 249,99 euros",401,2,11,15,28,60,111,78,47,34,15,406,1107,
"            250 - 299,99 euros",414,2,7,15,19,53,98,87,60,46,27,415,1257,
"            300 - 349,99 euros",301,2,1,10,9,35,60,74,61,27,22,304,917,
"            350 - 399,99 euros",258,3,2,5,7,25,48,62,49,37,20,260,771,
"            400 - 499,99 euros",390,3,3,10,15,38,84,74,64,68,31,394,1155,
"            500 - 649,99 euros",153,1,1,0,3,9,30,21,41,26,21,154,454,
"            650 - 799,99 euros",65,0,1,1,1,5,8,8,13,12,16,65,222,
            800 euros ou mais,43,1,0,0,1,3,4,6,10,5,13,43,140,
          Operários não qualificados,4066,45,79,168,209,563,852,803,670,411,266,4105,11860,
            Sem encargos,1764,31,47,81,103,276,371,348,261,144,102,1788,4960,
            Com encargos,2302,14,32,87,106,287,481,455,409,267,164,2317,6900,
            Menos de 75 euros,80,2,4,11,6,14,14,10,8,6,5,80,219,
"            75  - 99,99 euros",70,1,0,4,7,5,15,14,14,4,6,70,204,
"            100 - 149,99 euros",185,1,5,9,13,30,43,30,36,9,9,186,571,
            150 - 199.99 euros,261,1,4,12,24,41,62,42,40,21,14,261,793,
"            200 - 249,99 euros",292,2,3,14,13,40,83,52,49,26,10,294,849,
"            250 - 299,99 euros",334,1,8,9,8,59,65,71,54,42,17,336,1010,
"            300 - 349,99 euros",298,2,4,8,10,38,58,64,56,37,21,299,874,
"            350 - 399,99 euros",244,0,1,5,6,15,65,54,52,34,12,245,739,
"            400 - 499,99 euros",336,3,2,12,10,33,56,73,65,45,37,340,1008,
"            500 - 649,99 euros",135,1,0,2,6,7,15,38,25,23,18,139,431,
"            650 - 799,99 euros",36,0,0,1,1,3,2,4,5,11,9,36,111,
            800 euros ou mais,31,0,1,0,2,2,3,3,5,9,6,31,91,
          Trabalhadores não qualificados do sector primário,2350,58,63,124,168,353,459,430,332,205,158,2517,7043,
            Sem encargos,1463,44,45,94,119,239,313,251,173,101,84,1573,4146,
            Com encargos,887,14,18,30,49,114,146,179,159,104,74,944,2897,
            Menos de 75 euros,71,1,4,4,10,8,8,13,14,8,1,72,196,
"            75  - 99,99 euros",53,0,2,1,4,6,10,8,14,7,1,56,177,
"            100 - 149,99 euros",107,2,2,6,8,16,15,28,17,11,2,108,353,
            150 - 199.99 euros,128,1,2,7,6,24,22,25,20,9,12,128,420,
"            200 - 249,99 euros",114,0,1,4,4,16,26,22,21,17,3,115,370,
"            250 - 299,99 euros",93,0,1,3,6,14,17,21,8,13,10,93,310,
"            300 - 349,99 euros",84,1,1,2,3,8,13,18,16,12,10,91,278,
"            350 - 399,99 euros",63,2,2,1,3,5,5,16,12,7,10,76,211,
"            400 - 499,99 euros",110,5,1,2,3,14,20,21,17,12,15,141,361,
"            500 - 649,99 euros",36,1,1,0,0,1,6,4,13,5,5,36,121,
"            650 - 799,99 euros",15,0,1,0,2,0,3,3,5,1,0,15,51,
            800 euros ou mais,13,1,0,0,0,2,1,0,2,2,5,13,49,
          Pessoal das forças armadas,1004,1,1,11,15,41,138,188,219,211,179,1005,3191,
            Sem encargos,155,0,1,7,4,9,26,33,30,29,16,155,469,
            Com encargos,849,1,0,4,11,32,112,155,189,182,163,850,2722,
            Menos de 75 euros,12,0,0,0,0,1,2,3,4,2,0,12,42,
"            75  - 99,99 euros",14,0,0,0,0,3,3,2,5,0,1,14,45,
"            100 - 149,99 euros",40,0,0,1,1,2,4,10,13,6,3,40,127,
            150 - 199.99 euros,47,0,0,0,4,3,12,13,4,8,3,47,146,
"            200 - 249,99 euros",58,0,0,0,0,2,19,11,10,13,3,58,182,
"            250 - 299,99 euros",92,0,0,0,2,5,26,19,19,11,10,92,270,
"            300 - 349,99 euros",98,0,0,1,2,5,12,19,24,20,15,98,299,
"            350 - 399,99 euros",102,0,0,1,0,4,10,24,23,21,19,102,314,
"            400 - 499,99 euros",174,0,0,1,2,6,13,34,40,48,30,175,542,
"            500 - 649,99 euros",128,1,0,0,0,0,7,16,31,36,37,128,459,
"            650 - 799,99 euros",46,0,0,0,0,0,2,3,8,10,23,46,164,
            800 euros ou mais,38,0,0,0,0,1,2,1,8,7,19,38,132,
          Outras pessoas activas n.e.,501,32,13,21,27,54,84,88,83,60,39,502,1494,
            Sem encargos,267,27,10,13,15,30,44,49,42,25,12,268,810,
            Com encargos,234,5,3,8,12,24,40,39,41,35,27,234,684,
            Menos de 75 euros,7,1,1,1,0,0,0,1,1,2,0,7,20,
"            75  - 99,99 euros",9,0,1,0,2,3,1,1,0,0,1,9,20,
"            100 - 149,99 euros",14,0,0,0,2,1,5,1,2,3,0,14,42,
            150 - 199.99 euros,26,1,1,2,0,5,4,6,2,3,2,26,81,
"            200 - 249,99 euros",20,1,0,2,2,3,3,2,3,1,3,20,58,
"            250 - 299,99 euros",25,0,0,0,2,3,2,5,7,4,2,25,79,
"            300 - 349,99 euros",28,0,0,3,2,3,8,5,3,3,1,28,75,
"            350 - 399,99 euros",29,1,0,0,2,1,6,4,9,6,0,29,92,
"            400 - 499,99 euros",40,1,0,0,0,3,9,7,7,5,8,40,107,
"            500 - 649,99 euros",21,0,0,0,0,1,1,6,7,2,4,21,64,
"            650 - 799,99 euros",4,0,0,0,0,0,1,0,0,1,2,4,13,
            800 euros ou mais,11,0,0,0,0,1,0,1,0,5,4,11,33,
          Inactivos,109487,1690,2858,6061,7958,18092,22816,18796,14762,9170,7284,110278,220298,
            Sem encargos,96640,1570,2687,5603,7331,16481,20189,16364,12680,7655,6080,97298,188618,
            Com encargos,12847,120,171,458,627,1611,2627,2432,2082,1515,1204,12980,31680,
            Menos de 75 euros,1914,46,64,114,144,358,440,317,236,117,78,1924,4183,
"            75  - 99,99 euros",1008,5,15,52,63,132,238,222,147,86,48,1013,2341,
"            100 - 149,99 euros",1497,19,27,60,77,224,333,313,237,126,81,1517,3645,
            150 - 199.99 euros,1266,10,15,53,63,174,286,267,189,132,77,1280,3167,
"            200 - 249,99 euros",1082,5,4,37,54,138,250,232,169,118,75,1087,2729,
"            250 - 299,99 euros",929,4,8,21,32,101,210,174,170,127,82,937,2437,
"            300 - 349,99 euros",891,3,6,21,42,95,165,179,168,129,83,903,2286,
"            350 - 399,99 euros",775,6,5,19,26,70,148,153,150,120,78,781,1993,
"            400 - 499,99 euros",1628,12,15,48,61,182,328,318,284,221,159,1654,4099,
"            500 - 649,99 euros",776,1,2,9,21,50,103,128,159,148,155,788,2041,
"            650 - 799,99 euros",592,4,7,16,32,59,75,76,104,90,129,601,1481,
            800 euros ou mais,489,5,3,8,12,28,51,53,69,101,159,495,1278,
        Algarve,126011,1093,1712,3271,5317,16942,29346,24505,20723,12750,10352,127298,313691,
"          Empresários com profissões intelectuais, científicas e técnicas",619,0,0,4,11,50,127,113,118,85,111,623,1595,
            Sem encargos,181,0,0,1,3,19,24,28,31,34,41,182,441,
            Com encargos,438,0,0,3,8,31,103,85,87,51,70,441,1154,
            Menos de 75 euros,4,0,0,0,1,0,0,1,2,0,0,4,7,
"            75  - 99,99 euros",5,0,0,0,0,0,1,2,1,1,0,5,10,
"            100 - 149,99 euros",16,0,0,0,0,3,4,4,4,0,1,16,38,
            150 - 199.99 euros,13,0,0,0,0,2,2,2,2,2,3,15,31,
"            200 - 249,99 euros",31,0,0,0,2,3,13,5,4,1,3,31,75,
"            250 - 299,99 euros",25,0,0,0,2,3,11,2,4,1,2,25,63,
"            300 - 349,99 euros",47,0,0,0,2,5,13,20,5,1,1,47,104,
"            350 - 399,99 euros",46,0,0,0,0,1,20,12,4,3,6,46,112,
"            400 - 499,99 euros",80,0,0,1,0,8,18,13,23,12,5,80,208,
"            500 - 649,99 euros",60,0,0,0,0,1,12,10,14,9,14,60,171,
"            650 - 799,99 euros",50,0,0,0,0,3,8,8,11,10,10,50,135,
            800 euros ou mais,61,0,0,2,1,2,1,6,13,11,25,62,200,
          Empresários da indústria comércio e serviços,1530,3,13,14,30,92,198,241,298,256,385,1548,4573,
            Sem encargos,630,2,4,5,7,32,66,96,126,117,175,639,1785,
            Com encargos,900,1,9,9,23,60,132,145,172,139,210,909,2788,
            Menos de 75 euros,12,1,0,0,0,2,3,1,1,3,1,12,30,
"            75  - 99,99 euros",15,0,0,1,1,0,4,3,2,1,3,15,36,
"            100 - 149,99 euros",26,0,0,0,1,4,3,7,6,1,4,27,76,
            150 - 199.99 euros,41,0,2,1,2,0,10,7,8,6,5,41,120,
"            200 - 249,99 euros",45,0,0,1,1,6,6,13,8,5,5,45,126,
"            250 - 299,99 euros",74,0,2,2,3,7,14,17,15,10,4,74,219,
"            300 - 349,99 euros",69,0,1,1,5,10,13,10,21,2,6,70,201,
"            350 - 399,99 euros",88,0,1,0,2,10,22,18,20,11,4,88,275,
"            400 - 499,99 euros",148,0,2,1,3,9,29,27,32,16,29,153,456,
"            500 - 649,99 euros",125,0,0,2,3,7,13,22,27,30,21,127,396,
"            650 - 799,99 euros",105,0,0,0,1,1,11,14,22,22,34,105,346,
            800 euros ou mais,152,0,1,0,1,4,4,6,10,32,94,152,507,
          Empresários do sector primário,57,1,0,0,0,4,12,4,11,16,9,57,171,
            Sem encargos,37,1,0,0,0,4,7,1,7,9,8,37,99,
            Com encargos,20,0,0,0,0,0,5,3,4,7,1,20,72,
            Menos de 75 euros,0,0,0,0,0,0,0,0,0,0,0,0,0,
"            75  - 99,99 euros",1,0,0,0,0,0,0,0,0,1,0,1,3,
