"4.15 - FAMÍLIAS CLÁSSICAS, SEGUNDO O TIPO DE ALOJAMENTO OCUPADO COMO RESIDÊNCIA HABITUAL E O REGIME DE PROPRIEDADE DOS ALOJAMENTOS CLÁSSICOS POR DIMENSÃO DAS FAMÍLIAS",,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
Zona Geográfica,Total    ,Alojamentos clássicos,,,,Alojamentos não clássicos,,,,Alojamentos colectivos,,,,
Dimensão das famílias,,Proprietário ou co-proprietário,Proprietário em prop. colectiva de coop de habitação,Arrendatário ou sub arrendatário,Outra situação,Barracas e casas rudimentares de madeira,Movéis,Improvisados,Local não destinado a habitação,Estabeleci-mentos hoteleiros ou similares,Alojamentos de convivência,,,
      Com 5 pessoas,6572,5096,119,946,405,1,0,2,0,2,1,,,
      Com 6 pessoas,2489,1801,54,460,172,0,0,2,0,0,0,,,
      Com 7 pessoas,893,610,24,202,57,0,0,0,0,0,0,,,
      Com 8 pessoas,399,245,9,123,22,0,0,0,0,0,0,,,
      Com 9 ou mais pessoas,351,197,12,122,20,0,0,0,0,0,0,,,
      Região Autónoma da Madeira,92823,70678,1409,14505,6072,8,0,44,1,71,35,,,
        Com 1 pessoa,18141,12415,203,3620,1808,1,0,17,1,48,28,,,
        Com 2 pessoas,23705,17981,260,3988,1451,1,0,9,0,12,3,,,
        Com 3 pessoas,22738,18039,397,3053,1233,4,0,7,0,4,1,,,
        Com 4 pessoas,17535,14294,331,1991,904,1,0,7,0,5,2,,,
        Com 5 pessoas,6572,5096,119,946,405,1,0,2,0,2,1,,,
        Com 6 pessoas,2489,1801,54,460,172,0,0,2,0,0,0,,,
        Com 7 pessoas,893,610,24,202,57,0,0,0,0,0,0,,,
        Com 8 pessoas,399,245,9,123,22,0,0,0,0,0,0,,,
        Com 9 ou mais pessoas,351,197,12,122,20,0,0,0,0,0,0,,,
