"6.47 - POPULAÇÃO RESIDENTE, DESEMPREGADAEM SENTIDO RESTRITO E À PROCURA DE NOVO EMPREGO, SEGUNDO A SITUAÇÃO NA ÚLTIMA PROFISSÃO E SEXO, POR RAMOS DE ACTIVIDADE ECONÓMICA",,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
Zona Geográfica,Total,,Patrão/Empregador,,Trabalhador por conta própria ou isolado,,Trabalhador familiar não remunerado,,Trabalhador por conta de outrém,,Membro activo de cooperativa de produção,,Outra situação,
Ramos de actividade económica,HM,H,HM,H,HM,H,HM,H,HM,H,HM,H,HM,H
      Fabricação de suportes de informação magnéticos e ópticos,3,0,0,0,0,0,0,0,3,0,0,0,0,0
"      Fabricação de motores, geradores e transformadores eléctricos e fabricação de material de distribuição e de controlo para instalações eléctricas",494,324,11,10,14,12,1,1,450,288,0,0,18,13
      Fabricação de acumuladores e pilhas,67,52,0,0,0,0,0,0,67,52,0,0,0,0
      Fabricação de fios e cabos isolados e seus acessórios,416,240,1,0,1,0,0,0,404,232,0,0,10,8
      Fabricação de lâmpadas eléctricas e de outro equipamento de iluminação,368,223,18,14,20,11,1,1,322,191,0,0,7,6
      Fabricação de aparelhos para uso doméstico,559,314,15,10,13,8,2,2,518,287,1,1,10,6
      Fabricação de outro equipamento eléctrico,640,277,9,4,5,4,0,0,613,261,0,0,13,8
      Fabricação de máquinas e de equipamentos para uso geral,417,235,10,10,8,8,1,0,390,213,0,0,8,4
      Fabricação de outras máquinas para uso geral,1266,1013,58,52,47,44,4,3,1109,877,0,0,48,37
"      Fabricação de máquinas e de tractores para a agricultura, pecuária e silvicultura",99,77,4,2,4,4,0,0,90,71,0,0,1,0
"      Fabricação de máquinas-ferramentas, excepto portáteis",30,28,0,0,0,0,0,0,26,25,0,0,4,3
      Fabricação de outras máquinas e equipamento para uso específico,545,435,17,14,22,21,4,3,489,388,0,0,13,9
      Fabricação de veículos automóveis,2099,1359,29,20,27,20,2,1,1989,1281,0,0,52,37
"      Fabricação de carroçarias, reboques e semi-reboques",152,119,6,6,2,1,0,0,141,109,0,0,3,3
      Fabricação de componentes e acessórios para veículos automóveis,4855,1923,30,13,41,19,5,0,4681,1855,2,0,96,36
      Construção naval,1079,998,33,30,25,21,2,2,995,923,0,0,24,22
      Fabricação de material circulante para caminhos-de-ferro,14,12,0,0,0,0,0,0,13,11,0,0,1,1
"      Fabricação de aeronaves, de veículos espaciais e equipamento relacionado",116,90,4,3,7,4,0,0,99,81,0,0,6,2
      Fabricação de veículos militares de combate,4,4,0,0,0,0,0,0,4,4,0,0,0,0
"      Fabricação de  equipamento de transporte, n.e.",192,90,4,2,3,1,0,0,181,86,1,0,3,1
      Fabrico de mobiliário e de colchões,6011,4364,256,218,276,236,30,21,5288,3764,3,3,158,122
"      Fabricação de joalharia, ourivesaria, bijutaria e artigos similares; cunhagem de moedas",275,183,22,15,25,20,1,1,219,141,1,1,7,5
      Fabricação de instrumentos musicais,10,6,2,2,1,1,0,0,7,3,0,0,0,0
      Fabricação de artigos de desporto,41,17,2,0,2,2,0,0,36,15,0,0,1,0
      Fabricação de jogos e de brinquedos,147,55,3,0,9,8,0,0,130,43,0,0,5,4
      Fabricação de instrumentos e material médico-cirurgico,240,101,12,6,13,6,1,1,204,84,0,0,10,4
"      Indústrias transformadoras, n.e.",1401,793,26,17,208,177,10,3,1107,573,0,0,50,23
"      Reparação e  manutenção de produtos metálicos, máquinas e equipamentos",943,845,41,36,78,70,10,7,778,699,0,0,36,33
      Instalação de máquinas e de equipamentos industriais,505,446,18,18,24,22,0,0,450,394,0,0,13,12
"      Produção, transporte, distribuição e comércio de electricidade",2484,2232,102,93,191,180,13,12,2086,1864,0,0,92,83
      Produção de gás; distribuição de combustíveis gasosos por condutas; comércio de gás por condutas,210,167,7,6,13,8,2,2,183,146,1,1,4,4
"      Produção e distribuição de vapor,  água quente e fria  e ar frio por conduta; produção de gelo",9,9,0,0,0,0,0,0,9,9,0,0,0,0
"      Captação, tratamento  e distribuição de água",535,350,14,12,22,16,0,0,479,310,0,0,20,12
"      Recolha, drenagem  e tratamento de águas residuais",151,124,8,6,8,7,0,0,129,105,0,0,6,6
      Recolha de resíduos,415,335,7,6,6,5,2,1,389,315,0,0,11,8
      Tratamento e eliminação de resíduos,84,64,1,1,1,0,0,0,82,63,0,0,0,0
      Valorização de materiais,612,388,15,8,19,11,4,3,562,358,0,0,12,8
      Descontaminação e actividades similares,2,0,0,0,0,0,0,0,2,0,0,0,0,0
      Promoção imobiliária (desenvolvimento de projectos de edifícios),179,97,22,13,19,11,0,0,133,68,0,0,5,5
      Construção de edifícios (residenciais e não residenciais),69549,65861,3394,3189,3358,3192,312,294,60710,57529,24,24,1751,1633
"      Construção de  estradas, pontes, túneis, pistas de aeroportos e vias férreas",1081,1011,44,39,31,30,4,4,979,916,0,0,23,22
"      Construção de redes de transporte de águas, de esgotos, de distribuição de energia, de telecomunicações  e de outras redes",204,188,12,12,8,8,0,0,180,164,0,0,4,4
      Construção de outras obras de engenharia civil,1392,1234,47,40,19,17,2,2,1288,1147,0,0,36,28
      Demolição e preparação dos locais de construção,598,547,40,37,42,41,2,2,494,452,0,0,20,15
"      Instalação eléctrica, de canalizações, de climatização e outras instalações",4988,4534,244,222,560,541,28,26,3968,3571,2,2,186,172
      Actividades de acabamento em edifícios,3616,3464,287,274,648,633,21,21,2518,2401,5,5,137,130
      Outras actividades especializadas de construção,350,303,18,17,16,14,0,0,306,263,0,0,10,9
      Comércio de veículos automóveis,3634,2302,190,150,276,181,15,6,3060,1914,2,2,91,49
      Manutenção e reparação de veículos automóveis,7420,6544,400,373,599,562,51,44,6053,5270,1,1,316,294
      Comércio de peças e acessórios para veículos automóveis,1811,1096,79,57,81,43,18,5,1580,958,0,0,53,33
"      Comércio, manutenção e reparação de motociclos, de suas peças e acessórios",234,180,15,11,33,31,0,0,179,132,0,0,7,6
      Agentes do comércio por grosso,307,215,9,7,6,4,2,1,278,197,1,0,11,6
      Comércio por grosso de produtos agrícolas brutos e animais vivos,688,351,44,27,81,31,6,4,545,284,0,0,12,5
"      Comércio por grosso de produtos alimentares, bebidas e tabaco",4148,2464,112,72,132,73,18,7,3775,2250,1,1,110,61
"      Comércio por grosso de bens de consumo, excepto alimentares, bebidas e tabaco",1728,875,81,48,88,37,4,1,1499,758,1,0,55,31
      Comércio por grosso de equipamento das tecnologias  de informação e comunicação ( TIC),42,19,1,1,0,0,0,0,38,16,0,0,3,2
"      Comércio por grosso de outras máquinas, equipamentos e suas partes",1608,1010,97,61,92,51,6,3,1368,870,0,0,45,25
"      Comércio por grosso de combustíveis, metais, materiais de construção, ferragens e outros produtos n.e.",2902,2108,144,117,194,148,18,11,2480,1790,0,0,66,42
      Comércio por grosso não especializado,3284,2081,160,102,169,86,7,5,2829,1811,0,0,119,77
      Comércio a retalho em estabelecimentos não especializados,16636,5450,514,201,796,293,83,30,14872,4801,6,1,365,124
"      Comércio a retalho de produtos alimentares, bebidas e tabaco, em estabelecimentos especializados",7083,3520,354,212,542,231,54,24,5955,2955,4,2,174,96
"      Comércio a retalho de combustível para veículos a motor, em estabelecimentos especializados",1950,976,77,48,35,14,22,3,1756,881,1,1,59,29
"      Comércio a retalho de equipamento das tecnologias de informação e comunicação (TIC), em estabelecimentos especializados",2098,1279,114,78,152,107,8,2,1754,1049,1,0,69,43
"      Comércio a retalho de outro equipamento  para uso doméstico, em estabelecimentos especializados",12694,5974,782,444,935,400,80,34,10544,4917,7,3,346,176
"      Comércio a retalho de bens culturais e recreativos, em estabelecimentos especializados",2927,1100,176,73,335,117,18,8,2341,878,1,0,56,24
"      Comércio a retalho de outros produtos, em estabelecimentos especializados",26860,7028,1636,640,2622,873,210,57,21639,5193,14,2,739,263
"      Comércio a retalho em bancas,  feiras e unidades móveis de venda",489,285,99,60,200,129,13,10,163,75,1,1,13,10
"      Comércio a retalho não efectuado em estabelecimentos,  bancas, feiras ou unidades móveis de venda",605,240,34,16,76,47,2,0,462,163,0,0,31,14
      Transporte interurbano  de passageiros por caminho-de-ferro,399,314,0,0,0,0,0,0,380,298,0,0,19,16
      Transporte de mercadorias por caminho-de-ferro,6,5,0,0,0,0,0,0,6,5,0,0,0,0
      Outros transportes terrestres  de passageiros,2271,1833,58,50,154,133,11,5,1978,1591,1,1,69,53
      Transportes rodoviários de mercadorias e actividades de mudanças,7930,6802,301,247,274,227,20,20,7097,6117,4,4,234,187
      Transportes por oleodutos ou gasodutos,0,0,0,0,0,0,0,0,0,0,0,0,0,0
      Transportes marítimos de passageiros,291,200,9,6,6,4,2,1,265,180,1,1,8,8
      Transportes marítimos de mercadorias,95,79,3,3,1,1,0,0,87,73,0,0,4,2
      Transportes de passageiros por vias navegáveis interiores,14,8,0,0,0,0,0,0,14,8,0,0,0,0
