"4.08 - FAMÍLIAS CLÁSSICAS SEGUNDO O NÚMERO DE PESSOAS COM MENOS DE 15 ANOS, ENTRE OS 15 E 64 ANOS E COM 65 OU MAIS ANOS, POR DIMENSÃO DA FAMILIA",,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
Zona Geográfica,Famílias clássicas com pessoas com menos de 15 anos,,,,,Famílias clássicas com pessoas entre os 15 e 64 anos,,,,,Famílias clássicas com pessoas com 65 ou mais anos,,,,,
Dimensão da família,Total,Nenhuma pessoa,1 pessoa,2 pessoas,3 ou mais pessoas,Total,Nenhuma pessoa,1 pessoa,2 pessoas,3 ou mais pessoas,Total,Nenhuma pessoa,1 pessoa,2 pessoas,3 ou mais pessoas,
          Com 8 pessoas,436,22,97,139,178,436,0,0,15,421,436,305,96,32,3,
          Com 9 ou mais pessoas,511,14,43,122,332,511,0,0,1,510,511,370,104,33,4,
          Total de Pessoas nas Familias,243882,122500,64435,40686,16261,243882,15425,24917,91025,112515,243882,183216,39808,19932,926,
    Região Autónoma da Madeira,92823,62592,19217,8998,2016,92823,12993,19721,33191,26918,92823,63986,19925,8515,397,
        Com 1 pessoa,18141,18141,0,0,0,18141,7737,10404,0,0,18141,10404,7737,0,0,
        Com 2 pessoas,23705,22352,1353,0,0,23705,4989,6441,12275,0,23705,13615,5114,4976,0,
        Com 3 pessoas,22738,12617,9659,462,0,22738,243,2483,11901,8111,22738,17982,2723,1809,224,
        Com 4 pessoas,17535,6648,4798,5993,96,17535,20,319,7215,9981,17535,14756,1937,755,87,
        Com 5 pessoas,6572,2066,2143,1375,988,6572,3,61,1450,5058,6572,4708,1364,461,39,
        Com 6 pessoas,2489,552,854,688,395,2489,1,10,300,2178,2489,1545,621,301,22,
        Com 7 pessoas,893,156,258,273,206,893,0,2,39,852,893,513,247,122,11,
        Com 8 pessoas,399,43,91,127,138,399,0,1,8,390,399,255,89,46,9,
        Com 9 ou mais pessoas,351,17,61,80,193,351,0,0,3,348,351,208,93,45,5,
        Total de Pessoas nas Familias,264652,142520,69823,40055,12254,264652,18545,32398,98527,115182,264652,191157,47785,24167,1543,
      Região Autónoma da Madeira,92823,62592,19217,8998,2016,92823,12993,19721,33191,26918,92823,63986,19925,8515,397,
          Com 1 pessoa,18141,18141,0,0,0,18141,7737,10404,0,0,18141,10404,7737,0,0,
          Com 2 pessoas,23705,22352,1353,0,0,23705,4989,6441,12275,0,23705,13615,5114,4976,0,
          Com 3 pessoas,22738,12617,9659,462,0,22738,243,2483,11901,8111,22738,17982,2723,1809,224,
          Com 4 pessoas,17535,6648,4798,5993,96,17535,20,319,7215,9981,17535,14756,1937,755,87,
          Com 5 pessoas,6572,2066,2143,1375,988,6572,3,61,1450,5058,6572,4708,1364,461,39,
          Com 6 pessoas,2489,552,854,688,395,2489,1,10,300,2178,2489,1545,621,301,22,
          Com 7 pessoas,893,156,258,273,206,893,0,2,39,852,893,513,247,122,11,
          Com 8 pessoas,399,43,91,127,138,399,0,1,8,390,399,255,89,46,9,
          Com 9 ou mais pessoas,351,17,61,80,193,351,0,0,3,348,351,208,93,45,5,
          Total de Pessoas nas Familias,264652,142520,69823,40055,12254,264652,18545,32398,98527,115182,264652,191157,47785,24167,1543,
