"6.15 -  POPULAÇÃO RESIDENTE COM 12 OU MAIS ANOS, SEGUNDO O ESTADO CIVIL LEGAL E O SEXO, POR GRUPO ETÁRIO E IDADE ANO A ANO",,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Zona geográfica,Total,,Solteiro,,Casado,,Divorciado,,Viúvo,,,,,,,,,,,,,,,,,,,
"Grupo etário e  
idade ano a ano",,,,,,,,,,,,,,,,,,,,,,,,,,,,
,HM,H,HM,H,HM,H,HM,H,HM,H,,,,,,,,,,,,,,,,,,
        91 anos,12942,3764,1077,158,2495,1719,177,35,9193,1852,,,,,,,,,,,,,,,,,,
        92 anos,8870,2545,719,104,1533,1083,136,32,6482,1326,,,,,,,,,,,,,,,,,,
        93 anos,7388,2081,678,100,1101,789,105,29,5504,1163,,,,,,,,,,,,,,,,,,
        94 anos,5807,1501,529,76,767,530,86,12,4425,883,,,,,,,,,,,,,,,,,,
      95-99 anos,14602,3816,1370,221,2386,1528,289,76,10557,1991,,,,,,,,,,,,,,,,,,
        95 anos,4506,1175,409,68,601,404,76,24,3420,679,,,,,,,,,,,,,,,,,,
        96 anos,3776,1014,359,50,629,413,77,17,2711,534,,,,,,,,,,,,,,,,,,
        97 anos,2939,777,279,46,554,338,67,16,2039,377,,,,,,,,,,,,,,,,,,
        98 anos,1996,477,178,29,324,199,42,10,1452,239,,,,,,,,,,,,,,,,,,
        99 anos,1385,373,145,28,278,174,27,9,935,162,,,,,,,,,,,,,,,,,,
      100 ou mais anos,1526,273,172,20,87,59,16,4,1251,190,,,,,,,,,,,,,,,,,,
