"6.01 - POPULAÇÃO RESIDENTE, SEGUNDO A DIMENSÃO DOS LUGARES, POPULAÇÃO ISOLADA, EMBARCADA, CORPO DIPLOMÁTICO E SEXO,  POR IDADE (ANO A ANO)",,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,
,Total,,Em lugares até 1999 habitantes,,Em lugares de 2000 a 4999 habitantes,,Em lugares de 5000 a 9999 habitantes,,Em lugares de 10000 a 19999 habitantes,,Em lugares de 20000 a 49999 habitantes,,Em lugares de 50000 a 99999 habitantes,,Em lugares de 100000 a 199999 habitantes,,Em lugares de 200000 a 499999 habitantes,,Em lugares de 500000 a 999999 habitantes,,Em lugares com 1000000 habitantes ou mais,,"População isolada, embarcada e corpo diplomático",
Zona Geográfica,,,,,,,,,,,,,,,,,,,,,,,,
Idade ano a ano,HM,H,HM,H,HM,H,HM,H,HM,H,HM,H,HM,H,HM,H,HM,H,HM,H,HM,H,HM,H
      58 anos,134948,63829,51251,24904,12122,5871,11632,5351,15890,7464,15555,7179,6695,3021,9200,4211,3423,1505,6778,3067,0,0,2402,1256
      59 anos,132251,62581,49691,24049,11806,5582,11242,5287,15350,7182,15443,7250,6556,3004,9203,4177,3646,1626,6968,3186,0,0,2346,1238
      60 anos,131443,62324,49496,24085,11468,5587,11274,5323,15350,7220,15245,7055,6629,3009,9205,4237,3460,1523,7154,3202,0,0,2162,1083
      61 anos,129562,61650,48936,23872,11282,5403,10940,5216,15151,7131,14838,6990,6565,3039,9099,4173,3361,1504,7146,3218,0,0,2244,1104
      62 anos,132822,62724,51017,24584,11578,5635,11219,5328,15589,7335,14945,6859,6723,3077,9011,4191,3522,1514,6997,3075,0,0,2221,1126
      63 anos,123218,57466,47042,22236,10715,5140,10244,4840,14485,6817,13837,6411,6310,2847,8289,3738,3395,1460,6803,2920,0,0,2098,1057
      64 anos,117696,54382,44983,20916,10218,4755,9829,4616,13688,6420,12996,5988,6049,2828,7998,3645,3146,1333,6710,2830,0,0,2079,1051
      65 anos,122138,56042,48101,22132,10451,4907,10162,4650,13864,6407,13418,6287,6095,2765,8006,3623,3281,1436,6695,2827,0,0,2065,1008
      66 anos,116021,53197,46333,21413,9774,4501,9457,4436,13081,6083,12359,5566,5805,2686,7620,3457,3059,1311,6495,2758,0,0,2038,986
      67 anos,111492,51361,44954,20672,9421,4396,9151,4300,12390,5827,11860,5509,5554,2575,6921,3174,2824,1171,6454,2783,0,0,1963,954
      68 anos,105273,48360,43286,19773,8933,4250,8611,3987,11391,5414,10962,5018,5019,2271,6536,3041,2654,1145,6012,2577,0,0,1869,884
      69 anos,96777,44044,39996,18182,8106,3758,7788,3682,10376,4766,9992,4559,4575,2121,5982,2670,2430,1055,5830,2437,0,0,1702,814
      70 anos,99443,44893,41772,19006,8444,3863,7833,3573,10486,4762,9971,4469,4615,2102,6138,2742,2481,1011,5803,2418,0,0,1900,947
      71 anos,101412,45478,43322,19537,8591,3926,7920,3524,10312,4677,10020,4558,4553,2088,6038,2602,2656,1139,6033,2450,0,0,1967,977
      72 anos,101225,45104,44038,19813,8387,3802,7760,3530,10130,4587,9952,4388,4485,1979,5880,2521,2616,1081,6035,2413,0,0,1942,990
      73 anos,97876,43032,42206,18917,8059,3600,7500,3296,9704,4238,9512,4143,4295,1892,5789,2459,2736,1079,6112,2459,0,0,1963,949
      74 anos,96482,41954,42051,18650,7892,3537,7370,3222,9450,4086,9443,3998,4109,1771,5752,2409,2468,955,6182,2495,0,0,1765,831
      75 anos,96159,41352,42505,18649,7963,3477,7240,3090,9135,3963,9057,3821,4116,1751,5568,2290,2531,1019,6140,2402,0,0,1904,890
      76 anos,88143,37312,38443,16605,7250,3096,6657,2825,8523,3635,8448,3477,3795,1561,5162,2102,2353,910,5726,2222,0,0,1786,879
      77 anos,85413,35664,38068,16253,6964,2895,6169,2583,7945,3342,8039,3311,3565,1438,4904,1944,2278,867,5784,2226,0,0,1697,805
      78 anos,83248,34407,36875,15625,6714,2778,6104,2520,7820,3281,7652,3167,3533,1378,4751,1860,2256,809,5869,2200,0,0,1674,789
      79 anos,76743,31396,34050,14538,6090,2466,5643,2224,7117,2952,7199,2882,3122,1217,4416,1692,2188,788,5422,1933,0,0,1496,704
      80 anos,71425,28249,31771,13132,5781,2301,5060,1978,6589,2542,6673,2448,2803,1086,4093,1516,2075,734,5184,1871,0,0,1396,641
      81 anos,63850,24883,28264,11396,5156,2047,4593,1797,5896,2218,6114,2316,2524,976,3544,1291,1913,648,4602,1593,0,0,1244,601
      82 anos,59801,22629,26565,10609,4906,1800,4205,1567,5437,1994,5682,2045,2275,829,3388,1186,1755,597,4403,1470,0,0,1185,532
      83 anos,52941,19570,23411,9189,4240,1563,3800,1318,4898,1769,5008,1742,2047,680,3018,1073,1603,537,3902,1273,0,0,1014,426
      84 anos,49871,17994,22507,8435,4107,1544,3516,1234,4369,1558,4632,1645,1859,645,2633,821,1490,479,3805,1217,0,0,953,416
      85 anos,43827,15341,19438,7181,3619,1282,3069,1037,4037,1392,4087,1340,1644,550,2407,760,1300,414,3377,1036,0,0,849,349
      86 anos,38395,13322,17011,6210,3296,1150,2746,980,3337,1072,3617,1167,1427,496,2103,687,1228,357,2950,932,0,0,680,271
      87 anos,32302,10743,14313,5028,2738,912,2243,694,2941,972,3045,960,1149,409,1721,528,1050,300,2495,708,0,0,607,232
      88 anos,27307,8998,12065,4194,2275,732,1929,604,2498,808,2619,870,962,307,1400,390,878,259,2162,633,0,0,519,201
      89 anos,22525,7231,10008,3390,1895,605,1566,485,2114,659,2164,657,722,226,1119,316,722,215,1793,522,0,0,422,156
      90 anos,18840,5788,8280,2745,1642,496,1299,377,1820,534,1866,539,587,174,930,251,596,185,1474,373,0,0,346,114
      91 anos,12942,3764,5673,1808,1099,287,912,251,1202,332,1256,360,477,124,666,179,409,84,1012,246,0,0,236,93
      92 anos,8870,2545,4018,1238,792,226,636,176,802,213,780,218,264,70,438,118,241,47,728,182,0,0,171,57
      93 anos,7388,2081,3275,991,652,194,515,126,662,169,699,171,264,84,351,85,256,61,576,159,0,0,138,41
      94 anos,5807,1501,2540,708,506,128,410,109,557,150,541,132,161,27,266,62,197,46,497,102,0,0,132,37
      95 anos,4506,1175,1928,540,420,119,320,68,420,114,398,106,167,34,221,44,133,33,406,90,0,0,93,27
      96 anos,3776,1014,1604,466,324,86,302,73,346,92,358,103,131,35,172,43,136,23,327,70,0,0,76,23
      97 anos,2939,777,1217,341,283,75,211,57,282,66,265,66,96,23,165,41,111,27,241,58,0,0,68,23
      98 anos,1996,477,848,223,147,38,163,43,201,44,191,44,67,17,105,20,80,21,162,22,0,0,32,5
      99 anos,1385,373,558,134,143,36,111,23,137,50,113,36,45,14,79,15,48,15,131,45,0,0,20,5
      100 ou mais anos,1526,273,644,122,150,28,94,16,144,32,144,23,51,10,83,11,51,8,136,18,0,0,29,5
