"4.03 - FAMÍLIAS CLÁSSICAS SEGUNDO O ESTADO CIVIL LEGAL E O SEXO DO REPRESENTANTE DA FAMÍLIA, PELA CLASSE ETÁRIA DESTE",,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
Zona Geográfica,Total,,Solteiro,,Casado,,Divorciado,,Viúvo,,,,,
Classe Etária,HM,H,HM,H,HM,H,HM,H,HM,H,,,,
        30 - 34 anos,7348,5153,2586,1466,4186,3491,526,190,50,6,,,,
        35 - 39 anos,9509,6913,2092,1115,6187,5328,1136,459,94,11,,,,
        40 - 44 anos,9992,7255,1648,838,6676,5821,1429,562,239,34,,,,
        45 - 49 anos,10640,7511,1354,614,7202,6178,1569,648,515,71,,,,
        50 - 54 anos,9730,6758,1059,427,6497,5648,1339,585,835,98,,,,
        55 - 59 anos,8734,5928,827,302,5698,5019,1037,438,1172,169,,,,
        60 - 64 anos,7844,5016,754,200,4876,4327,665,296,1549,193,,,,
        65 - 69 anos,6884,3931,744,147,3739,3352,401,179,2000,253,,,,
        70 - 74 anos,6378,3193,628,105,2933,2643,205,74,2612,371,,,,
        75 ou mais anos,11420,4800,1064,136,3737,3470,203,51,6416,1143,,,,
      Região Autónoma da Madeira,92823,59132,15304,6758,53339,46483,8679,3538,15501,2353,,,,
          Menos de 20 anos,89,46,85,43,2,2,0,0,2,1,,,,
          20 - 24 anos,840,475,637,355,180,115,17,4,6,1,,,,
          25 - 29 anos,3415,2153,1826,1010,1426,1089,152,52,11,2,,,,
          30 - 34 anos,7348,5153,2586,1466,4186,3491,526,190,50,6,,,,
          35 - 39 anos,9509,6913,2092,1115,6187,5328,1136,459,94,11,,,,
          40 - 44 anos,9992,7255,1648,838,6676,5821,1429,562,239,34,,,,
          45 - 49 anos,10640,7511,1354,614,7202,6178,1569,648,515,71,,,,
          50 - 54 anos,9730,6758,1059,427,6497,5648,1339,585,835,98,,,,
          55 - 59 anos,8734,5928,827,302,5698,5019,1037,438,1172,169,,,,
          60 - 64 anos,7844,5016,754,200,4876,4327,665,296,1549,193,,,,
          65 - 69 anos,6884,3931,744,147,3739,3352,401,179,2000,253,,,,
          70 - 74 anos,6378,3193,628,105,2933,2643,205,74,2612,371,,,,
          75 ou mais anos,11420,4800,1064,136,3737,3470,203,51,6416,1143,,,,
