"6.10 - POPULAÇÃO RESIDENTE, SEGUNDO AS MIGRAÇÕES (RELATIVAMENTE A 31/12/2005), POR MUNICIPIO DE RESIDÊNCIA HABITUAL EM 21/03/2011",,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Zona geográfica,População residente em 2011,,População que ainda não tinha nascido (em 31/12/2005),,População que mantém a mesma residência (relativamente a 31/12/2005),,População que mudou de residência (relativamente a 31/12/2005),,,,,,,,,,,,,,,,,,,,,
Municipios de residência habitual em 21/03/2011,,,,,,,Na mesma freguesia,,Noutra freguesia do mesmo municipio,,Noutro municipio,,No estrangeiro,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,HM,H,HM,H,HM,H,HM,H,HM,H,HM,H,HM,H,,,,,,,,,,,,,,
            Águeda,47729,22891,2030,1025,36198,17333,4054,1929,2711,1306,2002,917,734,381,,,,,,,,,,,,,,
            Albergaria-a-Velha,25252,12230,1280,639,18903,9151,2405,1160,854,400,1483,718,327,162,,,,,,,,,,,,,,
            Anadia,29150,13967,1069,541,22561,10735,2236,1062,1383,670,1258,627,643,332,,,,,,,,,,,,,,
            Aveiro,78450,37120,3794,1949,53750,25313,6023,2884,7345,3470,5977,2764,1561,740,,,,,,,,,,,,,,
            Estarreja,26997,13012,1214,644,20641,9854,2582,1251,899,450,1309,618,352,195,,,,,,,,,,,,,,
            Ílhavo,38598,18407,1919,979,27699,13126,4308,2042,1326,629,2642,1270,704,361,,,,,,,,,,,,,,
            Mealhada,20428,9823,925,484,15630,7466,1635,783,701,336,1234,597,303,157,,,,,,,,,,,,,,
            Murtosa,10585,5096,530,269,7928,3790,805,401,350,168,523,258,449,210,,,,,,,,,,,,,,
            Oliveira do Bairro,23028,10915,1226,600,16348,7675,1946,927,781,372,2115,1039,612,302,,,,,,,,,,,,,,
            Ovar,55398,26671,2579,1321,41367,19815,5617,2725,2156,1026,3070,1478,609,306,,,,,,,,,,,,,,
            Sever do Vouga,12356,5962,443,224,9938,4792,892,411,472,224,357,178,254,133,,,,,,,,,,,,,,
            Vagos,22851,10984,1114,576,17284,8282,1659,763,705,346,1373,636,716,381,,,,,,,,,,,,,,
          Baixo Mondego,332326,156603,13492,6957,249438,116751,26132,12254,19659,9279,18574,8815,5031,2547,,,,,,,,,,,,,,
            Cantanhede,36595,17394,1501,781,28557,13497,2919,1360,1020,483,1862,885,736,388,,,,,,,,,,,,,,
            Coimbra,143396,66941,5650,2881,103053,47784,12628,5879,11894,5601,8166,3832,2005,964,,,,,,,,,,,,,,
