"6.33 - POPULAÇÃO RESIDENTE  EMPREGADA, SEGUNDO A SITUAÇÃO NA PROFISSÃO E SEXO, POR PROFISSÕES",,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
Zona Geográfica,Total,,Patrão/Empregador,,Trabalhador por conta própria ou isolado,,Trabalhador familiar não remunerado,,Trabalhador por conta de outrém,,Membro activo de cooperativa de produção,,Outra situação,
,,,,,,,,,,,,,,
Profissões ,HM,H,HM,H,HM,H,HM,H,HM,H,HM,H,HM,H
      Empregados de mesa e bar,64009,35624,4999,3038,12623,6505,644,350,45014,25313,46,26,683,392
"      Cabeleireiros, esteticistas e similares",46464,4500,10926,1161,14347,1845,188,25,20415,1415,17,2,571,52
      Governante doméstico e encarregados de limpeza e de trabalhos domésticos,6432,2052,281,88,96,26,6,1,6015,1924,7,3,27,10
      Outros trabalhadores dos serviços pessoais,6269,4221,1387,1093,1355,610,32,16,3414,2452,11,8,70,42
      Vendedores ambulantes e em mercados,2138,889,287,138,980,460,32,11,828,277,2,1,9,2
      Vendedores em lojas,335714,128561,22773,11021,57139,27671,3506,1290,250023,87631,184,79,2089,869
      Operadores de caixa e venda de bilhetes,30744,6374,991,185,110,34,92,23,29415,6100,30,6,106,26
      Outros trabalhadores relacionados com vendas,32355,13789,2997,1599,2893,1730,349,140,25806,10199,39,10,271,111
      Auxiliares de educadores de infância e de professores,46916,3290,1557,110,1303,14,62,4,42909,3067,28,4,1057,91
      Trabalhadores de cuidados pessoais nos serviços de saúde,86632,7747,2204,145,1166,80,171,21,82250,7412,52,9,789,80
      Pessoal dos serviços de protecção e segurança,108086,95707,935,792,390,236,51,39,106349,94359,26,21,335,260
      Agricultores e trabalhadores qualificados de culturas agrícolas de mercado,27769,20082,2072,1505,4369,3441,497,317,20447,14527,45,32,339,260
      Produtores e trabalhadores qualificados na criação animal,11332,7753,1233,846,1963,1585,482,322,7508,4897,35,23,111,80
"      Agricultor e trabalhador qualificado da agricultura e produção animal combinadas, orientados para o mercado",27858,18758,2063,1296,4310,3002,4790,3116,15889,10807,90,61,716,476
      Trabalhadores qualificados da floresta e similares,6429,5967,1086,1019,677,650,52,45,4534,4182,9,7,71,64
      Trabalhadores qualificados da aquicultura e das pescas; caçador (inclui com armadilha),8251,8066,225,215,209,193,54,44,7647,7505,18,17,98,92
      Agricultor de subsistência,16659,13002,105,16,16239,12885,231,74,67,20,0,0,17,7
      Criador de animais de subsistência,370,332,0,0,370,332,0,0,0,0,0,0,0,0
"      Agricultor e criador de animais de produção combinada, de subsistência",1728,128,161,1,411,100,428,3,676,20,4,0,48,4
"      Pescador, caçador e colector, de subsistência",1648,1558,18,16,1475,1397,6,6,148,138,0,0,1,1
