"4.05 - FAMÍLIAS CLÁSSICAS, SEGUNDO A SUA DIMENSÃO E PESSOAS NAS FAMÍLIAS, POR NACIONALIDADE E SEXO DO REPRESENTANTE DA FAMILIA",,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
Zona Geográfica,Famílias clássicas segundo a dimensão (individuos),,,,,,,,,,Pessoas nas famílias,,,
Nacionalidade e sexo do representante da família,Total,Com 1,Com 2,Com 3,Com 4,Com 5,Com 6,Com 7,Com 8,Com 9 ou mais,,,,
      Outros países - América                                            HM,710,216,180,153,98,44,15,1,2,1,1771,,,
                                                                          H,456,120,116,99,73,32,13,1,1,1,1205,,,
      Ásia                                                               HM,7285,2278,1156,1307,1229,708,353,122,66,66,21134,,,
                                                                          H,6086,1913,890,1103,1059,603,310,98,54,56,17791,,,
      China                                                              HM,3329,491,513,691,743,463,236,89,54,49,11844,,,
                                                                          H,2632,326,375,571,622,384,204,67,43,40,9632,,,
      Índia                                                              HM,1120,493,164,199,154,67,31,5,2,5,2653,,,
                                                                          H,1027,465,138,178,146,61,28,5,2,4,2421,,,
      Japão                                                              HM,89,47,25,8,7,2,0,0,0,0,159,,,
                                                                          H,65,30,20,6,7,2,0,0,0,0,126,,,
      Macau                                                              HM,10,4,0,3,1,2,0,0,0,0,27,,,
                                                                          H,6,1,0,2,1,2,0,0,0,0,21,,,
      Paquistão                                                          HM,560,239,71,82,50,57,33,20,3,5,1526,,,
                                                                          H,537,235,64,77,47,56,31,19,3,5,1457,,,
      Timor Leste                                                        HM,59,39,6,7,3,1,2,0,0,1,114,,,
                                                                          H,37,25,1,5,3,1,1,0,0,1,78,,,
      Outros países - Ásia                                               HM,2118,965,377,317,271,116,51,8,7,6,4811,,,
                                                                          H,1782,831,292,264,233,97,46,7,6,6,4056,,,
      Oceânia                                                            HM,136,42,48,27,11,6,2,0,0,0,305,,,
                                                                          H,94,25,36,17,9,5,2,0,0,0,221,,,
      Austrália                                                          HM,121,36,44,23,10,6,2,0,0,0,275,,,
                                                                          H,83,20,33,15,8,5,2,0,0,0,200,,,
      Outros países da Oceânia                                           HM,15,6,4,4,1,0,0,0,0,0,30,,,
                                                                          H,11,5,3,2,1,0,0,0,0,0,21,,,
      Outros países                                                      HM,1,0,0,1,0,0,0,0,0,0,3,,,
                                                                          H,0,0,0,0,0,0,0,0,0,0,0,,,
      Dupla nacionalidade                                                HM,84300,16419,22999,20141,16414,5466,1896,578,208,179,234662,,,
                                                                          H,55629,7751,14860,14044,12794,4134,1384,410,146,106,164834,,,
      Dupla nacionalidade portuguesa e outra                             HM,71739,13702,19485,17216,14227,4672,1613,494,174,156,200650,,,
                                                                          H,47461,6362,12643,12014,11144,3557,1180,350,118,93,141445,,,
      Dupla nacionalidade estrangeira                                    HM,12561,2717,3514,2925,2187,794,283,84,34,23,34012,,,
                                                                          H,8168,1389,2217,2030,1650,577,204,60,28,13,23389,,,
"      Dupla nacionalidade estrangeira, sendo uma da União Europeia       HM",4099,1010,1275,917,633,185,54,16,8,1,10277,,,
                                                                          H,2674,470,854,643,502,147,41,11,6,0,7221,,,
"      Dupla nacionalidade estrangeira, nenhuma da União Europeia         HM",8462,1707,2239,2008,1554,609,229,68,26,22,23735,,,
                                                                          H,5494,919,1363,1387,1148,430,163,49,22,13,16168,,,
      Apátrida                                                           HM,238,38,73,62,52,9,3,0,0,1,651,,,
                                                                          H,165,27,46,46,39,6,1,0,0,0,449,,,
