"6.28 - POPULAÇÃO RESIDENTE, COM 15 OU MAIS ANOS, SEGUNDO O GRUPO ETÁRIO, POR CONDIÇÃO PERANTE A ACTIVIDADE ECONÓMICA (SENTIDO RESTRITO) E SEXO",,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
Zona Geográfica                                                            Condição perante a actividade económica e sexo,Total,De 15 a 19 anos,De 20 a 24 anos,De 25 a 29 anos,De 30 a 34 anos,De 35 a 39 anos,De 40 a 44 anos,De 45 a 49 anos,De 50 a 54 anos,De 55 a 59 anos,De 60 a 64 anos,De 65 a 69 anos,De 70 a 74 anos,De 75 ou mais anos,
                                                                           H,55220,446,3433,5980,7927,8488,7903,7598,6063,4248,2173,599,201,161,
          Desempregados                                                     HM,18676,977,2978,2853,2471,2312,2136,2043,1563,952,387,4,0,0,
                                                                              H,11061,543,1585,1569,1469,1385,1297,1266,1025,647,271,4,0,0,
          População inativa                                                     HM,96289,14809,7026,2708,2241,2784,3488,4317,4849,6647,9003,10284,9776,18357,
                                                                                  H,37433,7432,3337,1340,940,1070,1267,1402,1476,2403,3480,3966,3520,5800,
          Estudantes                                                     HM,19370,13162,5104,871,132,50,16,10,6,9,4,2,0,4,
                                                                           H,9484,6491,2396,492,62,24,6,4,3,4,1,0,0,1,
          Domésticos                                                     HM,12740,167,240,376,593,957,1406,1764,1974,2033,1614,716,438,462,
                                                                           H,403,29,31,26,17,32,39,41,44,48,39,22,20,15,
"          Reformados, aposentados ou na reserva                                                     HM",44452,30,32,30,69,102,148,295,612,2199,5151,9034,9110,17640,
                                                                                                      H,16894,12,17,19,28,54,69,124,257,1119,2382,3704,3404,5705,
          Incapacitados permanentes para o trabalho                                                     HM,6706,87,229,316,398,500,697,895,984,1153,1169,207,22,49,
                                                                                                          H,3426,51,119,177,234,280,389,486,520,559,493,96,11,11,
          Outros casos                                                     HM,13021,1363,1421,1115,1049,1175,1221,1353,1273,1253,1065,325,206,202,
                                                                             H,7226,849,774,626,599,680,764,747,652,673,565,144,85,68,
